"@title","English"
"@language","en-US"
"@scale","auto"
"@appli","79 - Do not change"
"@version","2.19 - Do not change"
"@author","Your Name"
"#00000","First Beach"
"#00001","I smell adventure. What's hidden on this island?"
"#00002","Rich Plateau"
"#00003","Someone needs help. Let's go!"
"#00004","Starry Sands"
"#00005","A mysterious land has been discovered. Let's take our allies and explore."
"#00006","Waterfront Hill"
"#00007","A mysterious land and treasure chest have been discovered. Let's set out and explore."
"#00008","Old Harbor"
"#00009","Someone has reportedly been sighted around here. Maybe we can get some info on research?"
"#00010","Babbling Forest"
"#00011","Upland Springs"
"#00012","Cheery Gulf"
"#00013","The Mecha Chimps have appeared again. Defeat them before they get my bananas."
"#00014","Jumbo Mountains"
"#00015","Long Beach"
"#00016","Desolate Island"
"#00017","A vaguely familiar bear has appeared. Haven't we met him somewhere before?"
"#00018","Legendary Pass"
"#00019","It seems that the master of this island has appeared. He looks tough..."
"#00020","Damp Cave"
"#00021","Beasts that once inhabited this region reportedly emerge here frequently."
"#00022","You can explore this cave repeatedly."
"#00023","Cool Cave"
"#00024","Sea Cave"
"#00026","Cherry Forest"
"#00027","A scary beast that looks like a bunch of Metaboks is on the hunt for food."
"#00028","Lighthouse Shore"
"#00029","Set off with your allies to rescue the island from beasts."
"#00030","Watermill Peaks"
"#00031","Hot Spring Hills"
"#00032","You can explore this region repeatedly."
"#00033","Deep Cave"
"#00036","Fisher's Wharf"
"#00037","They may look like yummy donuts, but don't let that fool you..."
"#00038","Beach Hill"
"#00039","Wide Plateau"
"#00040","Someone said they saw the tools of my trade around here. Find them for me!"
"#00041","Capital River"
"#00042","Something really big lives here. It's left food scraps everywhere."
"#00043","Train Bridge"
"#00044","I feel a new research idea coming on! Explore this area for me!"
"#00049","Tingling Cave"
"#00050","Quiet Waterfall"
"#00051","This island is deserted now, but it may inspire a new research idea!"
"#00052","=#00032"
"#00053","Deserted Quarter"
"#00054","These ropes are tighter than I thought. If I'd only taken that Houdini course..."
"#00057","Bay of Ruins"
"#00058","I was totally absorbed in a new video game when beasts attacked! Save me!"
"#00059","Blistering Hills"
"#00060","Heh. I was preparing to launch into space when Mochiporin took me captive."
"#00061","Sirocco Plains"
"#00065","Ice Floe Cape"
"#00066","Blizzard Forest"
"#00067","Fearsome beasts dwell here. Plan for effective gear and elemental alignments before departure."
"#00068","Frozen Mountains"
"#00069","It's...c-c-cold here... I'll just be waiting here with a cup of cocoa..."
"#00070","Native Lands"
"#00075","Power Lab"
"#00076","Wellspring Valley"
"#00077","Steamy Plains"
"#00078","It seems a foe from the planet Hotalot is here. Hm? You don't know Hotalot?"
"#00079","Active Volcano"
"#00080","Fortress of Mystery"
"#00081","You've come a long way! Welcome! Please enjoy our wonderful facilities!"
"#00082","I won't lose this time! I'll use my secret weapon to make mincemeat of you!"
"#00087","Mystery Ship"
"#00088","This place is scary! I'll need my teddy bear tonight to protect me from nightmares!"
"#00089","Moist Marsh"
"#00090","Healthy Hill"
"#00091","Wild Jungle"
"#00092","Elegant Lake"
"#00093","Secret Base"
"#00094","Looks like there's a formidable foe here. Might be a ""last boss"" kind of thing, huh?"
"#00109","Robin"
"#00110","Carre Isle Resident"
"#00111","Metro Isle Rep"
"#00112","Metro Isle Resident"
"#00113","Desert Isle King"
"#00114","Desert Isle Resident"
"#00115","Chilly Isle Resident"
"#00116","Enigma Isle Resident"
"#00117","Kairobot"
"#00118","Sally Prin"
"#00119","Ella Whit"
"#00120","May Salvage"
"#00121","John Hilton"
"#00122","Dr. Sobakasu"
"#00123","Dr. Takashi"
"#00124","Jacques Bleu"
"#00125","James Duggin"
"#00126","Steve Jibs"
"#00127","Young Chimpan"
"#00128","P. Pumpkin"
"#00129","Wairobot"
"#00130","Grizzly Bearington"
"#00133","Beach"
"#00134","A beach with crabs and clams."
"#00135","Sea"
"#00136","Leads out to the open sea."
"#00137","Stream"
"#00138","A clear stream with small fish."
"#00139","Dock"
"#00140","Connects one island to another."
"#00141","Heliport"
"#00142","Bus Stop"
"#00143","Station"
"#00144","Old Bridge"
"#00145","Easy for tourists to walk on."
"#00146","Person's Home"
"#00147","Food can be found nearby."
"#00148","Mine"
"#00149","Sometimes yields gold."
"#00150","Lumber Shed"
"#00151","Increases max lumber."
"#00152","Food Shed"
"#00153","Increases max food."
"#00154","School"
"#00155","Get EXP by studying here."
"#00156","Research Lab"
"#00157","Research useful items here."
"#00158","Ally's Home"
"#00159","A place for an ally to call home."
"#00160","Campground"
"#00161","Get gold when tourists camp."
"#00162","Generator"
"#00163","Supplies power to surroundings."
"#00164","Solar Panels"
"#00165","Windmill"
"#00166","Thermal Generator"
"#00167","Next-Gen Generator"
"#00168","Simple Bath"
"#00169","Boosts recovery in nearby areas."
"#00170","Deck Chair"
"#00171","Barbecue"
"#00172","Hotspot"
"#00173","Boosts nature level."
"#00174","Shop"
"#00175","Earns gold from tourists."
"#00176","Hot Spring"
"#00177","Tourist Spot"
"#00178","Hole"
"#00179","=#00173"
"#00180","Zoo"
"#00181","Grocery Stand"
"#00182","Lighthouse"
"#00183","Clinic"
"#00184","Boosts recovery amount."
"#00185","Pasture"
"#00186","Pool"
"#00187","Restaurant"
"#00188","Skyscraper"
"#00189","Wood Shop"
"#00190","Grass"
"#00191","=#00184"
"#00192","Meadow"
"#00193","Plain"
"#00194","Grassland"
"#00195","Earth"
"#00196","Woods"
"#00197","Forest"
"#00198","Cherry Tree"
"#00199","Cherry Woods"
"#00200","Legendary Tree"
"#00201","Cavern"
"#00202","Waterfall"
"#00203","Palm Tree"
"#00204","Desert"
"#00205","Pyramid"
"#00206","Flower Garden"
"#00207","Deep Swamp"
"#00208","Shallow Swamp"
"#00209","Swamp"
"#00210","Mountain"
"#00211","Upland"
"#00212","Mountain Range"
"#00213","Snowfield"
"#00214","Snowy Mountain"
"#00215","=#00196"
"#00216","Big Volcano"
"#00217","Volcano"
"#00218","Volcanic Area"
"#00219","Rocky Area"
"#00220","Alpine Plant"
"#00221","Spring"
"#00222","Gravel"
"#00223","Gift Shop"
"#00224","Ally Agency"
"#00225","Introduces new allies."
"#00226","Wairo Inc."
"#00227","Sells valuable medals."
"#00228","Pumpkin Products"
"#00229","Sells equipment and supplies."
"#00230","Torch"
"#00231","Warmth boosts recovery amount."
"#00232","Orchard"
"#00233","Produces lumber and food."
"#00234","Lumber Mill"
"#00235","Produces lots of lumber."
"#00236","Field"
"#00237","Produces crops."
"#00238","Railroad"
"#00239","Detailed info about railroad."
"#00240","Road"
"#00241","Detailed info about road."
"#00242","Dirt Path"
"#00243","Connects harbor to shops."
"#00244","Inn"
"#00245","Hotel"
"#00246","Hammock"
"#00247","=#00184"
"#00248","Wooden House"
"#00249","Living here boosts harvests."
"#00250","House"
"#00251","Mansion"
"#00252","Ally's Hut"
"#00253","Living here boosts recovery."
"#00254","Ally's Palace"
"#00255","Bridge"
"#00256","Improves access across water."
"#00257","Pirate Ship"
"#00258","Detailed info about pirate ship."
"#00259","Coliseum"
"#00260","Detailed info about the coliseum."
"#00261","Circus Tent"
"#00262","Offshore"
"#00263","Detailed info about offshore region."
"#00264","River"
"#00265","Lumber Warehouse"
"#00266","Greatly increases max lumber."
"#00267","Food Warehouse"
"#00268","Greatly increases max food."
"#00269","Mystery Man"
"#00270","Assistant"
"#00271","Carre Isle President"
"#00272","Metro Isle King"
"#00273","=#00130"
"#00274","=#00113"
"#00275","Chilly Isle King"
"#00276","Mysterious Robot"
"#00277","Undead Pirate"
"#00278","Mystery Host"
"#00279","Dr. Chimpan"
"#00280","=#00128"
"#00281","=#00129"
"#00282","Trophy King"
"#00283","=#00118"
"#00284","=#00117"
"#00285","Dr. Mochipon"
"#00286","Pumpkin Bag"
"#00287","Research Idea"
"#00288","Sweet Herb"
"#00289","Restores about 20 HP."
"#00290","Bitter Herb"
"#00291","Restores about 120 HP."
"#00292","Choice Herb"
"#00293","Restores about 999 HP."
"#00294","Ultimate Herb"
"#00295","Restores about 5000 HP."
"#00296","Recovery Spray"
"#00297","Restores about 60 HP to all allies."
"#00298","Deluxe Spray"
"#00299","Restores about 300 HP to all allies."
"#00300","Ultra Spray"
"#00301","Restores about 1800 HP to all allies."
"#00302","Magic Leaf"
"#00303","Restores around 10 MP."
"#00304","Magic Flower"
"#00305","Restores about 30 MP."
"#00306","Magic Nut"
"#00307","Restores about 100 MP."
"#00308","Glossy Leaf"
"#00309","Restores about 999 MP."
"#00310","Boost Spray"
"#00311","Restores about 10 MP to all allies."
"#00312","Magical Spray"
"#00313","Restores about 40 MP to all allies."
"#00314","Miracle Spray"
"#00315","Restores about 250 MP to all allies."
"#00316","Life Elixir 1"
"#00317","Revives ally and restores 30% HP."
"#00318","=MID(#00316,1,-1)&'2'"
"#00319","Revives ally and restores 50% HP."
"#00320","=MID(#00316,1,-1)&'3'"
"#00321","Revives ally and restores 100% HP."
"#00322","Antidote"
"#00323","Cures poison."
"#00324","Focus Tonic"
"#00325","Cures confusion."
"#00326","Paral Z"
"#00327","Cures paralysis."
"#00328","Meager Bait"
"#00329","Might win a foe over."
"#00330","Yummy Bait"
"#00331","Happy Bait"
"#00332","Fatty Bait"
"#00333","Spicy Bait"
"#00334","Preferred by fire-aligned beasts."
"#00335","Hellfire Bait"
"#00336","Cold Bait"
"#00337","Preferred by water-aligned beasts."
"#00338","Frozen Bait"
"#00339","Ethereal Bait"
"#00340","Preferred by wind-aligned beasts."
"#00341","Floating Bait"
"#00342","Hard Bait"
"#00343","Preferred by earth-aligned beasts."
"#00344","Stony Bait"
"#00345","Tingly Bait"
"#00346","Preferred by lightning-aligned beasts."
"#00347","Shocking Bait"
"#00348","Life Scroll"
"#00349","Read to increase HP."
"#00350","Chi Scroll"
"#00351","Read to increase MP."
"#00352","Power Scroll"
"#00353","Read to boost attack power."
"#00354","Defense Scroll"
"#00355","Read to boost defense."
"#00356","Speed Scroll"
"#00357","Read to boost speed."
"#00358","Smart Scroll"
"#00359","Read to boost intelligence."
"#00360","Level Scroll"
"#00361","Read to gain a level."
"#00362","Slot Scroll"
"#00363","Read to increase equipment slots."
"#00364","=#00000"
"#00365","=#00020"
"#00366","=#00002"
"#00367","=#00004"
"#00368","=#00006"
"#00369","=#00008"
"#00370","=#00010"
"#00371","=#00011"
"#00372","=#00012"
"#00373","=#00014"
"#00374","=#00015"
"#00375","=#00016"
"#00376","=#00018"
"#00377","=#00023"
"#00378","=#00024"
"#00379","=#00026"
"#00380","=#00028"
"#00381","=#00030"
"#00382","=#00031"
"#00383","=#00033"
"#00384","=#00036"
"#00385","Beach Hills"
"#00386","=#00039"
"#00387","=#00041"
"#00388","=#00043"
"#00389","=#00049"
"#00390","=#00050"
"#00391","=#00053"
"#00392","=#00057"
"#00393","=#00059"
"#00394","=#00061"
"#00395","=#00065"
"#00396","=#00066"
"#00397","=#00068"
"#00398","=#00070"
"#00399","=#00075"
"#00400","=#00076"
"#00401","=#00077"
"#00402","=#00079"
"#00403","=#00089"
"#00404","=#00090"
"#00405","=#00091"
"#00406","=#00092"
"#00407","=#00093"
"#00409","=#00087"
"#00410","Hidden Cave A"
"#00411","Hidden Cave B"
"#00412","Hidden Cave C"
"#00413","Hidden Cave D"
"#00414","Hidden Cave E"
"#00415","Hidden Cave F"
"#00416","Beginner's Course"
"#00417","Standard Course"
"#00418","Moderate Course"
"#00419","Advanced Course"
"#00420","Master Course"
"#00421","Scout"
"#00422","Canine with explosive speed."
"#00423","chomped down hard."
"#00424","fled with tail between legs."
"#00425","Kerfuffle"
"#00426","Cute but tough."
"#00427","slashed with cute wittle paws."
"#00428","scampered off."
"#00429","Dabbler"
"#00430","A cute little duck...of death!"
"#00431","unleashed a flurry of pecks."
"#00432","flew off quacking."
"#00433","Mandragora"
"#00434","A weedy monster."
"#00435","landed a lucky punch!"
"#00436","was uprooted."
"#00437","Crabby"
"#00438","Yeah, it's just a crab..."
"#00439","pinched hard with its claws."
"#00440","is now freshly boiled."
"#00441","Hermit Crabby"
"#00442","Its shell is fully furnished."
"#00443","performed Drill Dance."
"#00444","moved out of its shell."
"#00445","Shelldon"
"#00446","Lives in his parents' shell."
"#00447","used Spiral Beam."
"#00448","got stuck in his shell."
"#00449","Molezo"
"#00450","Nearsighted. Very nearsighted."
"#00451","used Shovel Smack."
"#00452","returned underground."
"#00453","Puddler"
"#00454","Just a bunch of water, really."
"#00455","landed a watery punch."
"#00456","evaporated."
"#00457","Dropplet"
"#00458","Has a soft, gel-like body."
"#00459","landed a soft, supple kick."
"#00460","went down the drain."
"#00461","Metabok"
"#00462","Also appears in Kairobotica."
"#00463","threw a supersized punch."
"#00464","bolted off."
"#00465","Donaught"
"#00466","Tempts with sweet words."
"#00467","threw a sugary punch."
"#00468","crumbled away."
"#00469","Pyon"
"#00470","His family likes him, anyway."
"#00471","dealt a staggering blow."
"#00472","dissipated on the breeze."
"#00473","Broccolin"
"#00474","Just wants kids to love him."
"#00475","threw a bushy green punch."
"#00476","turned into vegetable juice."
"#00477","Granitron"
"#00478","Dreams of being a statue someday."
"#00479","used Stonewall."
"#00480","is now graveltron."
"#00481","Stumper"
"#00482","Ancestors lived in a forest."
"#00483","used Seedling Smack."
"#00484","withered away."
"#00485","Tortugan"
"#00486","Vacations at the seashore."
"#00487","threw a really slow punch."
"#00488","withdrew into its shell."
"#00489","Crocogator"
"#00490","Trains by biting its own tail."
"#00491","used Croco Chomp."
"#00492","developed a toothache."
"#00493","Cheep"
"#00494","Is one year from retirement."
"#00495","gave a creepy stare."
"#00496","shattered."
"#00497","Stinger"
"#00498","From a tribe of desert nomads."
"#00499","used Crawfish Punch."
"#00500","crawled back to its nest."
"#00501","Cobran"
"#00502","Has developed cavities."
"#00503","used Whiplash."
"#00504","shriveled up."
"#00505","Moeyama"
"#00506","Quite fond of marshmallows."
"#00507","detonated a massive explosion."
"#00508","burned out."
"#00509","Hawker"
"#00510","Has 20/20 vision."
"#00511","pecked savagely."
"#00512","vanished into the sky."
"#00513","Slithor"
"#00514","Lives in an expensive pot."
"#00515","used Haiku Kick."
"#00516","slithered back home."
"#00517","Aquila"
"#00518","Fears he may be balding."
"#00519","exhaled breath like a storm."
"#00520","fell, wings and heart broken."
"#00521","Metabolin"
"#00522","Well-versed in diets."
"#00523","used Healthy Kick."
"#00524","was absorbed into the earth."
"#00525","Marbleking"
"#00526","Won a national team competition."
"#00527","attacked with all his might."
"#00528","shattered and scattered."
"#00529","Chubking"
