"@title","English"
"@language","en-US"
"@scale","auto"
"@appli","109 - Do not change"
"@version","2.04 - Do not change"
"@author","Your Name"
"#00000","Local Stam. Contest"
"#00001","Local Spd. Contest"
"#00002","Local Dex. Contest"
"#00003","Local Serv. Contest"
"#00004","Local Cook Contest"
"#00005","Local Staff Contest"
"#00006","State Stam. Contest"
"#00007","State Spd. Contest"
"#00008","State Dex. Contest"
"#00009","State Serv. Contest"
"#00010","State Cook Contest"
"#00011","State Staff Contest"
"#00012","Reg'l Stam. Contest"
"#00013","Reg'l Spd. Contest"
"#00014","Reg'l Dex. Contest"
"#00015","Reg'l Serv. Contest"
"#00016","Reg'l Cook Contest"
"#00017","Reg'l Staff Contest"
"#00018","Nat'l Stam. Contest"
"#00019","Nat'l Spd. Contest"
"#00020","Nat'l Dex. Contest"
"#00021","Nat'l Serv. Contest"
"#00022","Nat'l Cook Contest"
"#00023","Nat'l Staff Contest"
"#00024","World Stam. Contest"
"#00025","World Spd. Contest"
"#00026","World Dex. Contest"
"#00027","World Serv. Contest"
"#00028","World Cook Contest"
"#00029","Kairo Staff Contest"
"#00030","Local Game Contest"
"#00031","State Game Contest"
"#00032","Reg'l Game Contest"
"#00033","Nat'l Game Contest"
"#00034","Asian Game Contest"
"#00035","World Game Contest"
"#00036","Kairo Game Contest"
"#00037","Local Burger Contest"
"#00038","State Burger Contest"
"#00039","Reg'l Burger Contest"
"#00040","Nat'l Burger Contest"
"#00041","Asian Burger Contest"
"#00042","World Burger Contest"
"#00043","Kairo Burger Contest"
"#00044","Local Apparel Contest"
"#00045","State Apparel Contest"
"#00046","Reg'l Apparel Contest"
"#00047","Nat'l Apparel Contest"
"#00048","Asian Apparel Contest"
"#00049","World Apparel Contest"
"#00050","Kairo Apparel Contest"
"#00051","Local Book Contest"
"#00052","State Book Contest"
"#00053","Reg'l Book Contest"
"#00054","Nat'l Book Contest"
"#00055","Asian Book Contest"
"#00056","World Book Contest"
"#00057","Kairo Book Contest"
"#00058","Local Noodle Contest"
"#00059","State Noodle Contest"
"#00060","Reg'l Noodle Contest"
"#00061","Nat'l Noodle Contest"
"#00062","Asian Noodle Contest"
"#00063","World Noodle Contest"
"#00064","Kairo Noodle Contest"
"#00065","Local Bread Contest"
"#00066","State Bread Contest"
"#00067","Reg'l Bread Contest"
"#00068","Nat'l Bread Contest"
"#00069","Asian Bread Contest"
"#00070","World Bread Contest"
"#00071","Kairo Bread Contest"
"#00072","Local Booth Contest"
"#00073","State Booth Contest"
"#00074","Reg'l Booth Contest"
"#00075","Nat'l Booth Contest"
"#00076","Asian Booth Contest"
"#00077","World Booth Contest"
"#00078","Kairo Booth Contest"
"#00079","Local Museum Contest"
"#00080","State Museum Contest"
"#00081","Reg'l Museum Contest"
"#00082","Nat'l Museum Contest"
"#00083","Asian Museum Contest"
"#00084","World Museum Contest"
"#00085","Kairo Museum Contest"
"#00086","Movie Cards"
"#00087","Sports Drink"
"#00088","Soda"
"#00089","Coffee Drink"
"#00090","Game Guide"
"#00091","Action Game"
"#00092","Puzzle Game"
"#00093","Adventure"
"#00094","Simulation"
"#00095","Shooter"
"#00096","Sports Game"
"#00097","Quiz Game"
"#00098","Board game"
"#00099","Party Game"
"#00100","Used Game"
"#00101","Prem. Game"
"#00102","IES"
"#00103","Exodus"
"#00104","Super IES"
"#00105","Game Kid"
"#00106","PlayStatus"
"#00107","Uranus"
"#00108","Dreamlast"
"#00109","Admiral 64"
"#00110","PlayStatus 2"
"#00111","Game-Box"
"#00112","Microx 480"
"#00113","Intendro DM"
"#00114","Mini Status"
"#00115","Jupiter 512"
"#00116","Play Popo X"
"#00117","Microx NEO"
"#00118","Toast"
"#00119","Hamburger"
"#00120","Cheeseburger"
"#00121","Veggie Burger"
"#00122","Tomato Burger"
"#00123","Bagelwich"
"#00124","Double Burger"
"#00125","Triple Burger"
"#00126","Thick Burger"
"#00127","Mini Pizza"
"#00128","Fries (S)"
"#00129","Fries (M)"
"#00130","Fries (L)"
"#00131","Onion Rings"
"#00132","Hot Dog"
"#00133","Cheese Dog"
"#00134","Fried Chicken"
"#00135","Jumbo Chicken"
"#00136","Chicken Bites"
"#00137","Donut"
"#00138","Choco Donut"
"#00139","Sandwich"
"#00140","Pancakes"
"#00141","Side Salad"
"#00142","Hot Biscuits"
"#00143","Apple Pie"
"#00144","Choco Pie"
"#00145","Ice Cream"
"#00146","Soft Serve"
"#00147","Triple Cone"
"#00148","Tomato Juice"
"#00149","Corn Soup"
"#00150","Fizzy Juice"
"#00151","Veggie Juice"
"#00152","Coffee"
"#00153","Blouse"
"#00154","Bespoke Top"
"#00155","Red Cardigan"
"#00156","Casual Jacket"
"#00157","Hooded Parka"
"#00158","Lace Tunic"
"#00159","Camisole"
"#00160","Fur Coat"
"#00161","Dress"
"#00162","Long Dress"
"#00163","Flowery Skirt"
"#00164","Shorts"
"#00165","Culottes"
"#00166","Tight Skirt"
"#00167","Skirt"
"#00168","Bright Dress"
"#00169","Knit Hat"
"#00170","Flowing Gown"
"#00171","Necklace"
"#00172","Pumps"
"#00173","T-Shirt"
"#00174","Collared Top"
"#00175","Jacket"
"#00176","Check Shirt"
"#00177","Cardigan"
"#00178","Vest"
"#00179","Border Shirt"
"#00180","Zip-Up Jacket"
"#00181","L. Jacket"
"#00182","Tank Top"
"#00183","Jeans"
"#00184","Check Shorts"
"#00185","Work Pants"
"#00186","Fancy Slacks"
"#00187","Chinos"
"#00188","Underwear"
"#00189","Watch"
"#00190","Luxury Watch"
"#00191","Luxury Hat"
"#00192","Stole"
"#00193","Sneakers"
"#00194","Fancy Shoes"
"#00195","Newspapers"
"#00196","Boys Comics"
"#00197","Girls Comics"
"#00198","Teen Mags"
"#00199","Fashion Mags"
"#00200","Movie Mags"
"#00201","Weekly Mags"
"#00202","Comics"
"#00203","Photo Book"
"#00204","Culture Mags"
"#00205","New Books"
"#00206","Novels"
"#00207","Travel Mags"
"#00208","Game Mags"
"#00209","Kids Books"
"#00210","Study Aids"
"#00211","Dictionaries"
"#00212","Field Guides"
"#00213","Cookbooks"
"#00214","Sports Books"
"#00215","Hobby Mags"
"#00216","Chess"
"#00217","Trains/Models"
"#00218","Manuals"
"#00219","Fishing Mags"
"#00220","Electronics"
"#00221","Child Rearing"
"#00222","Languages"
"#00223","Health Books"
"#00224","Classics"
"#00225","Snacks"
"#00226","Ramen"
"#00227","Veggie Ramen"
"#00228","Pork Noodles"
"#00229","Champon"
"#00230","Miso Ramen"
"#00231","Dip Noodles"
"#00233","Yakisoba"
"#00234","Chow Mein"
"#00235","Fried Rice"
"#00236","Special Rice"
"#00237","Egg Rolls"
"#00238","Chili Shrimp"
"#00239","Fried Tofu"
"#00240","=#00226"
"#00241","Crab Rangoon"
"#00242","Peking Duck"
"#00243","Potstickers"
"#00244","Chicken Wings"
"#00245","Dumplings"
"#00246","Meat Buns"
"#00247","Soup"
"#00248","Hot/Sour Soup"
"#00249","Egg Drop Soup"
"#00250","Mango Pudding"
"#00251","Almond Jelly"
"#00252","Juice"
"#00253","Sliced Bread"
"#00254","Baguettes"
"#00255","Croissant"
"#00256","Butter Roll"
"#00257","Wiener Roll"
"#00258","Jelly Roll"
"#00259","Glazed Donut"
"#00260","White Bread"
"#00261","Choco Roll"
"#00262","Curry Bun"
"#00263","Choco Bun"
"#00264","Cheesy Bun"
"#00265","Cream Bun"
"#00266","Jam Bun"
"#00267","French Toast"
"#00268","Pizza Bun"
"#00269","Choco Twist"
"#00270","Beef Sandwich"
"#00271","Egg Sandwich"
"#00272","Filet Burger"
"#00273","Jelly Donut"
"#00274","Bagel"
"#00275","Scone"
"#00276","Fried Bread"
"#00277","Calzone"
"#00278","Bacon Wrap"
"#00279","Cinnamon Roll"
"#00280","Danish"
"#00281","Cheese Roll"
"#00282","Sourdough"
"#00283","Rusk"
"#00284","Quiche"
"#00285","Milk Box"
"#00286","Juice Box"
"#00287","Mixed Juice"
"#00288","Fruit Pie"
"#00289","Bear Bun"
"#00290","Cat Bun"
"#00291","Snowman Bun"
"#00292","Hot Dog Bun"
"#00293","=#00233"
"#00294","Beef Yakisoba"
"#00295","Yakisoba (L)"
"#00296","Candy Prize"
"#00297","Toy Prize"
"#00298","Celeb Prize"
"#00299","Game Prize"
"#00300","Music Prize"
"#00301","Used Clothes"
"#00302","Used Mags"
"#00303","Used Toys"
"#00304","Used Electr."
"#00305","Antiques"
"#00306","Curry Rice"
"#00307","Curry Goat"
"#00308","Cutlet Curry"
"#00309","Indian Curry"
"#00310","Curry Soup"
"#00311","Berry Ice"
"#00312","Blue Hawaiian"
"#00313","Melon Ice"
"#00314","Crepe"
"#00315","Berry Crepe"
"#00316","Tuna Crepe"
"#00317","=#00252"
"#00318","Special Juice"
"#00319","Green Tea"
"#00320","Takoyaki"
"#00321","Ham Takoyaki"
"#00322","Big Takoyaki"
"#00323","Tissues"
"#00324","Entry Ticket"
"#00325","BBQ Chicken"
"#00326","Fish Hotpot"
"#00327","Mixed BBQ"
"#00328","=#00132"
"#00329","Foot Long Dog"
"#00330","Jumbo Frank"
"#00331","Ancient Vase"
"#00332","Haniwa Figure"
"#00333","Scroll"
"#00334","Mummy"
"#00335","Ammonite"
"#00336","Pharaoh"
"#00337","Clay Vessel"
"#00338","Rare Vase"
"#00339","Celeb Statue"
"#00340","Knight Statue"
"#00341","Goddess Icon"
"#00342","Pig Statue"
"#00343","Dragon Statue"
"#00344","Kairobot Icon"
"#00345","Landscape"
"#00346","Old Etching"
"#00347","Abstract"
"#00348","Impressionist"
"#00349","Ukiyoe"
"#00350","Portrait"
"#00351","Rare Picture"
"#00352","Rare Painting"
"#00353","Kairobot Pic."
"#00354","Stamina"
"#00355","Brisk"
"#00356","Nimble"
"#00357","Genial"
"#00358","Food"
"#00359","Power"
"#00360","Speed"
"#00361","Deft"
"#00362","Service"
"#00363","Cooking"
"#00364","Endless"
"#00365","Swift"
"#00366","Precise"
"#00367","Smile"
"#00368","Gourmet"
"#00369","Smart Girl"
"#00370","Writer"
"#00371","Advertise in comics."
"#00372","Fancy Girl"
"#00373","Art Master"
"#00374","Cute Girl"
"#00375","Class Prez"
"#00376","Reseacher"
"#00377","Brat"
"#00378","Clever Boy"
"#00379","Make a local TV commercial."
"#00380","PE Student"
"#00381","Contestant"
"#00382","Make a cable TV commercial."
"#00383","Pretty Boy"
"#00384","Hipster"
"#00385","Make national TV commercial."
"#00386","Cat Lover"
"#00387","Co-ed"
"#00388","New Worker"
"#00389","Put up posters at the station."
"#00390","Shopkeeper"
"#00391","Secretary"
"#00392","Athlete"
"#00393","Cool Model"
"#00394","Artist"
"#00395","Freelancer"
"#00396","Manager"
"#00397","Put an ad in a weekly mag."
"#00398","Beautician"
"#00399","Architect"
"#00400","Golfer"
"#00401","Ballplayer"
"#00402","Wrestler"
"#00403","Housewife"
"#00404","Foodie"
"#00405","Put up a web banner."
"#00406","Essayist"
"#00407","Columnist"
"#00408","Cool Mom"
"#00409","Queen"
"#00410","Recorder"
"#00411","Clerk"
"#00412","Banker"
"#00413","Put an ad in the newspaper."
"#00414","Pilot"
"#00415","Dancer"
"#00416","Chef"
"#00417","Teacher"
"#00418","Ninja"
"#00419","Tea Expert"
"#00420","Florist"
"#00421","Use an advertising circular."
"#00422","Landlady"
"#00423","TV Talent"
"#00424","Magnate"
"#00425","Deli Cook"
"#00426","Designer"
"#00427","Farmer"
"#00428","Principal"
"#00429","Distribute an ad flyer."
"#00430","Healer"
"#00431","Musician"
"#00432","Doctor"
"#00433","Grocer"
"#00434","Adventurer"
"#00435","Cleaner"
"#00436","Sports Fan"
"#00437","Use movie theater ads."
"#00438","Model"
"#00439","First Lady"
"#00440","Noble"
"#00441","Supporter"
"#00442","Become a TV sponsor."
"#00443","Jockey"
"#00444","President"
"#00445","Sunny Girl"
"#00446","Cosplayer"
"#00447","Create an overseas website."
"#00448","Cold Girl"
"#00449","=#00373"
"#00450","Newly Rich"
"#00451","King"
"#00452","Make overseas commercials."
"#00453","Traveler"
"#00454","TV Host"
"#00455","Sale Card"
"#00456","Hold a sale to get attention."
"#00457","Shelf Card"
"#00458","Fit more products on shelves."
"#00459","Restock Card"
"#00460","Restock shelves instantly."
"#00461","♪ Card"
"#00462","Temporarily increase ♪."
"#00463","Staff Rest Card"
"#00464","Refill stamina of all staff."
"#00465","Award Card"
"#00466","Boost staff satisfaction."
"#00467","Nap Card"
"#00468","Refill 1 employee's stamina."
"#00469","Aura Card"
"#00470","Trigger an employee's aura."
"#00471","Type Book 1"
"#00472","Change to Stamina growth type."
"#00473","=MID(#00471,1,-1)&'2'"
"#00474","Change to Brisk growth type."
"#00475","=MID(#00471,1,-1)&'3'"
"#00476","Change to Nimble growth type."
"#00477","=MID(#00471,1,-1)&'4'"
"#00478","Change to Genial growth type."
"#00479","=MID(#00471,1,-1)&'5'"
"#00480","Change to Food growth type."
"#00481","=MID(#00471,1,-1)&'6'"
"#00482","Change to Power growth type."
"#00483","=MID(#00471,1,-1)&'7'"
"#00484","Change to Speed growth type."
"#00485","=MID(#00471,1,-1)&'8'"
"#00486","Change to Deft growth type."
"#00487","=MID(#00471,1,-1)&'9'"
"#00488","Change to Service growth type."
"#00489","=MID(#00471,1,-1)&'10'"
"#00490","Change to Cooking growth type."
"#00491","=MID(#00471,1,-1)&'11'"
"#00492","Change to Endless growth type."
"#00493","=MID(#00471,1,-1)&'12'"
"#00494","Change to Swift growth type."
"#00495","=MID(#00471,1,-1)&'13'"
"#00496","Change to Precise growth type."
"#00497","=MID(#00471,1,-1)&'14'"
"#00498","Change to Smile growth type."
"#00499","=MID(#00471,1,-1)&'15'"
"#00500","Change to Gourmet growth type."
"#00501","Comfy Gloves"
"#00502","Boosts dexterity."
"#00503","Rubber Gloves"
"#00504","Metal Glasses"
"#00505","Fashion Glasses"
"#00506","Thick Glasses"
"#00507","Slippers"
"#00508","Boosts speed."
"#00509","Slip-Ons"
"#00510","Loafers"
"#00511","Running Shoes"
"#00512","Super Shoes"
"#00513","Bandana"
"#00514","Boosts stamina."
"#00515","Spirit Cap"
"#00516","Pocket watch"
"#00517","Running Shirt"
"#00518","Long Underwear"
"#00519","Service 101"
"#00520","Boosts service."
"#00521","=MID(#00519,1,-3)&'201'"
"#00522","=MID(#00519,1,-3)&'301'"
"#00523","Business Manners"
"#00524","Speechmaking"
"#00525","Cook's Apron"
"#00526","Boosts cooking."
"#00527","Frying Pan"
