"@title","English"
"@language","en-US"
"@scale","auto"
"@appli","43 - Do not change"
"@version","2.09 - Do not change"
"@author","Your Name"
"#00000","Serena Lam"
"#00001","Ray Coffer"
"#00002","Ken Hays"
"#00003","Duke Higgs"
"#00004","May Gomez"
"#00005","Cletus Munn"
"#00006","Miki Woods"
"#00007","Jack Hayes"
"#00008","Amy Rice"
"#00009","Whitey Wells"
"#00010","Penny Lane"
"#00011","Yoyo Ha"
"#00012","Ginny Champ"
"#00013","Marsha Burns"
"#00014","Scoop Dodd"
"#00015","Iggy Hop"
"#00016","Dave Kato"
"#00017","Marco Ford"
"#00018","Jim Franks"
"#00019","Peach Trees"
"#00020","Indy Smith"
"#00021","Marilyn Love"
"#00022","Mocha Latte"
"#00023","Manford Cups"
"#00024","Jenny Mann"
"#00025","Pat Summers"
"#00026","Minnie Max"
"#00027","Polka Dotz"
"#00028","Cat Kidman"
"#00029","Butch Pitt"
"#00030","Ray Keys"
"#00031","Jim Maxwell"
"#00032","Mabel Smith"
"#00033","Yan Fields"
"#00034","Balsa Mick"
"#00035","Clemin Tyne"
"#00036","Ann Nonymous"
"#00037","Julia Kid"
"#00038","Ginela Clawson"
"#00039","Gordy Ramsly"
"#00040","Rachel Raygun"
"#00041","Snowy Hilton"
"#00042","Natalie Duvet"
"#00043","Pine Appleton"
"#00044","Margie Fuller"
"#00045","Alton Green"
"#00046","We're in the top 200 of the<br>Sunny Village rankings!"
"#00047","We're in the top 100 of the<br>Sunny Village rankings!"
"#00048","We're in the top 50 of the<br>Sunny Village rankings!"
"#00049","We're in the top 20 of the<br>Sunny Village rankings!"
"#00050","We've finally reached #1 in<br>the Sunny Village rankings!"
"#00051","We're in the top 300 of the<br>Greenville rankings!"
"#00052","We're in the top 200 of the<br>Greenville rankings!"
"#00053","We're in the top 100 of the<br>Greenville rankings!"
"#00054","We're in the top 50 of the<br>Greenville rankings!"
"#00055","We've finally reached #1 in<br>the Greenville rankings!"
"#00056","We're in the top 500 of the<br>Ocean View rankings!"
"#00057","We're in the top 300 of the<br>Ocean View rankings!"
"#00058","We're in the top 100 of the<br>Ocean View rankings!"
"#00059","We're in the top 50 of the<br>Ocean View rankings!"
"#00060","We've finally reached #1 in<br>the Ocean View rankings!"
"#00061","We're in the top 300 of the<br>Uni Town rankings!"
"#00062","We're in the top 100 of the<br>Uni Town rankings!"
"#00063","We're in the top 50 of the<br>Uni Town rankings!"
"#00064","We've finally reached #1 in<br>the Uni Town rankings!"
"#00065","We're in the top 300 of the<br>Heavenly Hills rankings!"
"#00066","We're in the top 100 of the<br>Heavenly Hills rankings!"
"#00067","We're in the top 50 of the<br>Heavenly Hills rankings!"
"#00068","We've finally reached #1 in<br>the Heavenly Hills rankings!"
"#00069","Your restaurant is the talk of<br>the town! This should boost<br>business for a while!"
"#00070","Our business is getting quite<br>popular! We should get<br>more customers for a while!"
"#00071","Our restaurant is attracting<br>a bit more interest!"
"#00072","Our reputation is immaculate--<br>just like our restaurant!"
"#00073","Customers are talking about<br>the new cooking equipment."
"#00074","The design on the pamphlets<br>has made us very popular<br>with customers!"
"#00075","The tissues worked even better<br>than expected! This should<br>boost business!"
"#00076","The point cards are very<br>popular with customers!"
"#00077","A local magazine did a story<br>about the coupons, so they<br>were surprisingly effective!"
"#00078","The free vouchers haven't<br>been very popular..."
"#00079","Our name recognition<br>among tourists has<br>skyrocketed!"
"#00080","The birthday discount coupons<br>weren't effective at all..."
"#00081","Our restaurant is now a<br>popular place to celebrate<br>birthdays!"
"#00082","People are saying that the<br>tasty new water has improved<br>the taste of our food!"
"#00083","The TV commercials have<br>drawn more people to our<br>restaurant!"
"#00084","The radio commercials have<br>drawn more people to our<br>restaurant!"
"#00085","The event was a smashing<br>success! It should have a<br>positive effect on business."
"#00086","The event didn't go very<br>well..."
"#00087","The ingredients were totally<br>incompatible! Taste and<br>appeal have plummeted!"
"#00088","The ingredients didn't blend<br>well, so the quality has<br>suffered..."
"#00089","The combination was perfect,<br>remarkably enhancing<br>taste and appeal!"
"#00090","The ingredients went well<br>together, improving taste<br>and appeal!"
"#00091","We're getting popular with<br><1> customers."
"#00092","We should get more customers for a while thanks to increased popularity!"
"#00093","We got a grant of<co=dd0806> <0></co>!"
"#00094","We found some buried<br>treasure! We get <co=dd0806><0></co>!"
"#00095","We found an old stash of<br>money! We get <co=dd0806><0></co>!"
"#00096","We got <co=dd0806><0></co> in consolation<br>money from the Restaurant<br>Association!"
"#00097","Our restaurant got more<br>popular after being featured<br>in a gourmet magazine!"
"#00098","Special Salt"
"#00099","Sugar"
"#00100","Thick Honey"
"#00101","Special Miso"
"#00102","A pillar of Japanese cuisine, distilled into its ultimate form."
"#00103","Soy Sauce"
"#00104","Secret Sauce"
"#00105","The greatest possible partner to any Japanese dish."
"#00106","Mild Vinegar"
"#00107","Thick Butter"
"#00108","Hot Spices"
"#00109","Ginger"
"#00110","Garlic"
"#00111","Pumpkin"
"#00112","Kikurage"
"#00113","A dark, flat mushroom, this is a versatile companion to a wide range of foods."
"#00114","Lettuce"
"#00115","Cabbage"
"#00116","Prize Mushroom"
"#00117","Northern Potato"
"#00118","Daikon Radish"
"#00119","A large, white radish commonly shredded and used as a garnish or made into a variety of pickles."
"#00120","Onion"
"#00121","Tomato"
"#00122","Carrot"
"#00123","Green Onion"
"#00124","Chinese Cabbage"
"#00125","Herbs"
"#00126","Spinach"
"#00127","Mushroom"
"#00128","Organic Rice"
"#00129","Flour"
"#00130","Sweet Corn"
"#00131","Beans"
"#00132","Tofu"
"#00133","Marbled Beef"
"#00134","Top-Class Pork"
"#00135","Boned Chicken"
"#00136","Fresh Milk"
"#00137","Fresh Eggs"
"#00138","Aged Cheese"
"#00139","Strawberries"
"#00140","Peach"
"#00141","Cherries"
"#00142","Tasty Fish"
"#00143","Sea Bream"
"#00144","Squid"
"#00145","Top-Class Shrimp"
"#00146","King Crab"
"#00147","Octopus"
"#00148","Small Clam"
"#00149","Dried Seaweed"
"#00150","Chocolate"
"#00151","Gold Flakes"
"#00152","The grandest of garnishes reserved for only the most elite connoisseurs."
"#00153","Matsutake"
"#00154","Sweet Potato"
"#00155","Bamboo"
"#00156","Cucumber"
"#00157","Small Fry"
"#00158","Orange"
"#00159","Apple"
"#00160","Grapes"
"#00161","Banana"
"#00162","Kelp"
"#00163","An edible seaweed that is both eaten fresh and used extensively as an ingredient in Japanese cuisine."
"#00164","Sea Urchin"
"#00165","Served raw as sashimi or in sushi, it practically melts in your mouth when fresh."
"#00166","Sea Snail"
"#00167","A large marine snail grilled in its spiny spiral shell and enjoyed as a culinary delicacy."
"#00168","Salmon Roe"
"#00169","Large, reddish-orange salmon eggs that are widely used as a sushi topping or served over a bowl of rice."
"#00170","Caviar"
"#00171","Foie Gras"
"#00172","Truffle"
"#00180","Local Woods"
"#00181","Steep Hills"
"#00182","Local Farm"
"#00183","Green Pasture"
"#00184","Fishery"
"#00185","Veggie Market"
"#00186","Fish Market"
"#00187","Craggy Rocks"
"#00188","Fisher's House"
"#00189","Contract Farmer"
"#00190","Top Fish Market"
"#00191","Associated Store"
"#00192","Dept. Store"
"#00193","NY Market"
"#00194","Kairo Island"
"#00195","General Counter"
"#00196","Used by parties of one."
"#00197","Chinese Counter"
"#00198","Great for single businessmen."
"#00199","Simple Counter"
"#00200","Perfect for young people."
"#00201","Luxury Counter"
"#00202","A chic counter."
"#00203","Industrial Table"
"#00204","A widely used type of table."
"#00205","Popular Table"
"#00206","Popular with housewives."
"#00207","Chinese Table"
"#00208","Popular with businessmen."
"#00209","Pop Table"
"#00210","A young and hip kind of table."
"#00211","Red Table"
"#00212","Comfy and great for housewives."
"#00213","Luxury Set"
"#00214","Great even for the elderly."
"#00215","Western Sofa"
"#00216","=#00206"
"#00217","Orange Crate"
"#00218","Great for thrifty tourists."
"#00219","Oak Cask Set"
"#00220","Popular with tourists."
"#00221","Student Set"
"#00222","For nostalgic businessmen."
"#00223","Office Set"
"#00224","For youth wanting to grow up."
"#00225","Standard Sofa"
"#00226","A widely used type of sofa."
"#00227","Luxury Sofa"
"#00228","=#00208"
"#00229","Simple Sofa"
"#00230","A young and hip kind of sofa."
"#00231","White Sofa"
"#00232","Talked about by housewives."
"#00233","Dining Sofa"
"#00234","Attracts businessmen."
"#00235","Relaxing Sofa"
"#00236","Great for tourists to relax."
"#00237","Japanese Set"
"#00238","Radiates subdued refinement."
"#00239","Floor Cushion Set"
"#00240","Makes your legs fall asleep."
"#00241","Bench"
"#00242","Borrowed from a local park."
"#00243","Simple Room"
"#00244","Can accommodate large numbers."
"#00245","Luxury Room"
"#00246","Incredibly comfortable."
"#00247","Relaxing Room"
"#00248","Offers supreme comfort."
"#00249","Leafy Plant"
"#00250","Soothes businessmen."
"#00251","Television"
"#00252","Leave it on all day."
"#00253","Bookshelf"
"#00254","Filled with light reading."
"#00255","Toy Corner"
"#00256","Great for entertaining kids."
"#00257","Audio Set"
"#00258","Play classical mood music."
"#00259","Public Phone"
"#00260","Useful for calling taxis."
"#00261","Vending Machine"
"#00262","Has soda, juice, and coffee."
"#00263","Arcade Game"
"#00264","A classic arcade game."
"#00265","Aquarium"
"#00266","With beautiful tropical fish."
"#00267","Theater Set"
"#00268","Play the latest movies."
"#00269","Gold Kairobot"
"#00270","Said to bring good luck..."
"#00271","Grand Piano"
"#00272","Enjoy live performances."
"#00273","Students"
"#00274","Youth"
"#00275","Businessmen"
"#00276","Housewives"
"#00277","Elderly"
"#00278","Tourists"
"#00279","Special"
"#00280","Kid"
"#00281","Gourmet Kid"
"#00282","Hyper Kid"
"#00283","Sports Kid"
"#00284","Little Girl"
"#00285","Preschooler"
"#00286","Female Student"
"#00287","Wannabe Singer"
"#00288","Trader"
"#00289","Freelancer"
"#00290","Researcher"
"#00291","Actor"
"#00292","Yuppie"
"#00293","Dancer"
"#00294","Pop Idol"
"#00295","Performer"
"#00296","Programmer"
"#00297","Manager"
"#00298","Executive"
"#00299","Samurai"
"#00300","Secretary"
"#00301","Sumo Wrestler"
"#00302","Eating Champ"
"#00303","Magnate"
"#00304","Artist"
"#00305","Lingerie Seller"
"#00306","Singer"
"#00307","Adventurer"
"#00308","Celebrity"
"#00309","Hina"
"#00310","TV Personality"
"#00311","Exec. Assistant"
"#00312","Chess Player"
"#00313","Hot Springs Fan"
"#00314","Gambler"
"#00315","King"
"#00316","PTA Member"
"#00317","Tea Master"
"#00318","Noh Actor"
"#00319","Wairobot"
"#00320","Tourist"
"#00321","Gangster"
"#00322","Oil King"
"#00323","Necromancer"
"#00324","Buyer"
"#00325","Opera Singer"
"#00326","Koala"
"#00327","Hero"
"#00328","Princess Prin"
"#00329","Grizzly Bearington"
"#00330","Pro Wrestler"
"#00331","Injured King"
"#00332","Gourmet Reporter"
"#00333","Masked Reviewer"
"#00334","Association Member"
"#00335","Rookie Chef"
"#00336","Chinese Chef"
"#00337","Japanese Chef"
"#00338","Western Chef"
"#00339","Expert Chef"
"#00340","5-Star Chef"
"#00341","Trainee"
"#00342","=#00297"
"#00343","Pro Staff"
"#00344","=#00295"
"#00345","Service Master"
"#00346","Ninja"
"#00347","Roller Skater"
"#00348","Popular Staff"
"#00349","Recipe Master"
"#00350","Musician"
"#00351","Animal Trainer"
"#00352","Kairo Staff"
"#00353","Floor A"
"#00354","Register A"
"#00355","Wall A"
"#00356","Floor B"
"#00357","Register B"
"#00358","Wall B"
"#00359","Floor C"
"#00360","Register C"
"#00361","Wall C"
"#00362","Floor D"
"#00363","Register D"
"#00364","Wall D"
"#00365","Floor E"
"#00366","Register E"
"#00367","Wall E"
"#00368","Floor F"
"#00369","Register F"
"#00370","Wall F"
"#00371","Pumpkin Products"
"#00372","Shop at Pumpkin Products."
"#00373","Open Store #2"
"#00374","Open a second location."
"#00375","=MID(#00373,1,-1)&'3'"
"#00376","Open a third location."
"#00377","Expansion Permit"
"#00378","Expand your restaurant."
"#00379","Recruit Staff"
"#00380","Recruit new staff members."
"#00381","Hire Balsa Mick"
"#00382","Negotiate with special staff."
"#00383","Hire Clemin Tyne"
"#00384","Hire Ann Nonymous"
"#00385","Hire Julia Kid"
"#00386","Hire Ginela Clawson"
"#00387","Hire Gordy Ramsly"
"#00388","Hire Rachel Raygun"
"#00389","Hire Snowy Hilton"
"#00390","Hire Natalie Duvet"
"#00391","Hire Pine Appleton"
"#00392","Hire Margie Fuller"
"#00393","Hire Alton Green"
"#00394","Advertise"
"#00395","Advertise your restaurant."
"#00396","Ingredient Search"
"#00397","Search for ingredients."
"#00398","Buy Tables"
"#00399","Buy new tables."
"#00400","Volunteer"
"#00401","Join volunteer activities."
"#00402","Invite Princess Prin"
"#00403","Host a special guest."
"#00404","Invite Grizzly Bearington"
"#00405","Invite Wairobot"
"#00406","Invite Pro Wrestler"
"#00407","Invite Injured King"
"#00408","Invite Reporter"
"#00409","Invite Masked Reviewer"
"#00410","Invite Assoc. Member"
"#00411","Cleaning"
"#00412","Special store event:<br>a neighborhood cleaning."
"#00413","Store Cleaning"
"#00414","Special store service:<br>perform a major cleaning."
"#00415","Chocolate Tasting"
"#00416","Special store event:<br>a chocolate tasting."
"#00417","Student Discount"
"#00418","Special store service:<br>student discounts."
"#00419","Point Cards"
"#00420","Special store service:<br>point card system."
"#00421","Pamphlets"
"#00422","Special store service:<br>pamphlet distribution."
"#00423","Water Tasting"
"#00424","Special store event:<br>mineral water tasting."
"#00425","Seaweed Cooking"
"#00426","Special store event:<br>seaweed cooking class."
"#00427","EZ Cooking Class"
"#00428","Special store event:<br>beginner's cooking class."
"#00429","Chef Lecture"
"#00430","Special store event:<br>lecture by a local chef."
"#00431","Coupons"
"#00432","Special store service:<br>discount coupons."
"#00433","Foreign Posters"
"#00434","Special store service:<br>foreign language posters."
"#00435","Distribute Menus"
"#00436","Special store service:<br>local menu distribution."
"#00437","Theme Song"
"#00438","Special store service:<br>store theme song."
"#00439","Eating Contest"
"#00440","Hold an eating contest."
"#00441","Nutrition Class"
"#00442","Special store event:<br>hold a nutritional class."
"#00443","Foreign Menus"
"#00444","Special store service:<br>Add foreign language menus."
"#00445","Free Souvenirs"
"#00446","Special store service:<br>free souvenirs."
"#00447","Food Tasting"
"#00448","Special store event:<br>food tasting party."
"#00449","Free Vouchers"
"#00450","Special store service:<br>free food vouchers."
"#00451","Birthday Discount"
"#00452","Special store service:<br>birthday discount coupons."
"#00453","Manners Class"
"#00454","Special store event:<br>class on table manners."
