"@title","English"
"@language","en-US"
"@scale","auto"
"@appli","92 - Do not change"
"@version","1.75 - Do not change"
"@author","Your Name"
"#00000","Cat"
"#00001","animal"
"#00002","Land Value +<0>%"
"#00003","Dog"
"#00004","Move +<0> tiles"
"#00005","Hawk"
"#00007","Duck"
"#00008","Talent +<0>%"
"#00009","Panda"
"#00010","Bunny"
"#00011","Coziness +<0>%"
"#00012","Alpaca"
"#00013","Zeal +<0>%"
"#00014","Octo-Alien"
"#00015","魅力 +<0>%UP"
"#00016","Penguin"
"#00017","Koala"
"#00018","Metabok"
"#00019","HP +<0>%"
"#00020","Saucer Ambassador"
"#00021","Kappa"
"#00022","Chicken"
"#00023","Flamingo"
"#00024","Sheep"
"#00025","Goat"
"#00026","Kangaroo"
"#00027","Elephant"
"#00028","Cow"
"#00029","Crocodile"
"#00030","Giraffe"
"#00031","Kairo Puppy"
"#00032","Secretary"
"#00033","Una"
"#00034","chara"
"#00035","I'm so happy to be working<br>with you! We'll make a great team!"
"#00036","Dreamer"
"#00037","Willy"
"#00038","Tina"
"#00039","Reeves"
"#00040","Trevor"
"#00041","Sanders"
"#00042","Greg"
"#00043","Anderson"
"#00044","Andrew"
"#00045","King"
"#00046","Monty"
"#00047","Frye"
"#00048","Owen"
"#00049","McCoy"
"#00050","Josh"
"#00051","Baker"
"#00052","Paul"
"#00053","Fisher"
"#00054","Henry"
"#00055","Racer"
"#00056","Roy"
"#00057","Davies"
"#00058","Leon"
"#00059","Fraser"
"#00060","Nick"
"#00061","Woods"
"#00062","=#00037"
"#00063","Willies"
"#00064","Scott"
"#00065","Fletcher"
"#00066","Chad"
"#00067","Smith"
"#00068","Victor"
"#00069","Moore"
"#00070","Jared"
"#00071","Lee"
"#00072","Richard"
"#00073","Evans"
"#00074","Gary"
"#00075","Fox"
"#00076","Dan"
"#00077","Wayne"
"#00078","Rudy"
"#00079","Perry"
"#00080","Tom"
"#00081","Cross"
"#00082","Dylan"
"#00083","Anthony"
"#00084","Kevin"
"#00085","Bishop"
"#00086","Brian"
"#00087","Parsons"
"#00088","Mark"
"#00089","Shah"
"#00090","James"
"#00091","Dunn"
"#00092","Justin"
"#00093","Moss"
"#00094","Frank"
"#00095","Lopez"
"#00096","Sam"
"#00097","Rowe"
"#00098","Jose"
"#00099","Forrest"
"#00100","Kyle"
"#00101","Miles"
"#00102","Harold"
"#00103","Yates"
"#00104","Jeremy"
"#00105","Abbott"
"#00106","Joe"
"#00107","Wheeler"
"#00108","Albert"
"#00109","Eatley"
"#00110","Jim"
"#00111","Jay"
"#00112","John"
"#00113","Sparks"
"#00114","Barry"
"#00115","Tanaka"
"#00116","Takeshi"
"#00117","Michihiro"
"#00118","Koji"
"#00119","Shea"
"#00120","Alexey"
"#00121","Finn"
"#00122","Ash"
"#00123","Osborne"
"#00124","Steward"
"#00125","Fuller"
"#00126","Stanley"
"#00127","Bearington"
"#00128","Stevie"
"#00129","McCaw"
"#00130","Juan"
"#00131","Snelling"
"#00132","Russel"
"#00133","Raven"
"#00134","Logan"
"#00135","Heron"
"#00136","Eugene"
"#00137","Mawson"
"#00138","Ralph"
"#00139","=#00056"
"#00140","Greene"
"#00141","Luke"
"#00142","Z"
"#00143","Khalid"
"#00144","Faleed"
"#00145","Snow"
"#00146","Ian"
"#00147","Jardine"
"#00148","Hugh"
"#00149","Kumar"
"#00150","Arjun"
"#00151","Sherwood"
"#00152","Robin"
"#00153","Patel"
"#00154","Avi"
"#00155","Spicer"
"#00156","Radall"
"#00157","Pebbles"
"#00158","Rocky"
"#00159","Blakey"
"#00160","Johann"
"#00161","Trucker"
"#00162","Chuck"
"#00163","Rashid"
"#00164","=#00096"
"#00165","Pickard"
"#00166","Sean"
"#00167","Tang"
"#00168","Lim"
"#00169","Crossby"
"#00170","Cody"
"#00171","Jimenez"
"#00172","Diego"
"#00173","Sharpe"
"#00174","Seth"
"#00175","Fellows"
"#00176","Xavier"
"#00177","Salter"
"#00178","Dominic"
"#00179","Wilde"
"#00180","=#00052"
"#00181","Barrow"
"#00182","Ivan"
"#00183","Childs"
"#00184","Brady"
"#00185","Porker"
"#00186","Nolan"
"#00187","Peter"
"#00188","Nash"
"#00189","Singh"
"#00190","Omar"
"#00191","Bowler"
"#00192","Shane"
"#00193","Weir"
"#00194","Derek"
"#00195","Gale"
"#00196","Wesley"
"#00197","Archer"
"#00198","Andy"
"#00199","Gomez"
"#00200","Sergio"
"#00201","Albiach"
"#00202","Roberto"
"#00203","Cuevas"
"#00204","Ruben"
"#00205","Ciancetta"
"#00206","Fabio"
"#00207","Silva"
"#00208","Oliver"
"#00209","Rogers"
"#00210","Ray"
"#00211","Willkins"
"#00212","Corie"
"#00213","Duffy"
"#00214","Jaxon"
"#00215","=#00045"
"#00216","Pumpkin"
"#00217","Little"
"#00218","Troy"
"#00219","Garcia"
"#00220","Rafael"
"#00221","=#00095"
"#00222","Pedro"
"#00223","Garner"
"#00224","Derrick"
"#00225","Savage"
"#00226","Skyler"
"#00227","Smart"
"#00228","Mitch"
"#00229","Howell"
"#00230","Dustin"
"#00231","Kumax"
"#00232","Samuraibot"
"#00233","Wairo"
"#00234","Howard"
"#00235","Zane"
"#00236","Wolff"
"#00237","Geralt"
"#00238","Wyrm"
"#00239","Drake"
"#00240","Gonzalez"
"#00241","Raul"
"#00242","Edgar"
"#00243","Grummer"
"#00244","Leslie"
"#00245","Webster"
"#00246","Lenny"
"#00247","Rooster"
"#00248","Wilbert"
"#00249","Porter"
"#00250","Maurice"
"#00251","Dart"
"#00252","Stan"
"#00253","Dimm"
"#00254","Van"
"#00255","Nguyen"
"#00256","=#00050"
"#00257","Flowers"
"#00258","Harry"
"#00259","=#00114"
"#00260","=#00074"
"#00261","Boss"
"#00262","Leonard"
"#00263","Uno"
"#00264","Matias"
"#00265","Dos"
"#00266","Miguel"
"#00267","Tres"
"#00268","Mateo"
"#00269","Pitcher"
"#00270","Tyron"
"#00271","Ackbar"
"#00272","=#00045"
"#00273","Millet"
"#00274","Hugo"
"#00275","Nutkins"
"#00276","Sydney"
"#00277","Hardy"
"#00278","Gerard"
"#00279","Rice"
"#00280","Buddy"
"#00281","Higgins"
"#00282","Phillip"
"#00283","Streams"
"#00284","Nathan"
"#00285","Rivers"
"#00286","Joel"
"#00287","Lakes"
"#00288","Theo"
"#00289","Hoggs"
"#00290","Bill"
"#00291","Hall"
"#00292","Ramon"
"#00293","Poole"
"#00294","Cecil"
"#00295","Fernandez"
"#00296","Angel"
"#00297","Pears"
"#00298","Jamie"
"#00299","Apples"
"#00300","Duane"
"#00301","Bot"
"#00302","House"
"#00303","Claire"
"#00304","Cindy"
"#00305","Blu"
"#00306","Hill"
"#00307","May"
"#00308","Mary"
"#00309","Meg"
"#00310","Knoller"
"#00311","Jessica"
"#00312","Rees"
"#00313","Amanda"
"#00314","Goodworth"
"#00315","Irene"
"#00316","Meadows"
"#00317","Suzie"
"#00318","Leaves"
"#00319","Ivy"
"#00320","Ryder"
"#00321","Fiona"
"#00322","Ricci"
"#00323","Fedra"
"#00324","Moretti"
"#00325","Dina"
"#00326","De Luca"
"#00327","Loretta"
"#00328","Schwartz"
"#00329","Bettina"
"#00330","Muller"
"#00331","Lola"
"#00332","Cooke"
"#00333","Deb"
"#00334","Potter"
"#00335","Lisa"
"#00336","Tucker"
"#00337","Karen"
"#00338","Connolly"
"#00339","Sabrina"
"#00340","Kong"
"#00341","Lin"
"#00342","Parker"
"#00343","Ann"
"#00344","Banks"
"#00345","Janice"
"#00346","=#00097"
"#00347","Tammy"
"#00348","Love"
"#00349","Lori"
"#00350","Diaz"
"#00351","Julia"
"#00352","Perrez"
"#00353","Emma"
"#00354","Torres"
"#00355","Mia"
"#00356","Santos"
"#00357","Camila"
"#00358","Cortes"
"#00359","Bianca"
"#00360","Tipping"
"#00361","Norma"
"#00362","Keely"
"#00363","Ruby"
"#00364","Stark"
"#00365","Berry"
"#00366","Bing"
"#00367","Crystal"
"#00368","Dove"
"#00369","Becky"
"#00370","Pickering"
"#00371","Holly"
"#00372","Snowdon"
"#00373","Dana"
"#00374","Fairlie"
"#00375","Oprah"
"#00376","Madden"
"#00377","June"
"#00378","Powers"
"#00379","April"
"#00380","Curley"
"#00381","Wendy"
"#00382","Young"
"#00383","Samantha"
"#00384","Olde"
"#00385","Trudy"
"#00386","Rancher"
"#00387","Lila"
"#00388","Seaworth"
"#00389","Rose"
"#00390","Hopes"
"#00391","Daisy"
"#00392","Faye"
"#00393","Violet"
"#00394","Spinks"
"#00395","Willow"
"#00396","Boden"
"#00397","Sandy"
"#00398","Poppins"
"#00399","Roxanne"
"#00400","South"
"#00401","Nana"
"#00402","North"
"#00403","Steph"
"#00404","Chilling"
"#00405","Judy"
"#00406","Swelter"
"#00407","Gordy"
"#00408","Rayne"
"#00409","Hailey"
"#00410","Wordy"
"#00411","=#00304"
"#00412","Booke"
"#00413","Thelma"
"#00414","Carrs"
"#00415","Tara"
"#00416","Monke"
"#00417","Ellen"
"#00418","Prime"
"#00419","Anita"
"#00420","Leary"
"#00421","Hazel"
"#00422","Dundon"
"#00423","Misty"
"#00424","Beeston"
"#00425","Alice"
"#00426","Wicke"
"#00427","Cathy"
"#00428","Shrimp"
"#00429","Sheila"
"#00430","Paddy"
"#00431","Naomi"
"#00432","Waters"
"#00433","Zadie"
"#00434","Flaxon"
"#00435","Lina"
"#00436","Atwood"
"#00437","Lena"
"#00438","Miner"
"#00439","Francis"
"#00440","Birder"
"#00441","Hannah"
"#00442","Cliff"
"#00443","Shannon"
"#00444","Keys"
"#00445","Rory"
"#00446","Malik"
"#00447","Oakley"
"#00448","Skipper"
"#00449","Eli"
"#00450","Chance"
"#00451","Jade"
"#00452","Depp"
"#00453","Quinn"
"#00454","=#00291"
"#00455","Federica"
"#00456","Roth"
"#00457","Acton"
"#00458","Tomes"
"#00459","Skye"
"#00460","Furey"
"#00461","Montana"
"#00462","Skelly"
"#00463","Gray"
"#00464","Buttery"
"#00465","Xoan"
"#00466","Chung"
"#00467","Sage"
"#00468","Klam"
"#00469","Reese"
"#00470","Lobster"
"#00471","Lumi"
"#00472","Eyre"
"#00473","Micah"
"#00474","Castle"
"#00475","Glen"
"#00476","=#00010"
"#00477","Bunbun"
"#00478","Kairo"
"#00479","Princess"
"#00480","Li'l Sally"
"#00481","Sally"
"#00482","Toadie"
"#00483","Stacey"
"#00484","Sweet"
"#00485","Joy"
"#00486","Salty"
"#00487","Vivian"
"#00488","Thorne"
"#00489","Tamara"
"#00490","Prickles"
"#00491","Mabel"
"#00492","Growler"
"#00493","Jo"
"#00494","Stapleton"
"#00495","Liah"
"#00496","Hinch"
"#00497","Kay"
"#00498","Chen"
"#00499","Sherry"
"#00500","Pole"
"#00501","Ramona"
"#00502","Tempest"
"#00503","Ada"
"#00504","=#00195"
"#00505","Iris"
"#00506","Storm"
"#00507","Sonya"
"#00508","Blizzard"
"#00509","Leticia"
"#00510","Sterling"
"#00511","Yvette"
"#00512","Teale"
"#00513","Yvonne"
"#00514","Bragg"
"#00515","Alix"
"#00516","Hedges"
"#00517","Elena"
"#00518","Hipper"
"#00519","Rachel"
"#00520","Blunden"
"#00521","Nadine"
"#00522","Walshe"
"#00523","Ginger"
"#00524","Morgan"
"#00525","Mona"
"#00526","Lyes"
"#00527","Tricia"
"#00528","Richter"
"#00529","Alyssa"
"#00530","Bulloch"
"#00531","Miranda"
"#00532","Katt"
"#00533","Alisha"
"#00534","Locke"
"#00535","Dolores"
"#00536","=#00041"
"#00537","Kirwan"
"#00538","Frankie"
"#00539","Tilson"
"#00540","Ben"
"#00541","Bendall"
"#00542","Lewis"
"#00543","Mumby"
"#00544","=#00074"
"#00545","Avis"
"#00546","David"
"#00547","Yamada"
"#00548","Hiroshi"
"#00549","Liu"
"#00550","Han"
"#00551","Huang"
"#00552","Bai"
"#00553","Starbuck"
"#00554","Ed"
"#00555","Yasmin"
"#00556","Todd"
"#00557","Mutch"
"#00558","Carlos"
"#00559","Mochipon"
"#00560","=#00072"
"#00561","Pong"
"#00562","Prof."
"#00563","Doctor"
"#00564","Abe"
"#00565","Fluffer"
"#00566","Sheepy"
"#00567","Wooly"
"#00568","Fleece"
"#00569","Gentlebot"
"#00570","Evil"
"#00571","Mr."
"#00572","Junior"
"#00573","=#00478"
"#00574","Ninjabot"
"#00575","Botovsky"
"#00576","=#00478"
"#00577","Zombie"
"#00578","Zonny"
"#00579","Orchard"
"#00580","Yello"
"#00581","Knowsall"
"#00582","PA"
"#00583","Merry"
"#00584","Marie"
"#00585","=#00308"
"#00586","Christoph"
"#00587","Christy"
"#00588","Aide"
"#00589","Kairobot"
"#00590","Chimpanne"
"#00591","Picnic Combo"
"#00592","Sweets Combo"
"#00593","Chubby Combo"
"#00594","Eating-Out Combo"
"#00595","Groceries Combo"
"#00596","Lazy Day Combo"
"#00597","Jolly combo"
"#00598","Family Combo"
"#00599","Fashion Combo"
"#00600","Education Combo"
"#00601","Convenient Combo"
"#00602","Medical Combo"
"#00603","Chill-Out Combo"
"#00604","Housekeeper Combo"
"#00605","Gamers Combo"
"#00606","Hi-Tec Combo"
"#00607","Otaku Combo"
"#00608","Eventful Combo"
"#00609","Weekend Combo"
"#00610","Vehicle Combo"
"#00611","H. Springs Combo"
"#00612","Sporty Combo"
"#00613","Critter Combo"
"#00614","Old-Timey Combo"
"#00615","Touristy Combo"
"#00616","Seaside Combo"
"#00617","Rural Combo"
"#00618","DIY Combo"
"#00619","Day Out Combo"
"#00620","Bodyguard Combo"
"#00621","Estate Combo"
"#00622","Amusement Combo"
"#00623","High-Rise Combo"
"#00624","Posh Combo"
"#00625","Grown-Up Combo"
"#00626","Oriental Combo"
"#00627","Castle Combo"
"#00628","Aviation Combo"
"#00629","Health Combo"
"#00630","Pleasure Combo"
"#00631","Shopping Combo"
"#00632","Celeb Combo"
"#00633","Local Combo"
"#00634","Culture Combo"
"#00635","Gourmet Combo"
"#00636","=#00599"
"#00637","Student Combo"
"#00638","Business Combo"
"#00639","Intellect Combo"
"#00640","Industry Combo"
"#00641","Date Combo"
"#00642","Fitness Combo"
"#00643","Nature Combo"
"#00644","Lunch Combo"
"#00645","Silicon Combo"
"#00646","Animal Combo"
"#00647","Fishy Combo"
"#00648","Fresh-Made Combo"
"#00649","Musical Combo"
"#00650","Sinister Combo"
"#00651","Hollywood Combo"
"#00652","Kairo Park Combo"
