"@title","English"
"@language","en-US"
"@scale","auto"
"@appli","64 - Do not change"
"@version","2.14 - Do not change"
"@author","Your Name"
"#00000","Normal Pendant"
"#00001","Heart Pendant"
"#00002","Lucky Pendant"
"#00003","Leather Gloves"
"#00004","Red Gloves"
"#00005","Atomic Gloves"
"#00006","Silver Fauld"
"#00007","Golden Fauld"
"#00008","Raven Charm"
"#00009","Winged Charm"
"#00010","Old Armlet"
"#00011","Knight Armlet"
"#00012","Hero Armlet"
"#00013","Holy Armlet"
"#00014","Bronze Ring"
"#00015","Silver Ring"
"#00016","Golden Ring"
"#00017","Forest Earrings"
"#00018","Ancient Earrings"
"#00019","Golden Earrings"
"#00020","Dewdrop Pendant"
"#00021","Lightning Pendant"
"#00022","Snow Pendant"
"#00023","Fire Pendant"
"#00024","Amethyst Ring"
"#00025","Sapphire Ring"
"#00026","Bronze Medal"
"#00027","Silver Medal"
"#00028","Gold Medal"
"#00029","Kairo Medal"
"#00030","Old Helm"
"#00031","Knight Helm"
"#00032","Golden Helm"
"#00033","Bronze Helm"
"#00034","Silver Helm"
"#00035","Ultra Gold Helm"
"#00036","Leather Cap"
"#00037","Viking Hood"
"#00038","Battle Hood"
"#00039","Bandana"
"#00040","Sea Bandana"
"#00041","Desert Bandana"
"#00042","Golden Circlet"
"#00043","Lucky Circlet"
"#00044","Hero Crown"
"#00045","Magic Hat"
"#00046","Cursed Hat"
"#00047","Monk Hat"
"#00048","Priest Hat"
"#00049","Old Shield"
"#00050","Knight Shield"
"#00051","Golden Shield"
"#00052","Bronze Shield"
"#00053","Silver Counter"
"#00054","Golden Counter"
"#00055","Warrior Shield"
"#00056","Magic Shield"
"#00057","Goddess Shield"
"#00058","Light Guard"
"#00059","Atomic Guard"
"#00060","Hero Shield"
"#00061","Monk Shield"
"#00062","Priest Shield"
"#00063","Nomad Clothes"
"#00064","Trader Clothes"
"#00065","Monk Robe"
"#00066","Priest Robe"
"#00067","Kung Fu Garb"
"#00068","Combat Garb"
"#00069","Doctor Suit"
"#00070","Black Suit"
"#00071","Overalls"
"#00072","Nice Overalls"
"#00073","Bronze Armor"
"#00074","Silver Armor"
"#00075","Red Armor"
"#00076","Hero Armor"
"#00077","Knight Armor"
"#00078","Golden Armor"
"#00079","Holy Armor"
"#00080","BBQ Contest"
"#00081","Boosts adventurer Satisfaction."
"#00082","Try lots of choice meats."
"#00083","Melon Eating Contest"
"#00084","Watch the seeds go flying."
"#00085","Stew Party"
"#00086","Have some nice seafood stew."
"#00087","Cake Contest"
"#00088","Make and eat cakes."
"#00089","Marathon"
"#00090","Adventurer Health increases."
"#00091","Have a friendly race."
"#00092","Athletic Meet"
"#00093","Be a good sport!"
"#00094","Joint Training"
"#00095","Boosts Strength."
"#00096","Test your mettle in training."
"#00097","Training Camp"
"#00098","Adventurer Strength increases."
"#00099","Have a pillow fight before bed."
"#00100","Melee Training"
"#00101","Adventurer Dexterity increases."
"#00102","Learn some simple techniques."
"#00103","Weapons Lecture"
"#00104","Learn how to use weapons."
"#00105","Weight Lifting"
"#00106","Adventurer Toughness increases."
"#00107","Learn popular exercises."
"#00108","Sea Training"
"#00109","Get soothed by the waves."
"#00110","Magic Theory 1"
"#00111","Adventurer Spirit increases."
"#00112","A beginner's course."
"#00113","=MID(#00110,1,-1)&'2'"
"#00114","With a special instructor."
"#00115","Meteor Viewing"
"#00116","Adventurer Luck increases."
"#00117","Wish 3 times for good luck."
"#00118","Casino Party"
"#00119","Improve gambler's instincts."
"#00120","Art Show"
"#00121","Boosts town Popularity."
"#00122","Get an artistic image."
"#00123","Concert"
"#00124","Be soothed by classical music."
"#00125","Product Show"
"#00126","Exhibit local products."
"#00127","Fireworks Show"
"#00128","Ooh! Aah!"
"#00129","Dance Party"
"#00130","Invite townspeople to a dance."
"#00131","Museum Tour"
"#00132","Get an intellectual image."
"#00133","Circus Party"
"#00134","Attract attention to the town."
"#00135","Cleaning Party"
"#00136","Clean up to boost Popularity."
"#00137","Town Watch"
"#00138","Patrol to preserve safety."
"#00139","Expand Town 1"
"#00140","Expand your town."
"#00141","=MID(#00139,1,-1)&'2'"
"#00143","Expand Cauldron 1"
"#00144","Expand your Cauldron."
"#00145","=MID(#00143,1,-1)&'2'"
"#00146","Add Cauldron"
"#00147","Add a Cauldron."
"#00148","John Dungeon"
"#00149","Clown Stripe"
"#00150","Lance Alot"
"#00151","Fluffie Kiss"
"#00152","Donkey Hotty"
"#00153","Sid Pervia"
"#00154","Gilly Gamesh"
"#00155","Angie Jelly"
"#00156","Bamza Reoulv"
"#00157","Jill Nabath"
"#00158","Seffy Roth"
"#00159","Harry Gorn"
"#00160","Stumblemore"
"#00161","May Le Tigre"
"#00162","Frod Bigguns"
"#00163","Masque Mann"
"#00164","Chung Lailai"
"#00165","May Akiba"
"#00166","Flippin Book"
"#00167","Book Shields"
"#00168","Voldy Moore"
"#00169","Harly Potler"
"#00170","Max Spellman"
"#00171","Sam Ganges"
"#00172","Lily Raven"
"#00176","<0> complete!"
"#00177","<0> cleared!"
"#00178","Holding the <0> increased everyone's Satisfaction!"
"#00179","Everyone is thrilled that <0> went up in rank!"
"#00180","Completing the quest increased your town's Popularity!"
"#00181","The adventurers are disappointed that the quest was canceled..."
"#00182","Adventurers everywhere are talking about <0>!"
"#00183","Snow Potato"
"#00184","A hearty potato."
"#00185","Fresh Milk"
"#00186","Milk fresh from the cow."
"#00187","Giant Melon"
"#00188","An unusual watermelon."
"#00189","Fancy Ham"
"#00190","Sliced very thin."
"#00191","Meatballs"
"#00192","Perfect for a boxed lunch."
"#00193","Marbled Steak"
"#00194","Made from top-grade beef."
"#00195","Real Cheese"
"#00196","Melty delicious cheese."
"#00197","Choice Herring"
"#00198","A fish from the nearby sea."
"#00199","Fresh Tuna"
"#00200","A fish from icy waters."
"#00201","Iron Pipe"
"#00202","Used for plumbing work."
"#00203","Cheap Bra"
"#00204","It was on sale..."
"#00205","Meteorite"
"#00206","Part of a falling star."
"#00207","Beehive"
"#00208","Bears love honey!"
"#00209","Bat Wing"
"#00210","Said to be good luck."
"#00211","Magic Lamp"
"#00212","A lamp with a long history..."
"#00213","Champagne"
"#00214","The bubbles tickle your nose."
"#00215","Light Diamond"
"#00216","Glows with holy light."
"#00217","Angel Crystal"
"#00218","Lost by a forgetful angel."
"#00219","Fluffy Blanket"
"#00220","Made of top-grade cotton."
"#00221","Sleepy Pillow"
"#00222","Puts you right to sleep."
"#00223","Chocolate Bar"
"#00224","Sweet sweet chocolate..."
"#00225","Party Pinata"
"#00226","Sometimes doesn't break."
"#00227","Fancy Melon"
"#00228","A rare imported melon."
"#00229","Master Violin"
"#00230","A master's handmade violin."
"#00231","Gold Bar"
"#00232","A must-have for the mega-rich."
"#00233","Nata de Coco"
"#00234","Coconut jelly! Yum!"
"#00235","Stuffed Toy"
"#00236","Based on a popular character."
"#00237","Old Spellbook"
"#00238","Contains ancient spells."
"#00239","Ancient Book"
"#00240","Holds the wisdom of the ages."
"#00241","Salve"
"#00242","Restores 50 HP."
"#00243","Powerful Salve"
"#00244","Restores 200 HP."
"#00245","Ultimate Salve"
"#00246","Restores 1,000 HP."
"#00247","Fire Spellbook"
"#00248","Teaches fire magic."
"#00249","Ice Spellbook"
"#00250","Teaches ice magic."
"#00251","Lightning Spellbook"
"#00252","Teaches lightning magic."
"#00253","Healing Spellbook"
"#00254","Teaches healing magic."
"#00255","Adventurer"
"#00256","Gives high tax income."
"#00257","Farmer"
"#00258","Reduces the cost of plants."
"#00259","Carpenter"
"#00260","Fast construction speed."
"#00261","Merchant"
"#00262","Warrior"
"#00263","Boosts Combat School prices."
"#00264","Mage"
"#00265","Boosts Magic Lab prices."
"#00266","Monk"
"#00267","Archer"
"#00268","Boosts Archery Range prices."
"#00269","Knight"
"#00270","Cook"
"#00271","Clown"
"#00272","Boosts Circus prices."
"#00273","Bard"
"#00274","Ninja"
"#00275","Black Marketer"
"#00276","Kung Fu Master"
"#00277","Mercenary"
"#00278","Wrestler"
"#00279","Hero"
"#00280","Wizard"
"#00281","King"
"#00282","Boosts Castle prices."
"#00283","Princess"
"#00284","Kairobot"
"#00285","Princess Prin"
"#00286","=#00193"
"#00287","=#00205"
"#00288","=#00211"
"#00289","=#00217"
"#00290","=#00229"
"#00291","=#00231"
"#00292","=#00241"
"#00293","=#00243"
"#00294","=#00245"
"#00295","=#00247"
"#00296","=#00249"
"#00297","=#00251"
"#00298","=#00253"
"#00299","Fire Axe"
"#00300","Ice Sword"
"#00301","Ice Arrow"
"#00302","Ice Lance"
"#00303","Lightning Spear"
"#00304","Fiery Rod"
"#00305","Fire Arrow"
"#00306","Demon Axe"
"#00307","=#00043"
"#00308","=#00044"
"#00309","=#00045"
"#00310","=#00046"
"#00311","=#00054"
"#00312","=#00057"
"#00313","=#00060"
"#00314","=#00076"
"#00315","=#00020"
"#00316","=#00021"
"#00317","=#00022"
"#00318","=#00023"
"#00319","=#00012"
"#00320","Witch's House"
"#00321","Fortuneteller"
"#00322","Haunted House"
"#00323","Cannon Shop"
"#00324","Sacred Tree"
"#00325","Dungeon Village<br>This is a town development simulation set in a fantasy world of swords and sorcery. You must help adventurers grow stronger while developing your town."
,"▼Game Flow<br>Develop your town's facilities and equipment to attract adventurers and allow them to complete quests. Try to get your town a 5-star rating!"
,"▼Adventurer Behavior<br>Adventurers use the town to prepare for fighting monsters. They will eventually move on, but in some cases they will decide to stay in town permanently."
,"▼Adventurer Attributes 1<br>HP<br>Hit Points go down when an adventurer takes damage. When it reaches 0, they fall unconscious. Armor and accessories can boost HP."
,"▼Adventurer Attributes 2<br>Attack<br>Higher Attack allows adventurers to do more damage to monsters. Weapons can boost Atk."
,"▼Adventurer Attributes 3<br>Defense<br>Higher Defense allows adventurers to take less damage from monsters. Armor and accessories can boost Def."
,"▼Adventurer Attributes 4<br>Sprt<br>The higher the Spirit, the more damage magical attacks will inflict. Weapons can boost Spirit."
,"▼Basic Attributes<br>Health: Affects HP<br>Strength: Affects Attack<br>Dexterity: Affects number of attacks<br>Toughness: Affects Defense<br>Magic: Affects Spirit<br>Luck: Affects treasure chest contents"
,"▼Work<br>Increasing adventurers' Work attribute boosts their ""basic"" attributes. This helps them defeat a lot of monsters and lets them contribute to the development of the town."
,"▼Satisfaction<br>Satisfaction goes up when adventurers use high-quality facilities or are given items as presents."
,"▼Auras<br>Auras are more likely to be triggered when an adventurer has a high Work attribute. Auras boost Attack, the number of attacks, and Defense."
,"▼Moving to Town<br>Adventurers will want to move into town once their Satisfaction reaches a certain level.<br>Select ""Vacant House"" from the ""Build"" menu to build a house."
,"▼Taxes<br>Adventurers with homes in town will pay taxes each year depending on the number of monsters they have defeated. The more monsters they defeat, the more they pay."
,"▼Presents<br>Giving presents of items or equipment to adventurers increases their Satisfaction and Work attribute. This can be key to developing the town."
,"▼Jobs<br>You can use Town Points to change an adventurer's job. Attributes are carried over, so once one job is mastered, you can switch to another to make your adventurers stronger."
,"▼Facilities 1<br>Inn<br>Staying at an inn fully restores an adventurer's HP. Adventurers defeated in battle are also taken there, so building one in your town is definitely a good idea!"
,"▼Facilities 2<br>Shops<br>Adventurers can use equipment purchased at weapon, accessory, and armor shops. New equipment can be found in dungeons."
,"▼Facilities 3<br>Other Facilities<br>Adventurers pay to use other facilities, which can increase their attributes. If the quality is high enough, their Satisfaction will also rise."
,"▼Improving Facilities<br>Using items on a facility can boost its price, quality, and appeal to adventurers. More appealing facilities will be used more often."
,"▼Town Points<br>You will get Town Points each month based on the number of monsters you defeat. They can be used to change adventurers' jobs or purchase facilities."
,"▼Town Popularity<br>Satisfying visiting adventurers and building facilities will increase your town's Popularity, attracting new adventurers to your town."
,"▼Quests 1<br>Dungeon Exploration<br>Explore dungeons that are discovered near town to look for treasure. The more adventurers that join an expedition, the faster it can be completed."
,"▼Quest 2<br>Defeating Monsters<br>Defeat groups of monsters that appear outside of town. The more adventurers that take part, the easier the victory."
,"▼Town Ranking<br>Fulfill certain conditions to rise in rank. This improves the selection of products in shops and allows you to take on more advanced quests."
,"▼Events<br>Hold events to make the town more lively, increasing adventurer attributes and Satisfaction. You can only hold a limited number of events each season."
,"▼Magic Cauldron<br>Put items from shops or monsters into a Cauldron to store up Magic Points and convert them into rare facilities and equipment. Discover new recipes with research."
,"▼Medals<br>You can give medals to adventurers who have performed well. This can greatly affect their Satisfaction and Work attributes, so choose your recipients well."
,"▼Ending<br>The game ""ends"" after the 3rd month of the 16th year. Your high score is calculated based on your funds and Clear Points, but you can continue to play as long as you like."
,"▼Other<br>When you start a new game after clearing the game once, some of your data will be carried over, making it easier to beat your high score."
"#00326","Balbo"
"#00327","A cute and jiggly enemy."
"#00328","Mozar"
"#00329","Looks for food with tentacles."
"#00330","Kakakari"
"#00331","Hard appearance, soft heart."
"#00332","Pow-Pow"
"#00333","Attacks with sharp ears."
"#00334","Mush-Roo"
"#00335","A mutated wild mushroom."
"#00336","Orblob"
"#00337","Soft, with lots of moisture."
"#00338","Mojo-Jobo"
"#00339","A wild Moja on a stroll."
"#00340","Crabkin"
"#00341","Side-walking master."
"#00342","Maskoro"
"#00343","Mysterious masked warrior."
"#00344","Banshetta"
"#00345","A haunting spirit."
"#00346","Sparkee"
"#00347","Hotter thank it looks."
"#00348","Bilbo"
"#00349","Slime that walks on 2 legs."
"#00350","Death Fairy"
"#00351","A mischievous flying spirit."
"#00352","Loxo"
"#00353","Arm-wrestling runner-up."
"#00354","Slabby"
"#00355","An iron-hard jelly."
"#00356","Kingclick"
"#00357","Struggles with heavy pinchers."
"#00358","Arbon"
"#00359","Rogue tree spirit."
"#00360","Targ"
"#00361","Runaway from a wealthy family."
"#00362","Pellpo"
"#00363","Has a generator on its head."
"#00364","Kappton"
"#00365","Hails from the Far East."
"#00366","Moledo"
"#00367","Bought sunglasses on vacation."
"#00368","Shrood"
"#00369","A mutated mushroom."
"#00370","Hatskee"
"#00371","Attacks with sound waves."
"#00372","Simibot"
"#00373","Robot with latest technology."
"#00374","Bramblee"
"#00375","Looking for fallen leaves."
"#00376","Mothrad"
"#00377","Flaps wings 30k times/second."
"#00378","Pegasee"
"#00379","Roams the skies on batlike wings."
"#00380","Boxobot"
"#00381","Arm-wrestling champion."
"#00382","Devvino"
"#00383","Looking for tomato juice."
"#00384","Draggi"
"#00385","Said to be world's scariest monster."
"#00386","Draggo"
"#00387","Dragon family's eldest son."
"#00388","Dragga"
