"@title","English"
"@language","en-US"
"@scale","auto"
"@appli","46 - Do not change"
"@version","2.05 - Do not change"
"@author","Your Name"
"#00000","Roadster"
"#00001","Road"
"#00002","Durable. Low development cost."
"#00003","Buggy"
"#00004","High durability.<br>Good on poor roads."
"#00005","Proto Car"
"#00006","Proto"
"#00007","Balanced and durable.<br>Good on poor roads."
"#00008","Super Car"
"#00009","Super"
"#00010","High performance.<br>Room for lots of parts."
"#00011","Dragster"
"#00012","Drag"
"#00013","High speed,<br>but poor handling."
"#00014","Cigar Car"
"#00015","Cigar"
"#00016","Especially good accel.<br>for an edge on turns."
"#00017","Spiral Car"
"#00018","Spiral"
"#00019","Drills through the air.<br>High speed and accel."
"#00020","Mach Car"
"#00021","Mach"
"#00022","High speed.<br>Great handling."
"#00023","Wing Car"
"#00024","Wing"
"#00025","Utilizes downforce.<br>Exceptional handling."
"#00026","Sonic Car"
"#00027","Sonic"
"#00028","Aerodynamics for handling.<br>Good Accel."
"#00029","Aero Car"
"#00030","Aero"
"#00031","Very aerodynamic.<br>Exceptional handling."
"#00032","Banana Car"
"#00033","Banana"
"#00034","Quickly gets Research<br>Value and experience."
"#00035","Kairo Kar"
"#00036","Kairo"
"#00037","Very high specs.<br>Also very explosive..."
"#00038","Duck Car"
"#00039","Duck"
"#00040","Eye-catching design boosts ad effectiveness."
"#00041","SL Car"
"#00042","SL"
"#00043","High dur. and accel.<br>Poor handling."
"#00044","Secretary"
"#00045","Car Dealer"
"#00046","World Motors Chairman"
"#00047","Ku-max Construction Rep"
"#00048","Anne Spark"
"#00049","I love the smell of gasoline."
"#00050","Ty Flats"
"#00051","My hobby is shaving."
"#00052","Speed Smith"
"#00053","Hard work pays!"
"#00054","Axle Rows"
"#00055","Had glasses since age 2."
"#00056","Mia Mile"
"#00057","I'm good with a wrench."
"#00058","Will Wheels"
"#00059","I'm actually 36."
"#00060","Skid McGee"
"#00061","I'm quite the athlete."
"#00062","Panica D."
"#00063","Looking at tires calms me."
"#00064","Shea Shift"
"#00065","I'm kind of shy."
"#00066","Han Polo"
"#00067","Big on fashion."
"#00068","Gus O'Leen"
"#00069","I wanted to be an astronaut."
"#00070","Pup E. Luv"
"#00071","Cars first, marriage later."
"#00072","Hub Capp"
"#00073","I'm a good apple peeler."
"#00074","Crash Taylor"
"#00075","I like the underdogs."
"#00076","Tom Edson"
"#00077","I'm quite inventive."
"#00078","Leo D. Vin"
"#00079","Show me the fast cars!"
"#00080","Diana Ride"
"#00081","Total car enthusiast."
"#00082","Alf Lobel"
"#00083","Mechanic since elementary."
"#00084","Mick Myson"
"#00085","I even build cars at home."
"#00086","Jackie Tan"
"#00087","Fastest tire-changer ever!"
"#00088","Mo Andretti"
"#00089","Family runs an auto company."
"#00090","Boba Fatt"
"#00091","I'm friends with a star."
"#00092","Chimpan Z"
"#00093","Scared of bananas. Go figure."
"#00094","Oil Olson"
"#00095","Timbuktu"
"#00096","I'm an animal on the track."
"#00097","Bo Bumper"
"#00098","Shangri-la"
"#00099","I keep my seatbelt loose."
"#00100","Tak Goto"
"#00101","Tokyo"
"#00102","I try to drive safely."
"#00103","Iggy Suzuki"
"#00104","Back in my prime!"
"#00105","Deb Steppe"
"#00106","Spit Falls"
"#00107","Used to be in a comedy duo."
"#00108","Pat Posh"
"#00109","Toledo"
"#00110","I came here in a limo."
"#00111","Ukyo Pajama"
"#00112","=#00101"
"#00113","I race during my commute."
"#00114","Polly Pan"
"#00115","Moose Jaw"
"#00116","Took advanced driver's ed."
"#00117","Tom Booze"
"#00118","Buttzville"
"#00119","Mmm... Beef jerky."
"#00120","Max Muffler"
"#00121","Beaverdale"
"#00122","Been a racer all my life."
"#00123","Kathy"
"#00124","Swamptown"
"#00125","My steering tech is unique."
"#00126","Bonny Barko"
"#00127","Dinkytown"
"#00128","My family reuses tissues."
"#00129","Eva Eng"
"#00130","China"
"#00131","I went to school with my CEO."
"#00132","Jo Aldente"
"#00133","Colombia"
"#00134","Ready to roll out!"
"#00135","Huck Norris"
"#00136","Slovakia"
"#00137","I'm confused for a woman."
"#00138","Serena Sun"
"#00139","Watch me change gears."
"#00140","Koala Lamper"
"#00141","Malaysia"
"#00142","My hair is aerodynamic."
"#00143","King Ackbar"
"#00144","Middle East"
"#00145","Racing is a king's sport!"
"#00146","Dee Doria"
"#00147","Egypt"
"#00148","I always sleep 8 hours."
"#00149","Becky Blue"
"#00150","Canada"
"#00151","Which seat should I take?"
"#00152","Mike Shoe"
"#00153","Germany"
"#00154","I can drive on two wheels."
"#00155","Oby Bun"
"#00156","USA"
"#00157","My nickname is ""Crazy 8."""
"#00158","F. Alfonso"
"#00159","Spain"
"#00160","Lemme at 'em!"
"#00161","Ben Jutton"
"#00162","UK"
"#00163","I'm a great parallel parker."
"#00164","Kimi Kone"
"#00165","Finland"
"#00166","They see me rollin', they hatin'."
"#00167","Maria Sharp"
"#00168","Russia"
"#00169","I used to be a model."
"#00170","Nic Nosberg"
"#00171","I never lose at racing games."
"#00172","Lou Hamton"
"#00173","=#00162"
"#00174","I like wearing costumes."
"#00175","Ginny Cotton"
"#00176","Madagascar"
"#00177","I wanna drive around the world."
"#00178","Sep Pang"
"#00179","Brazil"
"#00180","Never missed a day of school."
"#00181","Ireton Cena"
"#00182","The fastest in South America."
"#00183","S. Bettel"
"#00184","For country!"
"#00185","Mick Tesla"
"#00186","Monaco"
"#00187","I've memorized every car ever."
"#00188","Kairobot"
"#00189","Kairoland"
"#00190","Lemme star in the next game!"
"#00191","South Suns"
"#00192","Sunday Seals"
"#00193","Nice Guys"
"#00194","Formula None"
"#00195","Race Radishes"
"#00196","Blue Skies"
"#00197","Big Squids"
"#00198","Dusty Devils"
"#00199","Roadtrotters"
"#00200","Asphalt Angels"
"#00201","Super Novas"
"#00202","Black Holes"
"#00203","Liquid Fire"
"#00204","Billy Goats"
"#00205","Eat Our Dust"
"#00206","Sonic Terror"
"#00207","Zoom Zooms"
"#00208","BMUU Motors"
"#00209","Canton Cows"
"#00210","Horde Motors"
"#00211","Greased Light"
"#00212","Fasternyu"
"#00213","Fight Farm 5"
"#00214","Bob's Drugs"
"#00215","Froggerade"
"#00216","Dry Springs"
"#00217","Cheapy P's"
"#00218","Mocha Cola"
"#00219","Dull Comp"
"#00220","Dairy Duke"
"#00221","Curry Coop"
"#00222","Bridgerock"
"#00223","Race Trax"
"#00224","Milky Milk"
"#00225","River Bank"
"#00226","Spongecorp"
"#00227","AD&D"
"#00228","Pear Inc."
"#00229","Honza Cars"
"#00230","Carbucks"
"#00231","Nights Inn"
"#00232","Chimp Labs"
"#00233","Microsloth"
"#00234","Ackbar Oil"
"#00235","Autoburg"
"#00236","Kairo Group"
"#00237","Sponsor"
"#00238","Paint Shop"
"#00239","Staff"
"#00240","Japan GP"
"#00241","New circuit built near the sea.<br>Short, with many turns."
"#00242","Many tight curves.<br>Needs handling."
"#00243","China GP"
"#00244","Boasts a distinctive layout. <br>Very popular."
"#00245","Needs handling, and speed<br>for the final straightaway."
"#00246","Malaysia GP"
"#00247","Long straightaways,<br>mild curves. Very hot!"
"#00248","Mild course, requiring<br>speed and accel."
"#00249","Turkey GP"
"#00250","Runs counter-clockwise.<br>Will test your endurance."
"#00251","Requires high stats<br>in all areas."
"#00252","Hungary GP"
"#00253","Mid-length, low-speed.<br>Gears/tires are crucial!"
"#00254","Needs speed and accel."
"#00255","Australia GP"
"#00256","Mid/high-speed circuit.<br>Watch out for koalas."
"#00257","Prioritize speed."
"#00258","Germany GP"
"#00259","A circuit of legend.<br>Try the sausage too!"
"#00260","Gentle turns needing<br>speed and accel."
"#00261","Spain GP"
"#00262","Near a famous cathedral.<br>This one's tough!"
"#00263","Very tough turns,<br>long straightaways."
"#00264","Italy GP"
"#00265","Home to a renowned<br>team. Engine power!"
"#00266","Long straightaways<br>need speed and accel."
"#00267","UK GP"
"#00268","A gentleman's GP complete<br>with tea and crumpets."
"#00269","Nail the last turn without<br>decelerating!"
"#00270","Monaco GP"
"#00271","A narrow course, home<br>to the world's elite."
"#00272","Many turns. You'll need<br>both handling and luck."
"#00273","USA GP"
"#00274","Origin of motorsports<br>and the auto industry."
"#00275","Zip down those long<br>straights at top speed!"
"#00276","Brazil GP"
"#00277","Runs counter-clockwise.<br>Tests any team's mettle!"
"#00278","Accel. and handling for<br>many twists and turns."
"#00279","Mexico GP"
"#00280","High altitude and thin air<br>will push your driver!"
"#00281","A well-rounded, off-<br>road vehicle is key."
"#00282","Egypt GP"
"#00283","Shaped like a pharaoh's<br>seal."
"#00284","Use an off-roader with<br>speed and accel."
"#00285","Russia GP"
"#00286","Outside Moscow. The <br>piroshki are delicious."
"#00287","Get a car that's fast<br>on icy straightaways."
"#00288","Alaska GP"
"#00289","Entirely permafrost!<br>Mammoth bones too!"
"#00290","An icy circuit with<br>tricky turns."
"#00291","Chimp Island GP"
"#00292","A mysterious isle<br>inhabited by chimps."
"#00293","Come with your<br>best car and driver."
"#00294","Kairoland GP"
"#00295","The ancestral home<br>of Kairobots..."
"#00296","Your real opponent<br>is... yourself."
"#00297","Zen Garden"
"#00298","An oval, high-speed<br>urban circuit."
"#00299","Mild turns. Focus on<br>speed and accel."
"#00300","Snowville"
"#00301","Turns abound.<br>Snow too."
"#00302","Handling and accel.<br>needed for turns."
"#00303","Sand Beach"
"#00304","Yow, hot! Sharp turns<br>after the straights!"
"#00305","Focus on both speed<br>and handling!"
"#00306","Bloomtown"
"#00307","Simple but<br>deep layout."
"#00308","Requires balanced<br>stats."
"#00309","Dusty Plains"
"#00310","Starts off with many<br>turns. Brace yourself!"
"#00311","Speed and accel.<br>are key here."
"#00312","For passenger cars.<br>Cheap and durable."
"#00313","Good speed. Very<br>poor on bad roads."
"#00314","Good speed/handling.<br>Poor on bad roads."
"#00315","Good accel./durability.<br>Good on bad roads."
"#00316","Formula Smile"
"#00317","Formula Asia"
"#00318","Formula No. One"
"#00319","Bloomtown Race"
"#00320","Zen Garden Race"
"#00321","Dusty Plains Race"
"#00322","Snowville Race"
"#00323","Sand Beach Race"
"#00324","Japan Race"
"#00325","Hungary Race"
"#00326","Egypt Race"
"#00327","Brazil Race"
"#00328","Germany Race"
"#00329","Russia Race"
"#00330","UK Race"
"#00331","USA Race"
"#00332","Chimp Island"
"#00333","=#00189"
"#00334","Select Vehicle"
"#00335","Select Drive Type"
"#00336","You can now develop a<br>""<co=0066cc><0></co>""!"
"#00337","You signed the contract!<br>Go team, go!"
"#00338","""<co=0066cc><0></co>""<br>complete!"
"#00339","""<co=0066cc><0></co>""<br>upgrade complete!"
"#00340","You got a special bonus of<br><co=0066cc><0></co>!"
"#00341","Performance greatly<br>exceeds the plans!"
"#00342","Performance is far<br>below the plans..."
"#00343","You can now enter the<co=0000d4><br><co=0066cc><0></co>!"
"#00344","You can now<br><co=0066cc>Research</co> and <co=0066cc>Upgrade</co>!"
"#00345","You can now enter<br><co=0066cc>Formula Smile</co>!"
"#00346","Received<co=0000d4><br><co=0066cc><0></co>!"
"#00347","You got <co=0066cc><0></co> points<br>of Research Data!"
"#00348","Received<br>""<co=0066cc><0></co>""<br>vehicle plans!"
"#00349","Received<br>""<co=0066cc><0></co>""<br>part plans!"
"#00350","Received<br>""<co=0066cc><0></co>""<br>drive type plans!"
"#00351","""<co=0066cc><0></co>""<br>training unlocked!"
"#00352","You can now paint<br>your vehicles!"
"#00353","Way to go!<br>You won the<br><co=0066cc><0></co>!"
"#00354","MR"
"#00355","New drive type unlocked:<br><co=0066cc>MR"
"#00356","4WD"
"#00357","New drive type unlocked:<br><co=3366ff>4WD"
"#00358","=#00003"
"#00359","New vehicle type unlocked:<br><co=3366ff>Buggy"
"#00360","=#00005"
"#00361","New vehicle type unlocked:<br><co=3366ff>Proto Car"
"#00362","=#00008"
"#00363","New vehicle type unlocked:<br><co=3366ff>Super Car"
"#00364","=#00011"
"#00365","New vehicle type unlocked:<br><co=3366ff>Dragster"
"#00366","=#00014"
"#00367","New vehicle type unlocked:<br><co=3366ff>Cigar Car"
"#00368","=#00017"
"#00369","New vehicle type unlocked:<br><co=3366ff>Spiral Car"
"#00370","=#00020"
"#00371","New vehicle type unlocked:<br><co=3366ff>Mach Car"
"#00372","=#00023"
"#00373","New vehicle type unlocked:<br><co=3366ff>Wing Car"
"#00374","=#00026"
"#00375","New vehicle type unlocked:<br><co=3366ff>Sonic Car"
"#00376","=#00029"
"#00377","New vehicle type unlocked:<br><co=3366ff>Aero Car"
"#00378","=#00032"
"#00379","New vehicle type unlocked:<br><co=3366ff>Banana Car"
"#00380","=#00035"
"#00381","New vehicle type unlocked:<br><co=3366ff>Kairo Kar"
"#00382","=#00038"
"#00383","New vehicle type unlocked:<br><co=3366ff>Duck Car"
"#00384","=#00041"
"#00385","New vehicle type unlocked:<br><co=3366ff>SL Car"
"#00386","Radial Trs"
"#00387","Sports Trs"
"#00388","Slick Trs"
"#00389","Stdlss Trs"
"#00390","Knobby Trs"
"#00391","Hi Grp Trs"
"#00392","V6 Engine"
"#00393","V8 Engine"
"#00394","V10 Engine"
"#00395","V12 Engine"
"#00396","Smlss Gear"
"#00397","Spd Gear"
"#00398","Pwr Gear"
"#00399","Hi Spd Gear"
"#00400","Hi Pwr Gear"
"#00401","Turbochrgr"
"#00402","Superchrgr"
"#00403","=#00024"
"#00404","Big Wing"
"#00405","Lt Chassis"
"#00406","Crbn Chass"
"#00407","Aero Body"
"#00408","32 bit"
"#00409","64 bit"
"#00410","Crbn Brakes"
"#00411","Emblem"
"#00412","Repair Kit"
"#00413","Tr Chains"
"#00414","Gold Egg"
"#00415","Hyper Oil"
"#00416","Car Camera"
"#00417","Coating"
"#00418","In this simulation game, you take control of a racing team. Hire talented drivers, develop new vehicles, and enter Grand Prix races as you try to become the best in the world."
,"▼Game Flow<br>Give instructions to your drivers and mechanics to have them train or develop new vehicles. Use your vehicles to enter races and win prize money."
,"▼Developing Vehicles<br>First select a vehicle and drive type. Depending on the group's Tech and the rank of that vehicle type, you may get more performance than the plans show."
,"▼Installing Parts<br>Installing parts in a vehicle will change its performance. The skill of the group doing the installation and the rank of the part also affect performance."
,"▼Research Data<br>Research Data can be used to upgrade vehicles or parts, or unlock new ones. You can get Research Data during races or by scrapping vehicles."
,"▼Scrapping Vehicles<br>Used vehicles have Research Data inside them. If you scrap a vehicle, it will disappear, but you will get a large amount of Research Data."
