"@title","English"
"@language","en-US"
"@scale","auto"
"@appli","25 - Do not change"
"@version","2.42 - Do not change"
"@author","Your Name"
"#00000","Items"
"#00001","Build"
"#00002","Land"
"#00003","Other"
"#00004","Manageress"
"#00005","Cameraman"
"#00006","Maid"
"#00007","Pumpkin P."
"#00008","Editor"
"#00009","Boy"
"#00010","Girl"
"#00011","Student"
"#00012","Biz-man"
"#00013","Prgrmmr"
"#00014","Researcher"
"#00015","TV Host"
"#00016","Pianist"
"#00017","Trader"
"#00018","Nobleman"
"#00019","Biz-woman"
"#00020","Illustrator"
"#00021","Cartoonist"
"#00022","Booth Babe"
"#00023","Secretary"
"#00024","Model"
"#00025","Lawyer"
"#00026","Celebrity"
"#00027","Pop Singer"
"#00028","Manager"
"#00029","M. Artist"
"#00030","Novelist"
"#00031","G. Manager"
"#00032","Painter"
"#00033","COO"
"#00034","Governor"
"#00035","Legislator"
"#00036","Housewife"
"#00037","Pastry Chef"
"#00038","Journalist"
"#00039","Announcer"
"#00040","Nurse"
"#00041","Actress"
"#00042","Chairprsn"
"#00043","Noblewmn"
"#00044","Hiker"
"#00045","Fisherman"
"#00046","Landlord"
"#00047","Comedian"
"#00048","CEO"
"#00049","Rich Heir"
"#00050","Antique Dlr"
"#00051","Fortuneteller"
"#00052","Tea Expert"
"#00053","Opera Sngr"
"#00054","Rich Missus"
"#00055","First Lady"
"#00056","Yng Couple"
"#00057","Yng Family"
"#00058","Old Couple"
"#00059","Rich Couple"
"#00060","Chimpan Z"
"#00061","Kairobot"
"#00062","Cafe Owner"
"#00063","Beautician"
"#00064","Tea Master"
"#00065","Chef"
"#00066","Architect"
"#00067","Famous FT"
"#00068","Old Man"
"#00069","Unemployed"
"#00070","Lab Director"
"#00071","TV St. Head"
"#00072","Resident"
"#00073","Producer"
"#00074","Farmer"
"#00075","Stonecutter"
"#00076","Lumberjack"
"#00077","Garden Dir."
"#00078","Mayor"
"#00079","Yng Writer"
"#00080","Exec Editor"
"#00081","Teacher"
"#00082","Construction"
"#00083","Under construction. Sorry for the inconvenience"
"#00084","Floor"
"#00085","Guests move around by walking along the floor."
"#00086","Stone Floor"
"#00087","A path used by people walking outside."
"#00088","Tatami Room"
"#00089","Popular with Seniors."
"#00090","Western Room"
"#00091","Popular with Youth."
"#00092","VIP Room"
"#00093","Gives a boost to adj. facilities."
"#00094","Tea Room"
"#00095","Embodies the Zen aesthetic."
"#00096","Vending Mchn"
"#00097","Hits the spot after a bath."
"#00098","Massage Chair"
"#00099","Sooths sore muscles."
"#00100","Restaurant"
"#00101","Enjoy the local cuisine."
"#00102","Souvenir Stnd"
"#00103","Sells a variety of souvenirs."
"#00104","Arcade"
"#00105","Features a nice retro lineup."
"#00106","Reading Room"
"#00107","A quiet place to read and think."
"#00108","Pachinko Mchn"
"#00109","Boosts profits, but the noise..."
"#00110","Salon"
"#00111","Popular with women."
"#00112","Karaoke Room"
"#00113","A must-have for dinner parties."
"#00114","Cafe"
"#00115","A cafe with class."
"#00116","=#00051"
"#00117","Look into the crystal ball..."
"#00118","Ping Pong Tbl"
"#00119","Mostly used by groups."
"#00120","Bath (M)"
"#00121","Adj. facilities change effects."
"#00122","Bath (W)"
"#00123","Large Bath (M)"
"#00124","Large Bath (W)"
"#00125","ATM"
"#00126","Withdraws cash."
"#00127","Pine Tree"
"#00128","Boosts nearby scenery."
"#00129","Hydrangea"
"#00130","Boosts nearby scenery.<br>Most effective when <co=0066cc>in bloom</co>."
"#00131","Natural Stone"
"#00132","A stone carved by an artisan.<br>Boosts nearby scenery."
"#00133","Azalea"
"#00134","Lantern"
"#00135","A handmade lantern.<br>Works best at night."
"#00136","Bamboo"
"#00137","Enhances nearby effects."
"#00138","Maple Tree"
"#00139","Boosts nearby scenery.<br>Most effective in <co=0066cc>autumn</co>."
"#00140","Plum Tree"
"#00141","Pond"
"#00142","A pond stocked with carp.<br>A turtle also lives here."
"#00143","Reception"
"#00144","Where guests enter your inn.<br>Satisfied guests give bonuses."
"#00145","Front Gate"
"#00146","A gate where people walking<br>outside can enter your inn."
"#00147","Side Gate"
"#00148","All↓"
"#00149","Adults↑ Seniors↑"
"#00150","Men↑"
"#00151","Women↑"
"#00152","All↑"
"#00153","Youth↑ Others↓"
"#00154","Youth↑ Adults↑ Groups↑"
"#00155","Adults (M)↑"
"#00156","Adults (M)↑ Seniors (M)↑"
"#00157","Adults (M)↓ Seniors (M)↓"
"#00158","Youth↑"
"#00159","Groups↑"
"#00160","Youth (M)"
"#00161","Yth"
"#00162","Youth (F)"
"#00163","Adults (M)"
"#00164","Adlt"
"#00165","Adults (F)"
"#00166","Seniors (M)"
"#00167","Snr"
"#00168","Seniors (F)"
"#00169","Grp"
"#00170","Groups"
"#00171","Jacuzzi"
"#00172","Keeps <co=0066cc>Seniors</co> warm and toasty."
"#00173","Spa"
"#00174","Soothes tired <co=0066cc>Adults</co>."
"#00175","Silky Smooth"
"#00176","Gives <co=0066cc>women</co> that gentle glow."
"#00177","Fast Friends"
"#00178","Helps <co=0066cc>Groups</co> get along better."
"#00179","In-Crowd"
"#00180","Gives <co=0066cc>Youth</co> that cool edge."
"#00181","Forever Young"
"#00182","Rejuvenates <co=0066cc>everyone but Youth</co>."
"#00183","Springerade"
"#00184","Well-stocked for thirsty <co=0066cc>men</co>."
"#00185","Prizes"
"#00186","You can now build a <co=0066cc><0></co>!"
"#00187","You won <co=0066cc><1></co> from <0>!"
"#00188","Your grounds have expanded!"
"#00189","The <co=0066cc><0></co> target has been unlocked."
"#00190","<co=0066cc><0></co>'s number of guests has increased!"
"#00191","You got a <co=0066cc><0></co>!"
"#00192","You can now apply to <co=0066cc><0></co>!"
"#00193","<co=0066cc><0></co>'s popularity has gone up by <co=0066cc><1></co>!"
"#00194","News of the <po=c><co=0066cc><0></co> boosted popularity!"
"#00195","The ad campaign worked! We're getting lots of overnight stayers!"
"#00196","It's <co=0066cc>Golden Week</co>, Japan's busiest holiday! We're getting lots of customers!"
"#00197","Too bad... Try raising the popularity of the facilities!"
"#00198","Local Springs"
"#00199","The municipal guide.<br>Pretty easy to rank high."
"#00200","Prefectural Springs"
"#00201","A step up from your local fare.<br>This one's tough."
"#00202","Touring Japan"
"#00203","Features Japan's best.<br>Very hard to rank high."
"#00204","Le Nichelin Guide"
"#00205","World-famous guide to high-end inns."
"#00206","Glamour Springs"
"#00207","A renowned women's publication."
"#00208","Top 100 Springs"
"#00209","A bible to hot springs gurus.<br>Prioritize bath quality!"
"#00210","Gourmet Springs"
"#00211","The gourmet's guide to good eats. Prioritize food quality!"
"#00212","Relaxing Springs"
"#00213","For those tired souls seeking solace. Prioritize scenery!"
"#00214","Advertise"
"#00215","Advertising your inn will temporarily increase the number of customers."
"#00216","=#00062"
"#00217","Invite a cafe owner to set up shop at your inn."
"#00218","=#00063"
"#00219","Invite a beautician to set up shop at your inn."
"#00220","=#00064"
"#00221","Ask a nationally renowned tea master to teach you how to make a Tea Room."
"#00222","=#00066"
"#00223","Ask an architect to help you use your space more effectively."
"#00224","=#00067"
"#00225","Invite a famous fortuneteller to set up shop at your inn."
"#00226","=#00061"
"#00227","Invite Kairobot, a robot who<br>lives in a nearby park."
"#00228","=#00060"
"#00229","Invite Chimpan Z to your inn."
"#00230","Ping Pong"
"#00231","Please build a ping pong arena! I'm training for the Olympics!"
"#00232","Library"
"#00233","I need a library to study. But it should have comic books too..."
"#00234","=#00104"
"#00235","I think having a video arcade nearby would really help with my studies..."
"#00236","Karaoke Bar"
"#00237","I wish we had a karaoke bar so I could practice my singing."
"#00238","Lanterns"
"#00239","I want to develop high-tech lanterns that turn on automatically at night."
"#00240","=#00136"
"#00241","Part of my property has been taken over by wild bamboo. I need equipment to clear it out."
"#00242","Maple Trees"
"#00243","I want to use my gardening skills to plant maples in the area."
"#00244","Plum Trees"
"#00245","I found a plum grove in the mountains and I want to transplant some trees here."
"#00246","=#00141"
"#00247","I'd like to use my experience to create a beautiful pond."
"#00248","Video Game"
"#00249","We ordered too much pizza and now we don't have enough funds to develop our game."
"#00250","Garden"
"#00251","I think a flower garden would really brighten this place up."
"#00252","Pasture"
"#00253","I just moved here and can't find good pasture land anywhere!"
"#00254","Game Company"
"#00255","I want to make a video game company, but nobody will loan me money."
"#00256","Move Lab"
"#00257","We had to move our lab after... the incident."
"#00258","TV Station"
"#00259","A tower was recently built nearby, so I'd like to use it to broadcast TV."
"#00260","Concert Hall"
"#00261","Doesn't a concert hall surrounded by lush greenery sound wonderful?"
"#00262","Stock Exchange"
"#00263","I think it's time I started dabbling in stocks."
"#00264","Airport"
"#00265","I'd like to bring an airport to our town."
"#00266","Design Studio"
"#00267","My flower garden pictures were so popular, I've decided to draw full time."
"#00268","Art Colony"
"#00269","I've decided to be a comic book artist, so I want to build a haven for my artist brethren."
"#00270","Convention Center"
"#00271","We need somewhere to hold events."
"#00272","Hire Secretary"
"#00273","The time has come for me to hire a secretary."
"#00274","Fashion Show"
"#00275","I'd like to hold a fashion show at the convention center."
"#00276","Law Office"
"#00277","My law firm is getting so popular, I'd like to expand here."
"#00278","Luxury Apts"
"#00279","I'd like to build some luxury apartments."
"#00280","Pop Star Debut"
"#00281","I'd like to help a pop star make her debut."
"#00282","Start Venture"
"#00283","There aren't any companies here that can use my talents. Help me make my own!"
"#00284","Mountain Hut"
"#00285","I want to go up to the mountains to train, but I'll freeze to death without shelter!"
"#00286","Writing Classes"
"#00287","I want to be a novelist, so I think I'll need to take some writing classes."
"#00288","Golf Course"
"#00289","Entertaining clients at the driving range is getting boring. We need a real golf course!"
"#00290","Art Gallery"
"#00291","I'd like you to fund my seaside art gallery."
"#00292","Move Large Firm"
"#00293","We need to move HQ because of an ancient burial ground on our property."
"#00294","Career Change"
"#00295","I've always been interested in politics, and now I'd like to give it a go."
"#00296","Go National"
"#00297","I'd like to move on from local politics now that more people know me."
"#00298","Pastry School"
"#00299","I want to be a true patissier, but there aren't any schools around!"
"#00300","Magazine"
"#00301","Please help fund “Eau Dear!”--a new magazine for fans of mineral water."
"#00302","News Program"
"#00303","We've decided to start a news program at our TV station and could use your help."
"#00304","Big Hospital"
"#00305","Our town's population has grown so much, we need a larger hospital."
"#00306","Acting School"
"#00307","I'd like to open a school to train actors."
"#00308","Famous College"
"#00309","My intellect has surpassed all the local schools. Attract a famous college!"
"#00310","Develop Resort"
"#00311","Our town is near both the mountains and sea. It's perfect for a resort!"
"#00312","Hiking Course"
"#00313","I've taken up hiking for my health, but the mountain paths are too dangerous!"
"#00314","Fishing Grounds"
"#00315","I bought a fishing boat, but without fishing grounds, it's just collecting dust."
"#00316","Comedy Jam"
"#00317","I'd like to hold a show with lots of different comedians. It'll be hilarious!"
"#00318","Heliport"
"#00319","I'd like to build a heliport for our CEO to use."
"#00320","Lavish Party"
"#00321","I need to charm the head of a financial conglomerate. Do it for the town!"
"#00322","FT School"
"#00323","Fortunetelling is my hobby, but now I'd like a school to teach others."
"#00324","Tea Contest"
"#00325","I'd like to rent out a gymnasium and hold a big tea ceremony contest."
"#00326","Opera House"
"#00327","I'd like to be able to hear live opera."
"#00328","Mansion Land"
"#00329","I'd like to build a mountaintop mansion, so I need to buy the surrounding land."
"#00330","Electioneering"
"#00331","My husband is throwing his hat in the upcoming election, so we'd like your support."
"#00332","Botanical Garden"
"#00333","I got so wrapped up in my home garden, I got fired! I think plants are my calling now."
"#00334","Church"
"#00335","We've decided to get married. We need some place to hold the ceremony."
"#00336","Mountain Path"
"#00337","Now that we're retired, we'd like to go mountaineering together."
"#00338","Ceremony"
"#00339","Our city's been named a major metropolitan area! Let's commemorate this day."
"#00340","Expand Store"
"#00341","I'd like to expand my store's inventory."
"#00342","Land Deed"
"#00343","Buy land to expand your inn."
"#00344","=#00131"
"#00345","Enhances nearby scenery."
"#00346","=#00133"
"#00347","=#00345"
"#00348","=#00134"
"#00349","=#00136"
"#00350","=#00138"
"#00351","=#00140"
"#00352","=#00141"
"#00353","=#00345"
"#00354","=#00098"
"#00355","Unlocks the <co=0066cc>Massage Chair</co>."
"#00356","=#00090"
"#00357","Unlocks the <co=0066cc>Western Room</co>."
"#00358","=#00125"
"#00359","Unlocks the <co=0066cc>ATM</co>, which lets guests withdraw money once."
"#00360","Popularity Seed"
"#00361","Boosts a facility's <co=0066cc>popularity</co>."
"#00362","Price Seed"
"#00363","Boosts a facility's <co=0066cc>price</co>."
"#00364","Green Tea"
"#00365","Best on: <co=0066cc>Restaurants</co>, <co=0066cc>Vending Machines</co>"
"#00366","Spring Water"
"#00367","Honey"
"#00368","Best on: <co=0066cc>Restaurants</co>"
"#00369","Mushrooms"
"#00370","Iced Tea"
"#00371","Best on: <co=0066cc>Vending Machines</co>"
"#00372","Seaweed"
"#00373","Flower Poster"
"#00374","Best on: <co=0066cc>Western Rooms</co>, <co=0066cc>Restaurants</co>"
"#00375","Milk"
"#00376","Comic Books"
"#00377","Best on: <co=0066cc>Reading Rooms</co>, <co=0066cc>Stores</co>"
"#00378","Glamour Seed"
"#00379","Boosts compatibility with <co=0066cc>women</co>."
"#00380","Fame Seed"
"#00381","Boosts <co=0066cc>bath</co> <co=0066cc>effects</co>."
"#00382","Gourmet Seed"
"#00383","=#00368"
"#00384","Relaxation Seed"
"#00385","Boosts a facility's <co=0066cc>scenery</co>."
"#00387","<0> has just opened its doors, and several customers have already stopped by to give them a try. We wish them luck, and will be sure to write about any further developments."
"#00388","The other day, a reader asked us what the secret to becoming a famous hot springs inn was. We decide to ask the same question to inns around the country. In the end, it seems that the best inns concentrate on their scenery.<br> <br>For example, planting Pine Trees near a bath can enhance its scenery and guests' satisfaction--and that leads to more money for you.<br>Remember, scenery is the first step on the road to becoming a famous inn."
"#00389","A member of our editorial staff recently visited a famous hot springs resort town to do some research. You might associate hot springs with old fashioned Japanese villages, but it actually had the best in modern facilities.<br> <br>After hearing that one inn in particular was the most successful, he went there and spoke with the owner. “It's good for everyone when the town develops,” said the owner. “It attracts new customers to the inn, so I'm happy to invest my own money on it.”<br>Indeed, people are more likely to visit an inn if there are many things to do in the surrounding areas. Perhaps investing in the development of the town would be a rewarding decision."
"#00390","A factory has recently started up in town. This should result in a significant sales boost."
"#00391","According to a recent tip, <1> has run out of money. With no cash, all that's left to do is stay put in the guest room. Tough luck...<br>Remember, when the Satisfaction Gauge goes up, so does the amount of money a guest has to spend, so try and keep a good balance between a facility's popularity and price."
"#00392","Confirm"
"#00393","Finish"
