"@title","English"
"@language","en-US"
"@scale","auto"
"@appli","70 - Do not change"
"@version","2.06 - Do not change"
"@author","Your Name"
"#00000","Mochizuki"
"#00001","Messenger"
"#00002","Ashikaga"
"#00003","Kaboemon"
"#00004","Tokugawa"
"#00005","=#00004"
"#00006","Marukome"
"#00007","Maruko"
"#00008","Enokida"
"#00009","Enoki"
"#00010","Inuzuka"
"#00011","Inuzu"
"#00012","Jon"
"#00013","=#00012"
"#00014","Nishizawa"
"#00015","Nishiz"
"#00016","Shakujii"
"#00017","Shaku"
"#00018","Asaryu"
"#00019","=#00018"
"#00020","Tagawa"
"#00021","=#00020"
"#00022","Anzuame"
"#00023","Anzu"
"#00024","Yokoyama"
"#00025","Yokoya"
"#00026","Jinguji"
"#00027","=#00026"
"#00028","Momokawa"
"#00029","Momo"
"#00030","Onigawara"
"#00031","Oniga"
"#00032","Anmitsu"
"#00033","Anmit"
"#00034","Sasakama"
"#00035","Sasa"
"#00036","Yotoe"
"#00037","=#00036"
"#00038","Karasuyama"
"#00039","Karasu"
"#00040","Fukuyo"
"#00041","=#00040"
"#00042","Nakano"
"#00043","=#00042"
"#00044","Manpuku"
"#00045","Manpu"
"#00046","Edajima"
"#00047","Edajim"
"#00048","Ninoude"
"#00049","Ninoud"
"#00050","Momiage"
"#00051","Momia"
"#00052","Hayashi"
"#00053","Haya"
"#00054","Shimazu"
"#00055","Shimaz"
"#00056","Kimura"
"#00057","=#00056"
"#00058","Galapagos"
"#00059","Galapa"
"#00060","Shalala"
"#00061","=#00060"
"#00062","Dorifu"
"#00063","=#00062"
"#00064","Harukaze"
"#00065","Haruka"
"#00066","Komori"
"#00067","=#00066"
"#00068","Akagawa"
"#00069","Akaga"
"#00070","Ishikawa"
"#00071","Ishika"
"#00072","Oshiyama"
"#00073","Oshiya"
"#00074","Iga"
"#00075","=#00074"
"#00076","Shishimaru"
"#00077","Shishi"
"#00078","Koga"
"#00079","=#00078"
"#00080","Kongo"
"#00081","=#00080"
"#00082","Kamitsumichi"
"#00083","Kamits"
"#00084","Mogami"
"#00085","=#00084"
"#00086","Takenaga"
"#00087","Takena"
"#00088","Shiokaze"
"#00089","Shioka"
"#00090","Ishida"
"#00091","=#00090"
"#00092","Date"
"#00093","=#00092"
"#00094","Oda"
"#00095","=#00094"
"#00096","Toyotomi"
"#00097","Toyoto"
"#00098","Miyamoto"
"#00099","Miyamo"
"#00100","Bearington"
"#00101","Bearing"
"#00102","Chimpan Z"
"#00103","Chimpa"
"#00104","Infantry"
"#00105","Archers"
"#00106","Gunners"
"#00107","Cavalry"
"#00108","Cavalry Gunner"
"#00109","Bandit"
"#00110","Bandit Archer"
"#00111","Ninja"
"#00112","Ninja Archer"
"#00113","Ninja Gunner"
"#00114","Ninja Cavalry"
"#00115","Farmer"
"#00116","Monk"
"#00117","Monk Archer"
"#00118","Monk Gunner"
"#00119","Bearington Ballers"
"#00120","Bunny Band"
"#00121","Merchant"
"#00122","Hello! I had no idea there was a village here. I was just out peddling wares and decided to stop by.|If you happen to have any <co=0066cc>food</co>, I'd be happy to purchase some."
"#00123","Traveller"
"#00124","Hello. I'm a wandering traveller.|I've always avoided this area because it was so dangerous...|But I heard it was safer now, so I thought I'd pay you a visit.|I'd love to rest a bit at a tea house, if you don't mind."
"#00125","Oda Traveller"
"#00126","How do you do? I'm an aspiring courtesan.|What a lovely village! I think I'll stay and rest a while."
"#00127","Tokugawa Traveller"
"#00128","Greetings. I'm travelling the country.|Nice village you have here. Think I'll stop in for a while."
"#00129","Miyoshi Traveller"
"#00130","Hello. I'm about to head into the mountains.|Quite a nice village you have here. Hope you don't mind if I stay to make preparations."
"#00131","Mori Traveller"
"#00132","Hello. I'm about to cross the mountains to take care of some business on the other side.|What a great village. Please let me stay and rest a while."
"#00133","Hojo Traveller"
"#00134","Takeda Traveller"
"#00135","Hello. I travel the country selling my wares.|Nice village. Do you have anything valuable here?"
"#00136","Uesugi Traveller"
"#00137","Hello. I'm training to be a warrior.|Nice village! I'd like to see what it's like inside."
"#00138","Date Traveller"
"#00139","Shimazu Traveller"
"#00140","Hello. I'm on my way back to my home province.|What a lovely village. I'd love to tell the folks at home all about it."
"#00141","Asakura Traveller"
"#00142","Hey there. I'm training to be a sumo wrestler.|Nice village. Looks like I've come to the right place to eat my fill."
"#00143","Chosokabe Traveller"
"#00144","Hello. Now that the fighting has ended, I'm heading back to my hometown.|What a great village! Hmm, maybe I should pick up some gifts for everyone back home."
"#00145","Amako Traveller"
"#00146","Hello. I'm currently travelling on a secret mission.|Great village you have here. Maybe I'll stop in for a break."
"#00147","Imagawa Traveller"
"#00148","Greetings. I've started taking walks in the mountains for my health.|Lovely village! I'd like to drop in for a bit."
"#00149","Ukita Traveller"
"#00150","Hello. I came to collect wild mountain vegetables.|What a nice village! Maybe I'll just buy the vegetables I need here."
"#00151","Azai Traveller"
"#00152","Hello. I'm heading to a town nearby to have some fun.|Nice village! I wonder if there's anything good here..."
"#00153","Rokkaku Traveller"
"#00154","Otomo Traveller"
"#00155","Mogami Traveller"
"#00156","Hello. I'm a traveller.|Nice village. Maybe I can make a little money here."
"#00157","Satomi Traveller"
"#00158","Hello. I'm on my way home from an apprenticeship.|What a great village! I'd like to buy a gift for my family here."
"#00159","Nanbu Traveller"
"#00160","Nice to meet you. I've come to do a little shopping.|What a great village. I have a feeling I'll find some lovely things here."
"#00161","Sanada Traveller"
"#00162","Greetings. I'm travelling the country in search of an employer in need of my services.|Great village. Maybe I can work a story about it into my job interviews."
"#00163","Saika Traveller"
"#00164","How do you do? I travel the country taking on whatever work comes my way.|Nice village! Wonder if there's anything of value here..."
"#00165","Tanegashima Traveller"
"#00166","Hello. I've come from across the sea.|What a lovely village! Maybe I can find something unusual to bring home."
"#00167","Villager"
"#00168","Ninja Dog"
"#00169","Toad"
"#00170","Pony"
"#00171","Chestnut Horse"
"#00172","Black Horse"
"#00173","White Horse"
"#00174","Wild Boar"
"#00175","Wolf"
"#00176","Bear"
"#00177","Tsuchinoko"
"#00178","Crow"
"#00179","Ruins"
"#00180","Remove and rebuild."
"#00181","Workshop"
"#00182","Produces goods from raw materials."
"#00183","Field"
"#00184","Produces <co=3366ff>food</co>."
"#00185","Rice Paddy"
"#00186","Produces large quantities of <co=3366ff>food</co>."
"#00187","Lumber Depot"
"#00188","Get <co=3366ff>lumber</co> from nearby <co=3366ff>trees</co>."
"#00189","Ore Depot"
"#00190","Get <co=3366ff>ore</co> from a nearby <co=3366ff>mine</co>."
"#00191","Tree"
"#00192","Produces <co=3366ff>lumber</co> if there<br>is a<co=3366ff> lumber depot </co>nearby."
"#00193","Mine"
"#00194","Mine ore if you have an ore depot."
"#00195","Gold Mine"
"#00196","Mine gold if you have an ore depot."
"#00197","Footpath"
"#00198","Bridge"
"#00199","Allows crossing of rivers."
"#00200","Farmhouse"
"#00201","Restores occupant's energy."
"#00202","House"
"#00203","Occupant works <co=3366ff>1.5</co> times longer."
"#00204","Mansion"
"#00205","Occupant works <co=3366ff>twice</co> as long."
"#00206","Cherry Tree"
"#00207","Has a positive effect on<br>buildings nearby."
"#00208","Flower Garden"
"#00209","Boosts<co=3366ff> sales</co> of shops nearby."
"#00210","Well"
"#00211","Boosts<co=3366ff> production</co> of facilities nearby."
"#00212","Garden"
"#00213","Boosts<co=3366ff> recovery rate</co> of homes nearby."
"#00214","Scarecrow"
"#00215","Boosts<co=3366ff> food production</co> of<br>facilities nearby."
"#00216","Festival Drum"
"#00217","Rhythm boosts<co=3366ff> production</co> of<br>nearby facilities tremendously."
"#00218","Fireworks"
"#00219","Flashiness boosts <co=3366ff>sales </co>of<br>nearby shops tremendously."
"#00220","Tea Shop"
"#00221","Sells tea to travellers."
"#00222","Tofu Shop"
"#00223","Soybean cuisine experts."
"#00224","Restaurant"
"#00225","Serves hearty meals."
"#00226","Gift Shop"
"#00227","Sells souvenir handicrafts."
"#00228","Tool Shop"
"#00229","Sells tools for daily life."
"#00230","Clothing Shop"
"#00231","Sells clothing."
"#00232","Blacksmith"
"#00233","Sells metal goods."
"#00234","Fancy Goods Shop"
"#00235","Sells accessories and cosmetics."
"#00236","Art Shop"
"#00237","Sells pictures and documents."
"#00238","Chainmail"
"#00239","Eye Patch"
"#00240","Hairpin"
"#00241","Ribbon"
"#00242","Hachigane"
"#00243","Happuri"
"#00244","Glasses"
"#00245","Banana"
"#00246","Tokin Hat"
"#00247","Matsutake"
"#00248","Chick"
"#00249","Baseball Cap"
"#00250","Eboshi"
"#00251","Sandokasa"
"#00252","Straw Hat"
"#00253","Jinkasa"
"#00254","Wakizashi"
"#00255","Naga Wakizashi"
"#00256","Bokuto"
"#00257","Uchigatana"
"#00258","Ninjato"
"#00259","Nodachi"
"#00260","Zanbato"
"#00261","Super Ninjato"
"#00262","Axe"
"#00263","Bat"
"#00264","Pistol"
"#00265","Musket"
"#00266","Repeater"
"#00267","Rifle"
"#00268","Cannon"
"#00269","Battle Formations"
"#00270","Kairo Mail"
"#00271","Crow Gang"
"#00272","Wolf Gang"
"#00273","Boar Gang"
"#00274","Dog Gang"
"#00275","Toad Gang"
"#00276","Bear Gang"
"#00277","Tsuchinoko Gang"
"#00278","=#00119"
"#00279","Bunny Gang"
"#00280","Bandit Gang"
"#00281","Kaga uprising"
"#00282","Echizen uprising"
"#00283","Ishiyama Hongan-ji"
"#00284","Mountain Depths"
"#00285","Illegal Passage"
"#00286","Negoro-ji"
"#00287","Suppa Group"
"#00288","Kurohabaki Group"
"#00289","Mitsumono Group"
"#00290","Nokizaru Group"
"#00291","Fumaichido Group"
"#00292","Hachiya Group"
"#00293","Togakushi Village"
"#00294","Koga Village"
"#00295","Iga Village"
"#00296","Seki Clan"
"#00297","New territory acquired:<br><co=0066cc><0>"
"#00298","The <co=0066cc><0><br></co>is now a vassal of<br>the shogunate!"
"#00299","You lost the battle..."
"#00300","<co=3366ff><0></co><br>is now ripe for the taking!"
"#00301","<co=3366ff><name><br></co>has been unified!"
"#00302","The shogunate's base is complete!"
"#00303","New unit available:<br><co=3366ff><0>"
"#00304","More people can now<br>join our battle ranks!"
"#00305","Special equipment obtained:<br><co=3366ff><0>"
"#00306","Reward obtained:<br><co=3366ff><0>"
"#00307","You can now trade land<br>with the shogunate!"
"#00308","In gratitude, the shogun<br>gave you a gift:<br><co=3366ff><0>"
"#00309","Ieyasu Tokugawa has<br>been vanquished!"
"#00310","The emperor conferred<br>a gift of <co=3366ff>Kairo mail</co>!"
"#00311","Shuriken"
"#00312","8-Point Shuriken"
"#00313","Flame Cannon"
"#00314","Baseball"
"#00315","Food"
"#00316","Lumber"
"#00317","Ore"
"#00318","Gold"
"#00319","Fund Shogunate"
"#00320","Give funds to the shogunate."
"#00321","=#00198"
"#00322","Build a <co=3366ff>bridge</co>."
"#00323","=#00202"
"#00324","Build a <co=3366ff>house</co>."
"#00325","=#00204"
"#00326","Build a <co=3366ff>mansion</co>."
"#00327","=#00185"
"#00328","Build a <co=3366ff>rice paddy</co>."
"#00329","=#00222"
"#00330","Build a <co=3366ff>tofu shop</co>."
"#00331","=#00224"
"#00332","Build a <co=3366ff>restaurant</co>."
"#00333","=#00226"
"#00334","Build a <co=3366ff>gift shop</co>."
"#00335","=#00228"
"#00336","Build a <co=3366ff>tool shop</co>."
"#00337","=#00230"
"#00338","Build a <co=3366ff>clothing shop</co>."
"#00339","=#00232"
"#00340","Build a <co=3366ff>blacksmith</co>."
"#00341","=#00234"
"#00342","Build a <co=3366ff>fancy goods shop</co>."
"#00343","=#00236"
"#00344","Build an <co=3366ff>art shop</co>."
"#00345","=#00208"
"#00346","Boosts <co=3366ff>sales</co> of nearby shops."
"#00347","=#00214"
"#00348","Boosts nearby <co=3366ff>food production</co>."
"#00349","=#00210"
"#00350","Boosts nearby <co=3366ff>production</co>."
"#00351","=#00212"
"#00352","Boosts <co=3366ff>recovery</co> of nearby residents."
"#00353","=#00216"
"#00354","Greatly boosts nearby <co=3366ff>production</co>."
"#00355","=#00218"
"#00356","Greatly boosts <co=3366ff>sales</co> of nearby shops."
"#00357","Scythe"
"#00358","A farming tool and weapon."
"#00359","=#00256"
"#00360","A sword made of hard wood."
"#00361","=#00254"
"#00362","A very sharp short sword."
"#00363","=#00262"
"#00364","A heavy, powerful axe."
"#00365","=#00255"
"#00366","A rather long sword."
"#00367","=#00257"
"#00368","A sword forged by a master."
"#00369","=#00258"
"#00370","A sword that seeks out weak points."
"#00371","=#00259"
"#00372","A powerful long sword."
"#00373","=#00260"
"#00374","Cuts down mounted warriors."
"#00375","=#00261"
"#00376","A giant ninja sword."
"#00377","Bamboo Spear"
"#00378","A sharp spear made of bamboo."
"#00379","Long Spear"
"#00380","A simple spear, easy to handle."
"#00381","Hook Spear"
"#00382","Can hook an enemy."
"#00383","Double Hook Spear"
"#00384","A spear with two hooks."
"#00385","Naginata"
"#00386","A powerful halberd."
"#00387","Big Spear"
"#00388","A large and powerful spear."
"#00389","Wooden Bow"
"#00390","A bow made of natural wood."
"#00391","Triple Bow"
"#00392","A compound wood & bamboo bow."
"#00393","Four-Way Bow"
"#00394","An improved compound bow."
"#00395","Higo Bow"
"#00396","A very powerful Japanese bow."
"#00397","=#00264"
"#00398","A gun with a short barrel."
"#00399","=#00265"
"#00400","A matchlock gun of foreign origin."
"#00401","=#00266"
"#00402","Can shoot two bullets at once."
"#00403","=#00267"
"#00404","A repeater with a rifled barrel."
"#00405","=#00268"
"#00406","Fires massive cannonballs."
"#00407","=#00313"
"#00408","Fires flaming pitch grenades."
"#00409","=#00263"
"#00410","Used in a foreign game."
"#00411","Claws"
"#00412","Iron claws for offense & defense."
"#00413","Herb"
"#00414","Equip to recover <co=3366ff>15%</co> of HP."
"#00415","Rations"
"#00416","Equip to recover <co=0066cc>20%</co> of HP."
"#00417","Silver Capsule"
"#00418","Equip to recover <co=0066cc>30%</co> of HP."
"#00419","Tokugawa Pillbox"
"#00420","Equip to boost work ethic."
"#00421","=#00311"
"#00422","Give to infantry."
"#00423","=#00312"
"#00424","Pitch Grenade"
"#00425","=#00314"
"#00426","=#00168"
"#00427","A faithful ninja attack dog."
"#00428","=#00174"
"#00429","A savage boar joins the cavalry."
"#00430","=#00175"
"#00431","A nearly extinct wolf joins the fight."
"#00432","=#00176"
"#00433","A ferocious bear joins the cavalry."
"#00434","=#00177"
"#00435","A legendary creature joins the fight."
"#00436","=#00178"
"#00437","A crow joins the fight."
