"@title","English"
"@language","en-US"
"@scale","auto"
"@appli","52 - Do not change"
"@version","2.04 - Do not change"
"@author","Your Name"
"#00000","OK"
"#00001","End"
"#00002","Back"
"#00003","Yes"
"#00004","No"
"#00005","=#00000"
"#00006","Save"
"#00007","Menu"
"#00008","Self"
"#00009","Top"
"#00010","Site"
"#00011","Next"
"#00012","Details"
"#00013","Switch"
"#00014","Info"
"#00015","Follow"
"#00016","Equal"
"#00017","Rotate"
"#00018","Rename"
"#00019","Cancel"
"#00020","Acquiring data"
"#00021","Starting app"
"#00022","Authenticating"
"#00023","Failed to load resources…"
"#00024","Domain Name"
"#00025","Building Name"
"#00026","Name"
"#00027","Oh! Edo Towns"
"#00028","Lite"
"#00029","Lite Version"
"#00030","None"
"#00031","Sunny Domain"
"#00032","Taro"
"#00033","Hanako"
"#00034","Ohisho"
"#00035","Start"
"#00036","Hi Scores"
"#00037","Full Ver."
"#00038","Save Slot"
"#00039","Continue"
"#00040","Load Save Data"
"#00041","No Save Data"
"#00042","Empty Slot"
"#00043","Y<0> M<1> W<2>"
"#00045","Select save data."
"#00046","No save data present."
"#00047","Clear Points"
"#00048","Max Funds Until Y15"
"#00049","Hi Score"
"#00050","No Hi Scores"
"#00051","In the Lite Version, you can"
"#00052","only select ""<0>""."
"#00053","Heibon"
"#00054","An average map."
"#00055","Yamatani"
"#00056","A beautiful mountainous map."
"#00057","Umikawa"
"#00058","A breathtaking seaside map."
"#00066","Glass Chimes"
"#00067","Silver Abacus"
"#00068","Bonsai Trees"
"#00069","Gold Case"
"#00070","Gold Abacus"
"#00071","Elekiter"
"#00072","Bokken"
"#00073","Armor"
"#00074","Rifle"
"#00075","Pistol"
"#00076","Tanto"
"#00077","Chokuto"
"#00078","Katana"
"#00079","Gold Chpstk"
"#00080","Gold Cup"
"#00081","Puzzle Box"
"#00082","Arita Bowl"
"#00083","Wajima Bowl"
"#00084","Edo Glass"
"#00085","Nambu Iron"
"#00086","Brocade"
"#00087","Silk Cloth"
"#00088","Silk Shirt"
"#00089","Oni Tile"
"#00090","Castella"
"#00091","Conch"
"#00092","Koto Harp"
"#00093","Moon Guitar"
"#00094","Ink Painting"
"#00095","Folding Scrn"
"#00096","Japan Map"
"#00097","Strategy Bk"
"#00098","Anatomy Bk"
"#00099","Law Bk"
"#00100","Animal Pict"
"#00101","Bear Sculp"
"#00102","Drgn Sculp"
"#00103","Hina Doll"
"#00104","Warrior Doll"
"#00105","Kairo Doll"
"#00106","Path"
"#00107","Remove"
"#00108","Wooden Path"
"#00109","Stone Path"
"#00110","Gravel Path"
"#00111","Grass"
"#00112","Vacant Lot"
"#00113","Wholesaler"
"#00114","Wholesaler (L)"
"#00115","Warehouse"
"#00116","Field"
"#00117","Pond"
"#00118","Raise Terrain"
"#00119","Lower Terrain"
"#00120","Flowers"
"#00121","Torii Gate"
"#00122","Well"
"#00123","Checkpoint"
"#00124","Woods"
"#00125","Azaleas"
"#00126","Sunflowers"
"#00127","Hydrangeas"
"#00128","Persimmon Tree"
"#00129","Plum Tree"
"#00130","Bamboo Grove"
"#00131","Boulder"
"#00132","Pine Tree"
"#00133","Maple Tree"
"#00134","Willow Tree"
"#00135","Ginkgo Tree"
"#00136","Cherry Tree"
"#00137","Banana Tree"
"#00138","Scarecrow"
"#00139","Fire Alarm"
"#00140","Hut"
"#00141","Thatched Hut"
"#00142","Thatched Hs."
"#00143","Wooden Hs."
"#00144","Mansion"
"#00145","Golden Tmpl"
"#00146","3-Rf Tower"
"#00147","Small Castle"
"#00148","Kairo Hut"
"#00149","Prin Hs."
"#00150","General Str"
"#00151","Large Str"
"#00152","Sushi Shp"
"#00153","Udon Shp"
"#00154","Soba Shp"
"#00155","Bean Soup Shp"
"#00156","Pub"
"#00157","Kimono Shp"
"#00158","Stew Cart"
"#00159","Merchant Cart"
"#00160","Greengrocer"
"#00161","Rice Shp"
"#00162","Tempura Shp"
"#00163","Bun Shp"
"#00164","Public Bath"
"#00165","Bucket Shp"
"#00166","Fireworks Shp"
"#00167","Dumpling Shp"
"#00168","Case Shp"
"#00169","Medicine Shp"
"#00170","Pawn Shp"
"#00171","Sandal Shp"
"#00172","Straw Hat Shp"
"#00173","Castle"
"#00174","Park"
"#00175","Inn"
"#00176","Library"
"#00177","Weapon Shp"
"#00178","Cat Statue Shp"
"#00179","Gambling Shp"
"#00180","School"
"#00181","Camera Shp"
"#00182","Fire Station"
"#00183","Elekiter Shp"
"#00184","Stables"
"#00185","Handcart Shp"
"#00186","Ukiyoe Shp"
"#00187","Fancy Rest."
"#00188","Carriage Shp"
"#00189","Cannon"
"#00190","Zoo"
"#00191","Kabuki Thtr"
"#00192","Daibutsu"
"#00193","Magistrate"
"#00194","5-Rf Tower"
"#00195","Hot Spring"
"#00196","Sumo Ring"
"#00197","Mine"
"#00198","Kairo Statue"
"#00199","Samurai Hs."
"#00200","Turret"
"#00201","Shrine"
"#00202","Dojo"
"#00203","Jizo Statue"
"#00204","Notice Board"
"#00205","Snack Combo"
"#00206","Flower Combo"
"#00207","Sweets Combo"
"#00208","Plum Combo"
"#00209","Kamakura Combo"
"#00210","Lunch Combo"
"#00211","Noodle Combo"
"#00212","Refresh Combo"
"#00213","Cart Combo"
"#00214","Medicine Combo"
"#00215","Jizo Combo"
"#00216","Rice Combo"
"#00217","Lucky Combo"
"#00218","Mountain Combo"
"#00219","Hangover Combo"
"#00220","Study Combo"
"#00221","Warrior Combo"
"#00222","Hairpin Combo"
"#00223","Archive Combo"
"#00224","Beauty Combo"
"#00225","Sunny Combo"
"#00226","Shopping Combo"
"#00227","Fried Combo"
"#00228","Fiery Combo"
"#00229","Fun Combo"
"#00230","Scholar Combo"
"#00231","Literary Combo"
"#00232","Training Combo"
"#00233","Edomae Combo"
"#00234","Steamy Combo"
"#00235","Import Combo"
"#00236","Fortune Combo"
"#00237","Komon Combo"
"#00238","Kyoto Combo"
"#00239","Gambler Combo"
"#00240","Corrupt Combo"
"#00241","Ghost Combo"
"#00242","Healthy Combo"
"#00243","Traveler Combo"
"#00244","Battle Combo"
"#00245","Playboy Combo"
"#00246","Vehicle Combo"
"#00247","Gift Combo"
"#00248","Clothes Combo"
"#00249","Princess Combo"
"#00250","Samurai Combo"
"#00251","Kairosoft Combo"
"#00252","Frmr"
"#00253","Farmers tend the fields."
"#00254","Art"
"#00255","Artisans make crafts."
"#00256","Mrch"
"#00257","Merchants boost economy."
"#00258","Wrr"
"#00259","Warriors bring high Yld/RP."
"#00260","Vss"
"#00261","Only a chosen few can be vassals."
"#00262","1st Resident"
"#00263","Ingen"
"#00264","Harube"
"#00265","Gonta"
"#00266","Goemon"
"#00267","Akindo"
"#00268","Suki"
"#00269","Momoko"
"#00270","Kamiko"
"#00271","Miyoko"
"#00272","Shoko"
"#00273","Gozaemon"
"#00274","Koemon"
"#00275","Koji"
"#00276","Tagosaku"
"#00277","Honoko"
"#00278","Tsuruko"
"#00279","Toyo"
"#00280","Haruyo"
"#00281","Jiro"
"#00282","Rokube"
"#00283","Saburo"
"#00284","Junsuke"
"#00285","Taniko"
"#00286","Michiyo"
"#00287","Keiko"
"#00288","Yoshi"
"#00289","Heihachi"
"#00290","Bonchi"
"#00291","Hachio"
"#00292","Kiyoshi"
"#00293","Kaizo"
"#00294","Sanrota"
"#00295","Maruko"
"#00296","Nobu"
"#00297","Midori"
"#00298","Bearburo"
"#00299","Chimpiro"
"#00300","Hishoyo"
"#00301","Wairobot"
"#00302","Kairobot"
"#00303","Sally P"
"#00304","Momotaro"
"#00305","Kintaro"
"#00306","Hanasakitaro"
"#00307","Kumanosuke"
"#00308","Sally Prin"
"#00309","Sabu Urameshi"
"#00310","Tonikaku Akame"
"#00311","Miki"
"#00312","Miki Koikawa 2"
"#00313","=MID(#00312,1,-1)&'3'"
"#00314","Mito"
"#00315","Suke-san"
"#00316","Kaku-san"
"#00317","Bath Person"
"#00318","G Ackbar"
"#00319","General Ackbar 2"
"#00320","=MID(#00319,1,-1)&'3'"
"#00321","=MID(#00319,1,-1)&'4'"
"#00322","Kairobot 2"
"#00323","=MID(#00322,1,-1)&'3'"
"#00324","Hishoko-san"
"#00325","Akaoni"
"#00326","Akaoni Don 2"
"#00327","=MID(#00326,1,-1)&'3'"
"#00328","Osami"
"#00329","Osami Kondo 2"
"#00330","Kaguya"
"#00331","Farm Girl"
"#00332","Kemari Girl"
"#00333","Ikkyu"
"#00334","Nikyu"
"#00335","Sankyu"
"#00336","Kurosuke"
"#00337","Kurasuke Oishi 2"
"#00338","Prince"
"#00339","Pretty Princess"
"#00340","Warrior"
"#00341","Ken Oe"
"#00342","Ryoma"
"#00343","Udon Saigo"
"#00344","Takasugi-san"
"#00345","Legendary Warrior"
"#00346","P-Taro"
"#00347","Traveler"
"#00348","Old Runaway"
"#00349","Elementary School Trip"
"#00350","Book of Wit"
"#00351","Field trips--getting kids out of class since the Edo period."
"#00352","Heartbreak Club"
"#00353","Old Love Letter"
"#00354","We want to take a trip to ease our heartbreak."
"#00355","Hello. We are a group of young women taking a trip to help ease our recent heartbreak. We heard this domain had many tourist attractions, plus the men are handsome, so..."
"#00356","Ogre Vanquishing Tour"
"#00357","Millet Dumplings"
"#00358","We're collecting strong weapons to help defeat some ogres."
"#00359","Hello. We're on a trip to vanquish some ogres, but it's not going well. We thought we might take a rest here. I got introduced to some skilled warriors recently, but..."
"#00360","Nation-Wide Tour"
"#00361","Legendary Case"
"#00362","I have a lot of free time, so I travel around righting wrongs."
"#00363","Hello there. I'm actually a powerful member of the government traveling the land fighting corrupt officials. But that doesn't mean I can't enjoy myself, too. "
"#00364","Govt. Inspection Tour"
"#00365","Legendary Document"
"#00366","We keep an eye on masterless samurai to prevent them from working against the government."
"#00367","Ako Clan Samurai"
"#00368","Legendary Sword"
"#00369","I want to cheer up my men who failed in a recent attack."
"#00370","Friendship Alliance"
"#00371","We're traveling around promoting friendship between the Satsuma and Choshu domains."
"#00372","Prince's Secret Tour"
"#00373","Legendary Hairpiece"
"#00374","We have nothing to do now that the world is at peace, so we're taking a trip."
"#00375","Pumpkin Products PR"
"#00376","""Starting A Business"""
"#00377","I want to start the first sales corporation in Japan."
"#00378","Gas Survey Tour"
"#00379","""No Gas"" Certificate"
"#00380","We are searching this country for a magical liquid called ""gasoline."""
"#00381","Greetings. We are searching for a flammable liquid called ""gasoline."" I'm sure it will be useful in the future, so I'm checking if there is any here in Japan."
"#00382","Return to the Moon Tour"
"#00383","Legendary Rocket"
"#00384","I'm going on a trip with my friends before returning to the moon."
"#00385","New Home Search Team"
"#00386","Legendary Beans"
"#00387","Hooligans destroyed our house, so we're searching for a new one."
"#00388","Kairobot's Journey"
"#00389","Smartphone"
"#00390","My mobile phone's batteries are dead. I need someplace to charge them."
"#00391","I just warped in from a space colony in my time machine. In the future, I want to live in Japan and coach soccer, and maybe even eat lots of sushi! But at the moment I just want to find someplace to charge my mobile phone..."
"#00392","Village"
"#00393","Town"
"#00394","City"
"#00395","Province"
"#00396","Oh! Edo"
"#00397","Int"
"#00398","Loy"
"#00399","Apl"
"#00400","Skl"
"#00401","Food"
"#00402","Arms"
"#00403","Tech"
"#00404","Edu"
"#00405","=#00401"
"#00406","People"
"#00407","Luxury"
"#00408","Culture"
"#00409","War"
"#00410","Nature"
"#00411","Env"
"#00412","Shop"
"#00413","Facil"
"#00414","Build"
"#00415","Research"
"#00416","Econ."
"#00417","=#00014"
"#00418","Map"
"#00419","System"
"#00420","=#00006"
"#00421","Options"
"#00422","How to Play"
"#00423","Quit to Title"
"#00424","=#00406"
"#00425","=#00393"
"#00426","Buildings"
"#00427","Finances"
"#00428","Crafts"
"#00429","Traveler List"
"#00430","Combo List"
"#00431","=#00039"
"#00432","New Game"
"#00433","Delete Data"
"#00434","<0>"
"#00435","<0>G"
"#00436","#<0>"
"#00437","=#00434"
"#00438","=#00434"
"#00439","=#00434"
"#00440","=#00434"
"#00441","=#00434"
"#00442","=#00434"
"#00443","=#00434"
"#00444","=#00434"
"#00445","Lvl. <0>"
"#00446","=#00436"
"#00447","=#00434"
"#00448","""<0>"" created!"
"#00449","You can't add any more buildings."
"#00450","Maximum objects reached."
"#00451","Construction failed."
"#00452","<0> invented the ""<1>""!"
"#00453","""<0>"" added!"
"#00454","You can now research ""<0>""."
"#00455","You can now research more buildings."
"#00456","""<0>"" is visiting."
"#00457","Domain yield increased by <0>!"
"#00458","<0>: Max number increased!"
"#00459","=#00453"
"#00460","Build a Vacant Lot to attract more residents."
"#00461","No new buildings can be researched now."
"#00462","Okay! Let's try laying down some roads! First tap the place you want to start building, then drag to build the road."
"#00463","You can scroll the screen while building. Tap the building and drag it to make fine adjustments."
"#00464","At last we can build a castle! Just remember that once you build a castle, you can't remove it, so think about future development when choosing a location."
"#00465","<0> research is <1>% complete."
"#00466","You don't have enough money..."
"#00467","Hi Scores are available in the Full Version of the game!"
"#00468","Following <0>..."
"#00469","You can't change people's jobs until you build a castle."
"#00470","You don't have any crafts you can use."
"#00471","Moving to <0>'s house..."
"#00472","Moving to <0>..."
"#00473","<0> has fulfilled the purpose of their visit! They donated a ""<1>"" to you! Domain Yield increased by <2>!"
"#00474","We can now create crafts!"
"#00475","We didn't get within the top 100... But there's always next year."
"#00476","We came in at #<0> in the national rankings!|"
"#00477","We made it to the top! And the domain is still developing!"
"#00478","We're in the top 5! #1 isn't far away now!"
"#00479","We made it in the top 10! It's going well!"
"#00480","You're making good progress! Keep it up!"
"#00481","Try to get an even higher ranking next time!"
"#00482","/The national government gave us a reward:|"
"#00483","=#00434"
"#00484","|Research Points: <1> <0>"
"#00485","|Building: ""<0>"""
"#00487","You got a reward from the nat. government!"
"#00488","""<0>"" has arrived at <1>."
"#00489","The first travelers have arrived at <0>!/Each group has an objective they want to accomplish./If they succeed, they may donate a treasure to your domain."
"#00490","You can't make crafts without an artisan... Let's hope some come here soon!"
"#00491","This screen shows information about groups traveling all around the country."
"#00492","/<0> doesn't have an Inn yet, but hopefully someday we'll be able to host many travelers."
"#00493","There are no lists you can view..."
"#00494","New craft complete! Total crafts: <0>"
"#00495","<0>'s Yield increased by <1>!"
"#00496","Too bad! You failed... But a merchant did agree to buy your prototype./Try building up your skills and Research Points and try again later."
"#00497","Prototype sold for <0>."
"#00498","<0> has reached the maximum level."
"#00499","You can't make crafts without an artisan... Try having someone switch from another job."
"#00500","You don't have enough ""<0>"" points."
