"@title","English"
"@language","en-US"
"@scale","auto"
"@appli","55 - Do not change"
"@version","2.06 - Do not change"
"@author","Your Name"
"#00000","ED_1"
"#00001","=MID(#00000,1,-1)&'2'"
"#00002","test_ﾗﾝｸ2"
"#00003","=MID(#00002,1,-1)&'3'"
"#00004","=MID(#00002,1,-1)&'4'"
"#00005","=MID(#00002,1,-1)&'5'"
"#00006","=MID(#00002,1,-1)&'6'"
"#00007","=MID(#00002,1,-1)&'7'"
"#00008","=MID(#00002,1,-1)&'8'"
"#00009","=MID(#00002,1,-1)&'9'"
"#00010","=MID(#00002,1,-1)&'10'"
"#00011","Build"
"#00012","Beginner's Cup"
"#00013","Amateur Cup"
"#00014","Eco Cup"
"#00015","Regional Cup"
"#00016","Bearington Cup"
"#00017","National Cup"
"#00018","World Tournament"
"#00019","Blue Stars Match"
"#00020","Dribblers Match"
"#00021","Blowfish Match"
"#00022","Sea Slugs Match"
"#00023","Wild Dogs Match"
"#00024","Burrowers Match"
"#00025","Tapeworms Match"
"#00026","Treefrogs Match"
"#00027","Peach Pits Match"
"#00028","Cafe Lattes Match"
"#00029","Eels Match"
"#00030","Hamsters Match"
"#00031","Nachos Match"
"#00032","Poison Oaks Match"
"#00033","Seagulls Match"
"#00034","Hipsters Match"
"#00035","Peanuts Match"
"#00036","Pastafarian Match"
"#00037","Sweetbreads Match"
"#00038","Global Match"
"#00039","European Match"
"#00040","World Match"
"#00041","Ackbar Match"
"#00042","Chimpan Z Match"
"#00043","Kairo Match"
"#00044","Practice Match"
"#00045","Tune-Up Match"
"#00046","Strengthening Match"
"#00047","Prins Match"
"#00048","You won the Amateur League!<br>Local fans are ecstatic!"
"#00049","You won the Regional League!<br>Local fans are ecstatic!"
"#00050","You won the National League!<br>Local fans are ecstatic!"
"#00051","You won the World League!<br>Local fans are ecstatic!"
"#00052","You won the Kairo League!<br>Local fans are ecstatic!"
"#00053","You won the Beginners Tournament!"
"#00054","You won the Amateur Cup!"
"#00055","You won the Eco Cup!"
"#00056","You won the Regional Cup!"
"#00057","You won the Bearington Cup!"
"#00058","You won the National Cup!"
"#00059","You won the World Tournament!"
"#00060","You won the Blue Stars Match!"
"#00061","You won the Dribblers Match!"
"#00062","You won the Blowfish Match!"
"#00063","You won the Sea Slugs Match!"
"#00064","You won the Wild Dogs Match!"
"#00065","You won the Burrowers Match!"
"#00066","You won the Tapeworms Match!"
"#00067","You won the Treefrogs Match!"
"#00068","You won the Peach Pits Match!"
"#00069","You won the Cafe Lattes Match!"
"#00070","You won the Eels Match!"
"#00071","You won the Hamsters Match!"
"#00072","You won the Nachos Match!"
"#00073","You won the Poison Oaks Match!"
"#00074","You won the Seagulls Match!"
"#00075","You won the Hipsters Match!"
"#00076","You won the Peanuts Match!"
"#00077","You won the Pastafarian Match!"
"#00078","You won the Sweetbreads Match!"
"#00079","You won the Global Match!"
"#00080","You won the European Match!"
"#00081","You won the World Match!"
"#00082","You won the Ackbar Match!"
"#00083","You won the Chimpan Z Match!"
"#00084","You won the Kairo Match!"
"#00085","You won the Practice Match!"
"#00086","You won the Tune-Up Match!"
"#00087","You won the Strengthening Match!"
"#00088","You won the Prins Match!"
"#00089","You couldn't quite win the League Match..."
"#00090","You couldn't quite win the Cup Match."
"#00091","The confidence of all players has been boosted: <co=3366ff>Got 100XP!"
"#00092","The confidence of all players has been boosted: <co=3366ff>Got 200XP!"
"#00093","The confidence of all players has been boosted: <co=3366ff>Got 50XP!"
"#00094","You got a bonus of <0> from the Soccer Association!"
"#00095","You got <0>!"
"#00096","You got a consolation payment of <0> from the Soccer Association!"
"#00097","You got 10 Hearts!"
"#00098","You got 10 Idea Points!"
"#00099","You got 10 Physical Points!"
"#00100","You got 10 Strategy Points!"
"#00101","You signed with a new sponsor!"
"#00102","Your team evaluation went up! <co=0000ff>Rank 2: Beginner"
"#00103","Your team evaluation went up! <co=0000ff>Rank 3: Local"
"#00104","Your team evaluation went up! <co=0000ff>Rank 4: Amateur"
"#00105","Your team evaluation went up! <co=0000ff>Rank 5: Regional"
"#00106","Your team evaluation went up! <co=0000ff>Rank 6: Pro"
"#00107","Your team evaluation went up! <co=0000ff>Rank 7: Veteran"
"#00108","Your team evaluation went up! <co=0000ff>Rank 8: World-Class"
"#00109","Your team evaluation went up!<br><co=0000ff>Rank 9: Galaxy-Class"
"#00110","Your team evaluation went up! <co=0000ff>Rank 10: Soccer Deity"
"#00111","You have now played 10 matches!"
"#00112","You have now played 50 matches!"
"#00113","You have now played 100 matches!"
"#00114","You have now played 500 matches!"
"#00115","Your stadium has been expanded, allowing more spectators to come!"
"#00116","People are talking about us! Your Fame has gone up slightly!"
"#00117","Our practice field and<br>facilities have expanded!"
"#00118","We re-sodded our practice field! Efficiency increased!"
"#00119","Ticket Price"
"#00120","Change ticket prices to attract fans."
"#00121","Meet-&-Greet"
"#00122","Sponsor a meet-and- greet with fans. <co=3366ff>Discover</co>: Sponsors"
"#00123","Autograph Evnt"
"#00124","Sign autographs with fans. <co=3366ff>Discover</co>: Coach Candidates"
"#00125","Soccer Camp"
"#00126","Hold a kids soccer camp. <co=3366ff>Discover</co>: Player Candidates"
"#00127","Coach Lecture"
"#00128","Hold a lecture for fans. <co=3366ff>Discover:</co> Training Methods"
"#00129","Exhibition T."
"#00130","Get new fans on tour. <co=3366ff>Discover:</co> Cup Matches"
"#00131","Team Facil."
"#00132","Build facilities that benefit the area. <co=3366ff>Discover</co>: Facilities"
"#00133","Match won!"
"#00134","Beat a higher team!"
"#00135","Historic victory!"
"#00136","Tied with a higher team!"
"#00137","Tied with a lower team..."
"#00138","Tied with a lower team…"
"#00139","Match lost"
"#00140","Lost against lower team..."
"#00141","Humiliating loss..."
"#00142","3 wins in a row!"
"#00143","5 wins in a row!"
"#00144","10 wins in a row!"
"#00145","20 wins in a row!"
"#00146","50 wins in a row!"
"#00147","Cup Match F Rank Won"
"#00148","Cup Match E Rank Won"
"#00149","Cup Match D Rank Won"
"#00150","Cup Match C Rank Won"
"#00151","Cup Match B Rank Won"
"#00152","Cup Match A Rank Won"
"#00153","Cup Match S Rank Won"
"#00154","Tournament Match F Rank Won"
"#00155","F Rank Tournament Won"
"#00156","Tournament Match E Rank Won"
"#00157","E Rank Tournament Won"
"#00158","Tournament Match D Rank Won"
"#00159","D Rank Tournament Won"
"#00160","Tournament Match C Rank Won"
"#00161","C Rank Tournament Won"
"#00162","Tournament Match B Rank Won"
"#00163","B Rank Tournament Won"
"#00164","Tournament Match A Rank Won"
"#00165","A Rank Tournament Won"
"#00166","Tournament Match S Rank Won"
"#00167","S Rank Tournament Won"
"#00168","Amateur League Won"
"#00169","Regional League Won"
"#00170","National League Won"
"#00171","World League Won"
"#00172","Kairo League Won"
"#00173","<0> is #1 in score rank"
"#00174","Score Ranking #1"
"#00175","Point Contest"
"#00176","<0> got a hat trick"
"#00177","Hat Trick"
"#00178","<0> played in 100 matches"
"#00179","100 matches"
"#00180","<0> scored in 3 straight matches!"
"#00181","3 match scoring streak!"
"#00182","<0> scored in 5 straight matches!"
"#00183","5 match scoring streak!"
"#00184","<0> scored in 10 straight matches!"
"#00185","10 match scoring streak!"
"#00186","<0> scored in 15 straight matches!"
"#00187","15 match scoring streak!"
"#00188","<0> scored in 20 straight matches!"
"#00189","20 match scoring streak!"
"#00190","<0> scored 50 goals"
"#00191","Scored 50 goals"
"#00192","<0> scored 100 goals"
"#00193","Scored 100 goals"
"#00194","Coach <0> won 30 games"
"#00195","Coach won 30 games"
"#00196","Coach <0> won 100 games"
"#00197","Coach won 100 games"
"#00198","100K spectators total"
"#00199","100K spectators"
"#00200","1 mil spectators total"
"#00201","1 mil spectators"
"#00202","5 mil spectators total"
"#00203","5 mil spectators"
"#00204","A balanced formation."
"#00205","Easy to steal the ball."
"#00206","Rather offensive formation."
"#00207","Formation for swift offense."
"#00208","Offensive formation."
"#00209","Defensive formation."
"#00210","Quite defensive formation."
"#00211","Very defensive formation."
"#00212","Greatly strengthens midfield."
"#00213","=#00212"
"#00214","Ultra offensive formation."
"#00215","Good for long-ball."
"#00216","Clump"
"#00217","Seen with young players."
"#00218","Straight"
"#00219","A very proper formation."
"#00220","3 Line"
"#00221","Three-line formation."
"#00222","Slant"
"#00223","A radical formation."
"#00224","Cross"
"#00225","Box"
"#00226","Free"
"#00227","Set with left softkey."
"#00228","Amateur League"
"#00229","=#00228"
"#00230","Sponsored by the local merchants association."
"#00231","Regional League"
"#00232","=#00231"
"#00233","Teams that win at regionals go on to the nationals."
"#00234","National League"
"#00235","=#00234"
"#00236","The best teams in the country play in this league."
"#00237","World League"
"#00238","=#00237"
"#00239","The top teams in the world fight to see who is truly the best."
"#00240","Kairo League"
"#00241","=#00240"
"#00242","A very exclusive league where winning is very difficult."
"#00243","<co=3366ff>Pocket League Story</co><br>In this simulation game, you play the role of a soccer team owner. Train your players and try to create a world-class team."
,"▼Game Flow 1<br>In the game, you will hire and train players and try to win in various leagues. Upgrade your team facilities and sign with new sponsors to get more money."
,"▼Game Flow 2<br>Each year, you will hire a coach and come up with your ideal starting lineup before facing off against a variety of opponents."
,"▼Matches 1<br>Matches are played automatically by your players. You can occasionally give them instructions about strategy. You can change all players at halftime."
,"▼Matches 2<br>League matches are round-robin matches, while Cup Matches are tournament-style. Each type lets you discover different things. Try to beat all of the leagues."
,"▼Players 1<br>There are 5 player stats:<br>Kick: Shot accuracy/pass strength<br>Speed: Running speed<br>Tech: Play accuracy<br>Body: Ability to not fall down<br>Keep: Goalkeeping skill"
,"▼Players 2<br>Each player has a ranking from F to A, showing how well they perform in a particular position. Try putting players in various positions to see which they are best at."
,"▼Players 3<br>Some players have special talents, like Exceptional Players and Strikers. This affects how easy they are to train, and their final stats at level 30 (the maximum)."
,"▼Players 4<br>Players get paid each time they play in a match. In addition, the more they play, the higher their salary will get. If a player doesn't play, you don't have to pay."
,"▼Falling Down<br>When a player's Balance Gauge reaches zero due to a collision with another player, they will fall down. This will increase their Aura Gauge."
,"▼Auras<br>When a player falls down, their Aura Gauge goes up, eventually allowing them to activate an Aura. This boosts their abilities, but activating it at the right time is key."
,"▼Coaches<br>Coaches affect the experience points players get from practicing, and the Research Points gained after a game. Extend a coach's contract to make them go up in level."
,"▼Special Practice<br>You can choose 3 players for special practice. Each type will affect a different stat. Each player's talent also affects how much their stats will increase."
,"▼Research Points<br>Research Points are used for various things. You can get points by playing in matches or using facilities. Your coach and facilities affect how many points you get."
,"▼Formations<br>You can choose different player formations to use in different situations. You can sometimes discover new formations by changing your coach at the end of the year."
,"▼Hiring Players<br>If the negotiations go well, you can hire a new player to strengthen your team. A high Team Evaluation and Fame will make negotiations go more smoothly."
,"▼Facilities<br>Players get Research Points by using facilities. Depending on the practice strategy used, players' training can boost the use of facilities. The greater effect a facility has on players, the easier it is to build Auras."
,"▼Sponsors<br>Sign with a sponsor and you will get a bonus for every match. Win to increase your sponsor's satisfaction. High Team Evaluation and Fame make negotiations easier."
,"▼Fan Activities<br>Fan Activities are a way for a team to connect with fans in their area. Some activities may let you discover new coaches or players."
,"▼Cup Matches<br>There are two kinds of Cup Matches: one-on-one matches and tournaments. You win a tournament by winning a set number of matches. This requires skill."
,"▼League Matches<br>When you become a league champion, you may get access to another league. Some leagues cannot be discovered unless you win a tournament."
,"▼Fan Base<br>Playing in matches or performing Fan Activities will increase a team's fan base. This greatly increases the spectators at your matches. More fans means more income."
,"▼Support<br>Playing in matches or performing Fan Activities increases your Support. This affects how much a player's Aura Gauge goes up when they fall down, and the post-match bonus."
,"▼Fame<br>Winning matches or performing Fan Activities increases your Fame. Higher Fame allows you to hire more popular players, and makes negotiations go more smoothly."
,"▼Contract Renewal<br>At the end of the year, you must renew your players' and coach's contracts. If you feel your team is too big, you can always empty out some player slots."
,"▼Team Evaluation<br>Evaluation is affected by your win/loss record. Beat a higher ranked team to boost your Evaluation. When Evaluation gets to a certain point, your Rank will go up."
,"▼Game Ending<br>The game ""ends"" at the end of March in the 8th game year. Your funds and points will be saved as your high score, but you can keep playing for as long as you like."
,"▼Other<br>If you start a new game after having reached the ending, you will be able to carry over some of your data, making it easier to get a better high score."
,"(About This Game)"
"#00244","A New Team is Born!"
"#00245","There's a new soccer team on the block: the <0>. The new team, which is in an area somewhat removed from the bustle of the big city, is enjoying the support of the local residents.<br><br>""I hope this will be a boost to the economy,"" said a local cheese maker. ""Business has stunk recently."" We will definitely be following this new team's progress with interest."
"#00246","Amateur Champs!"
"#00247","The <0> have emerged as the Amateur League champions. Word of this newly formed team's victory has spread like wildfire in the soccer world, suddenly propelling the <0> into fame.<br><br>Managers of other leagues are already in talks with the <0> in hopes of having them join. We'll be keeping an eye on this promising team in the future."
"#00248","Regional Champs!"
"#00249","The <0> are the new Regional League champions, having impressively defeated their opponents. Next they will be moving on to the big time: the National League. Let's hope that their luck holds out on the national stage.<br><br>The other teams in the league have wasted no time in checking out their new rival. Even a reporter from our magazine found himself being grilled by various coaches attempting to get information. They will no doubt be using this info to come up with a strategy to use against the newcomers. We wish the <0> luck. They'll need it."
"#00250","National Champs!"
"#00251","The recently formed soccer team, the <0>, has emerged victorious against all of their rivals in the National League, taking their first championship. The assistant coach couldn't hide her tears. ""We all worked so hard to get here,"" she said. ""But nobody has worked harder than our team's owner.""<br>Rumor has it that this victory has brought the <0> to the attention of league managers around the world. They certainly have our respect and congratulations. Well done!"
"#00252","Year-End Worries"
"#00253","It's the end of the year, and that means that players are stressing out over whether or not their contract will be renewed. And since coaches' contracts get renewed at the same time, it can be a difficult time for team management as they try to come up with some kind of strategy for the upcoming season. Coaches come into their own as their team practices, giving them experience points and sometimes discovering new Formations. And coaches also affect the amount of Research Points a team gets after a game. Yes, a team's choice of coaches can greatly affect their performance. We've also heard that coaches who get their contracts renewed get more in tune with their team, allowing them to go up in level. It's always fascinating to see the choices that teams make as they prepare to compete."
"#00254","Aura Awes"
"#00255","Are you familiar with Auras? When a player is knocked down during a match, their Aura Gauge will go up. If a player plays with a full Aura Gauge, their performance will be improved. ""There's a limit to how long an Aura can be used,"" said renowned soccer commentator Ray Rudson. ""It's probably most effective to use an Aura at the beginning of a match."""
"#00256","Formations"
"#00257","Many think that Formations are one of the more interesting aspects of soccer. Part of coming up with a strategy is experimenting to see which Formations work best.<br><br>Some prefer to tailor their Formations to their opponents, choosing a more defensive stance when facing an aggressive team, and opting for an offensive strategy when facing a team that plays more conservatively."
"#00258","Player Stats"
