"@title","English"
"@language","en-US"
"@scale","auto"
"@appli","97 - Do not change"
"@version","2.11 - Do not change"
"@author","Your Name"
"#00000","The item shop holds a sale on the first of every month! Save big on coin products!"
"#00001","The item shop holds sales on the 11th, 21st, and 31st of each month! Save big on coin products!"
"#00002","Tomorrow's date has a 5 in it, so come back then to save 50% at the Lucky Target store! See you tomorrow!"
"#00003","Today's date has a 5 in it, so you can save 50% at the Lucky Target store! Good luck!"
"#00004","On weekends only! Get more EXP for online league matches!"
"#00005","The Lucky Target store is also running a sale!"
"#00006","Save at the item shop on Tuesday, Wednesday, and Thursday! Pick up a bargain on heart products!"
"#00007","Online leaderboard rankings are updated every Monday! This week you need <0> more win(s) to improve your ranking!"
"#00008","The item shop is having a sale tomorrow! See you then!"
"#00009","Tip: You recover online stamina points every 45 minutes (in real time)."
"#00010","Tip: Roulette, Overlap, and certain other skills are exclusive to certain device models!"
"#00011","Tip: This app accesses the Internet when you launch it, purchase coins, etc. Make sure you have a stable connection!"
"#00012","Tip: Learn new formations by replacing your coach. Alternatively, renew the current coach's contract and level up!"
"#00013","Tip: Players can change their talent categories once they exceed Level 20."
"#00014","Tip: Legend has it there's a mysterious league full of yellow robots somewhere..."
"#00015","Tip: If you disable ads at the bottom of the screen, you'll also be able to play in landscape mode."
"#00016","Tip: Train the Body stat to make it harder to fall down. Train the Kick stat to make it easier to score goals."
"#00017","Tip: The more friends you have, the more chances you have to get coins."
"#00018","Tip: Win matches and raise your rank to enable online play and player sharing."
"#00019","Tip: It's best to change sponsors once your current ones have reached their maximum levels."
"#00020","Tip: Remember to save your game frequently."
"#00021","Tip: The game will auto-save periodically, such as when a match starts or when you spend coins."
"#00022","Average"
"#00023","Exceptional"
"#00024","World Class"
"#00025","Superstar"
"#00026","Striker"
"#00027","Bodybuilder"
"#00028","Showboat"
"#00029","Kid"
"#00030","Technician"
"#00031","Fantasista"
"#00032","Free"
"#00033","Speedster"
"#00034","Defender"
"#00035","Avg GK"
"#00036","Excp GK"
"#00037","Spider"
"#00038","WC GK"
"#00039","Super GK"
"#00040","ED_1"
"#00041","=MID(#00040,1,-1)&'2'"
"#00042","You won the Amateur League!<br>Local fans are ecstatic!"
"#00043","You won the Regional League!<br>Local fans are ecstatic!"
"#00044","You won the Western League!<br>Local fans are ecstatic!"
"#00045","You won National Division II!<br>Local fans are ecstatic!"
"#00046","You won National Division I!<br>Local fans are ecstatic!"
"#00047","You won the Northern League!<br>Local fans are ecstatic!"
"#00048","You won the World League!<br>Local fans are ecstatic!"
"#00049","You won the Kairo League!<br>Local fans are ecstatic!"
"#00050","Amateur League 100% complete!<br>You've made history!<br>You got ""Category Change 3""!"
"#00051","Regional League 100% complete!<br>You've made history!<br>You got ""Category Change 3""!"
"#00052","Western League 100% complete!<br>You've made history!<br>You got ""GK Category Change 2""!"
"#00053","National Division II 100% complete!<br>You've made history!<br>You got ""Category Change 3""!"
"#00054","National Division I 100% complete!<br>You've made history!<br>You got ""Category Change 3""!"
"#00055","Northern League 100% complete!<br>You've made history!<br>You got ""Special Skill A""!"
"#00056","World League 100% complete!<br>You've made history!<br>You got ""Special Skill A""!"
"#00057","Kairo League 100% complete!<br>You've made history!<br>You got ""Special Skill A""!"
"#00058","You couldn't quite win the league match..."
"#00059","You lost the cup match."
"#00060","You signed with a new sponsor!"
"#00061","Your team has now<br>played in 10 matches!"
"#00062","Your team has now<br>played in 50 matches!"
"#00063","Your team has now<br>played in 100 matches!"
"#00064","Your team has now<br>played in 500 matches!"
"#00065","Your stadium has been expanded, allowing more spectators to come!"
"#00066","Your stunning victory has everyone talking about your team!"
"#00067","Our practice field and<br>facilities have expanded!"
"#00068","We re-sodded our practice field! Training is now more effective!"
"#00069","You withdrew from the tournament. Fans -100."
"#00070","Congratulations!<br>You've been selected as<br>the best in the world!"
"#00071","Received 3 coins from<br>the assistant coach!"
"#00072","Congratulations!<br>You defeated your friend<br>and won a coin!"
"#00073","Congratulations!<br>You won the online cup<br>match and got a coin!"
"#00074","Your team has completely<br>regained its online stamina!"
"#00075","You're now #<0><br>in the online rankings!"
"#00076","Ticket Price"
"#00077","Change ticket prices to attract fans."
"#00078","Cleanup"
"#00079","Help clean up the neighborhood. Discover: <co=3366ff>Sponsors"
"#00080","Autograph Event"
"#00081","Sign autographs with fans. Discover: <co=3366ff>Sponsors"
"#00082","Soccer Camp"
"#00083","Hold a kids' soccer camp. Discover: <co=3366ff>Players"
"#00084","Coach Lecture"
"#00085","Hold a lecture about coaching. Discover: <co=3366ff>Coaches"
"#00086","Exhibition Tour"
"#00087","Hold an exhibition tour to attract fans. Discover: <co=3366ff>Cup matches"
"#00088","Team Facil."
"#00089","Build facilities that benefit the area. Discover: <co=3366ff>Facilities"
"#00090","Fan Appreciation"
"#00091","Throw a party in the clubhouse. Discover: <co=3366ff>Coins"
"#00092","Match won!"
"#00093","Beat a higher team!"
"#00094","Historic victory!"
"#00095","Tied with a higher team!"
"#00096","Tied with a lower team..."
"#00097","Match lost"
"#00098","Lost against lower team..."
"#00099","Humiliating loss..."
"#00100","3 games, 3 losses..."
"#00101","3 wins in a row!"
"#00102","5 wins in a row!"
"#00103","10 wins in a row!"
"#00104","20 wins in a row!"
"#00105","50 wins in a row!"
"#00106","Cup Match F Rank Won"
"#00107","Cup Match E Rank Won"
"#00108","Cup Match D Rank Won"
"#00109","Cup Match C Rank Won"
"#00110","Cup Match B Rank Won"
"#00111","Cup Match A Rank Won"
"#00112","Cup Match S Rank Won"
"#00113","Tournament Match F Rank Won"
"#00114","F Rank Tournament Won"
"#00115","Tournament Match E Rank Won"
"#00116","E Rank Tournament Won"
"#00117","Tournament Match D Rank Won"
"#00118","D Rank Tournament Won"
"#00119","Tournament Match C Rank Won"
"#00120","C Rank Tournament Won"
"#00121","Tournament Match B Rank Won"
"#00122","B Rank Tournament Won"
"#00123","Tournament Match A Rank Won"
"#00124","A Rank Tournament Won"
"#00125","Tournament Match S Rank Won"
"#00126","S Rank Tournament Won"
"#00127","Amateur League Won"
"#00128","=#00127"
"#00129","Regional League Won"
"#00130","=#00129"
"#00131","Western League"
"#00132","Western League Won"
"#00133","National Division II"
"#00134","National Division II Won"
"#00135","National Division I"
"#00136","National Division I Won"
"#00137","Northern League"
"#00138","Northern League Won"
"#00139","World League Won"
"#00140","=#00139"
"#00141","Kairo League Won"
"#00142","=#00141"
"#00143","<0> has scored the most goals"
"#00144","Score Ranking #1"
"#00145","Point Contest"
"#00146","<0> got a hat trick"
"#00147","Hat Trick"
"#00148","<0> played in 100 matches"
"#00149","100 matches"
"#00150","<0> played in 500 matches"
"#00151","500 matches"
"#00152","<0> scored in 3 straight matches!"
"#00153","3-match scoring streak!"
"#00154","<0> scored in 5 straight matches!"
"#00155","5-match scoring streak!"
"#00156","<0> scored in 10 straight matches!"
"#00157","10-match scoring streak!"
"#00158","<0> scored in 20 straight matches!"
"#00159","20-match scoring streak!"
"#00160","<0> scored in 50 straight matches!"
"#00161","50-match scoring streak!"
"#00162","<0> scored 50 goals"
"#00163","Scored 50 goals"
"#00164","<0> scored 100 goals"
"#00165","Scored 100 goals"
"#00166","<0> reached 100 popularity"
"#00167","Player popularity of 100"
"#00168","<0> reached 500 popularity"
"#00169","=MID(#00167,1,-3)&'500'"
"#00170","3-Match Shutout"
"#00171","10-Match Shutout"
"#00172","30-Match Shutout"
"#00173","Coach <0> won 30 games"
"#00174","Coach won 30 games"
"#00175","Coach <0> won 100 games"
"#00176","Coach won 100 games"
"#00177","100K spectators total"
"#00178","100K spectators"
"#00179","500K spectators total"
"#00180","500K spectators"
"#00181","1 mil. spectators total"
"#00182","=#00181"
"#00183","10 mil. spectators total"
"#00184","10 mil. spectators"
"#00185","1K fans"
"#00186","5K fans"
"#00187","10K fans"
"#00188","50K fans"
"#00189","100K fans"
"#00190","10 mil. in team funds"
"#00191","Got 10 million in team funds"
"#00192","50 mil. in team funds"
"#00193","Got 50 million in team funds"
"#00194","100 mil. in team funds"
"#00195","Got 100 million in team funds"
"#00196","500 mil. in team funds"
"#00197","Got 500 million in team funds"
"#00198","10 bil. in team funds"
"#00199","Got 10 billion in team funds"
"#00200","Got 100 coins"
"#00201","Got 500 coins"
"#00202","Got 999 coins"
"#00203","Played in 50 matches"
"#00204","Best Eleven"
"#00205","Top League Scorer"
"#00206","National Team"
"#00207","World MVP Award"
"#00208","Amateur Complete"
"#00209","Regional Complete"
"#00210","Western Complete"
"#00211","National II Complete"
"#00212","National I Complete"
"#00213","Northern Complete"
"#00214","World Complete"
"#00215","Kairo Complete"
"#00216","Win 10 friend matches"
"#00217","10 friend matches"
"#00218","Win 50 friend matches"
"#00219","50 friend matches"
"#00220","Win 100 friend matches"
"#00221","100 friend matches"
"#00222","Win 500 friend matches"
"#00223","500 friend matches"
"#00224","Win 10 online matches"
"#00225","10 online matches"
"#00226","Win 50 online matches"
"#00227","50 online matches"
"#00228","Win 100 online matches"
"#00229","100 online matches"
"#00230","Win 500 online matches"
"#00231","500 online matches"
"#00232","A balanced formation."
"#00233","A diamond-shaped formation."
"#00234","Puts pressure on the midfield."
"#00235","Greatly thickens the midfield."
"#00236","Rather offensive formation."
"#00237","A forward-leaning formation."
"#00238","Extreme offense and defense."
"#00239","Formation for swift offense."
"#00240","A relaxed formation."
"#00241","Offensive formation."
"#00242","Defensive formation."
"#00243","A sharp, blade-like formation."
"#00244","Very defensive formation."
"#00245","Quite defensive formation."
"#00246","Greatly strengthens midfield."
"#00247","Ultra offensive formation."
"#00248","Good for long-ball."
"#00249","Scorpion"
"#00250","Resembles a scorpion."
"#00251","0 Top"
"#00252","A formation with no FW."
"#00253","Backwater"
"#00254","Pyramid"
"#00255","Like the mysterious pyramids of Egypt."
"#00256","Right-O"
"#00257","Hide on the right side."
"#00258","Rhombus"
"#00259","Doubles as geometry practice."
"#00260","Power Play"
"#00261","An aggressive formation."
"#00262","Wave"
"#00263","A flowing formation."
"#00264","Clump"
"#00265","A clump-like formation."
"#00266","Straight"
"#00267","An orderly formation."
"#00268","3-Line"
"#00269","Three-line formation."
"#00270","Slant"
"#00271","A radical formation."
"#00272","Cross"
"#00273","Box"
"#00274","Free A"
"#00275","Set with left soft key."
"#00276","Free B"
"#00277","Category Change 1"
"#00278","Select from 5 talents for <co=3366ff>a player Lvl. 20 or higher</co>."
"#00279","=MID(#00277,1,-1)&'2'"
"#00280","Select from 8 talents for <co=3366ff>a player Lvl. 20 or higher</co>."
"#00281","=MID(#00277,1,-1)&'3'"
"#00282","Select from 11 talents for <co=3366ff>a player Lvl. 20 or higher</co>."
"#00283","GK Category Up 1"
"#00284","Select from 3 talents for <co=3366ff>a goalkeeper Lvl. 20 or higher</co>."
"#00285","=MID(#00283,1,-1)&'2'"
"#00286","Select from 5 talents for <co=3366ff>a goalkeeper Lvl. 20 or higher</co>."
"#00287","World Soccer Weekly"
"#00288","Read the latest news and <co=3366ff>get EXP</co>."
"#00289","Life of a Soccer Star"
"#00290","Read the biography of a star player and <co=3366ff>get EXP</co>."
"#00291","Hollywood Handbook"
"#00292","Learn everything there is to know about being popular."
"#00293","TV Commercial"
"#00294","Appear in a local commercial to boost popularity."
"#00295","Training Whistle"
"#00296","Activate an Aura and <co=3366ff>get lots of EXP from practice."
"#00297","Meat Feast"
"#00298","Eat a large steak for dinner to<co=3366ff> boost the Aura gauge."
"#00299","Fan Letter"
"#00300","A letter from a devoted fan <co=3366ff>fully charges the Aura gauge</co>."
"#00301","Kick Mitts"
"#00302","Helps improve <co=3366ff>kicking ability</co>."
"#00303","Sandbag"
"#00304","Ankle Weights"
"#00305","Helps improve <co=3366ff>speed</co>."
"#00306","Light Spikes"
"#00307","Lifting Ball"
"#00308","Helps improve <co=3366ff>technique</co>."
"#00309","Super Play DVD"
"#00310","Dumbbells"
"#00311","Helps improve <co=3366ff>body composition</co>."
"#00312","Balance Ball"
"#00313","Vision Training"
"#00314","Helps improve <co=3366ff>keeping</co> ability."
"#00315","GoalKeep 800"
"#00316","Room Runner"
"#00317","Helps improve <co=3366ff>stamina</co>."
"#00318","Stamina Pants"
"#00319","Infinity Gum"
"#00320","Can improve <co=3366ff>all stats</co> without limit."
"#00321","Massage Chair"
"#00322","=#00320"
"#00323","Wet Compress"
"#00324","Helps <co=3366ff>recover from fatigue</co>."
"#00325","Oxygen Tent"
"#00326","Completely <co=3366ff>eliminates fatigue</co>."
"#00327","Go the Distance"
"#00328","A book that teaches the ""<co=3366ff>Stamina Up</co>"" skill."
"#00329","Push Your Limits"
"#00330","A book that teaches the ""<co=3366ff>Ultra Stamina</co>"" skill."
"#00331","The Striker's Bible"
"#00332","A book that teaches the ""<co=3366ff>Kick Up</co>"" skill."
"#00333","Cannonballs"
"#00334","A book that teaches the ""<co=3366ff>Ultra Kick</co>"" skill."
"#00335","Faster and Faster"
"#00336","A book that teaches the ""<co=3366ff>Speed Up</co>"" skill."
"#00337","At Light Speed"
"#00338","A book that teaches the ""<co=3366ff>Ultra Speed</co>"" skill."
"#00339","Form and Finesse"
"#00340","A book that teaches the ""<co=3366ff>Technique Up</co>"" skill."
"#00341","Fancy Footwork"
"#00342","A book that teaches the ""<co=3366ff>Ultra Technique</co>"" skill."
"#00343","I Am Iron Man"
"#00344","A book that teaches the ""<co=3366ff>Body Up</co>"" skill."
"#00345","The Beast Within"
"#00346","A book that teaches the ""<co=3366ff>Ultra Body</co>"" skill."
"#00347","Quick Reflexes"
"#00348","A book that teaches the ""<co=3366ff>Keeper Up</co>"" skill."
"#00349","Impenetrable"
"#00350","A book that teaches the ""<co=3366ff>Ultra Keeper</co>"" skill."
"#00351","Take Aim"
"#00352","A book that teaches the ""<co=3366ff>Longshot</co>"" skill."
"#00353","Smart Defense"
"#00354","A book that teaches the ""<co=3366ff>Shot Blocker</co>"" skill."
"#00355","Applied Defense"
"#00356","A book that teaches the ""<co=3366ff>Raging Bull</co>"" skill."
"#00357","Master Play"
"#00358","A book that teaches the ""<co=3366ff>Tackle Master</co>"" skill."
"#00359","Go for Broke"
"#00360","A book that teaches the ""<co=3366ff>Super Slider</co>"" skill."
"#00361","In Your Sights"
"#00362","A book that teaches the ""<co=3366ff>Dynamo</co>"" skill."
"#00363","Play by Play"
"#00364","A book that teaches the ""<co=3366ff>Direct Play</co>"" skill."
"#00365","Effective Throws"
"#00366","A book that teaches the ""<co=3366ff>Long Throw</co>"" skill."
"#00367","Space is Vital"
