"@title","English"
"@language","en-US"
"@scale","auto"
"@appli","29 - Do not change"
"@version","3.01 - Do not change"
"@author","Your Name"
"#00000","英語"
"#00001","OK"
"#00002","End"
"#00003","Back"
"#00004","Yes"
"#00005","No"
"#00006","=#00001"
"#00007","Save"
"#00008","Menu"
"#00009","Self"
"#00010","Top"
"#00011","Site"
"#00012","Next"
"#00013","Details"
"#00014","Switch"
"#00015","Info"
"#00016","Follow"
"#00017","Cancel"
"#00018","=#00000"
"#00019","None"
"#00020","Sunny High"
"#00021","John Doe"
"#00022","Jen Doe"
"#00023","School Name"
"#00024","Rename"
"#00025","Name"
"#00026","High scores are available in the Full Version!"
"#00027","Sunny Vale"
"#00028","Normalville"
"#00029","Lakeside"
"#00030","Hill Valley"
"#00031","Heavenly Hills"
"#00032","A well-balanced map."
"#00033","An average suburb."
"#00034","Beautiful map with a lake."
"#00035","A mountainous map."
"#00036","A wealthy urban area."
"#00037","Wood Hall"
"#00038","Panel Hall"
"#00039","Remove"
"#00040","Dirt Path"
"#00041","Sidewalk"
"#00042","Grass"
"#00043","Flowers"
"#00044","Lake"
"#00045","Raise"
"#00046","Lower"
"#00047","Woods"
"#00048","Small Tree"
"#00049","Big Tree"
"#00050","Mythic Tree"
"#00051","Azalea"
"#00052","Pine"
"#00053","Bamboo"
"#00054","Poplar"
"#00055","Palm Tree"
"#00056","Big Rock"
"#00057","Locker Rm"
"#00058","Club"
"#00059","Well"
"#00060","Bulletin Bd"
"#00061","Inst Shelt"
"#00062","Trampoline"
"#00063","Dojo"
"#00064","Totem Pole"
"#00065","Rocket"
"#00066","Arcade"
"#00067","Bench"
"#00068","Planetarium"
"#00069","Clock"
"#00070","Snack Store"
"#00071","Vending Rm"
"#00072","Wtr Fntn"
"#00073","Rest Rm"
"#00074","Misc Room"
"#00075","Lounge"
"#00076","PA Rm"
"#00077","Nurse's Rm"
"#00078","Library"
"#00079","AV Room"
"#00080","Tiny Mart"
"#00081","Lab"
"#00082","Music Rm"
"#00083","Cafeteria"
"#00084","Art Rm"
"#00085","Hm Ec Rm"
"#00086","Comp Rm"
"#00087","Track"
"#00088","Tennis Ct"
"#00089","B-Ball Ct"
"#00090","Baseball Fld"
"#00091","Soccer Fld"
"#00092","Gym"
"#00093","Pool"
"#00094","Incinerator"
"#00095","Y1 Classroom"
"#00096","Y2 Classroom"
"#00097","Y3 Classroom"
"#00098","Prncpl Rm"
"#00099","Gate"
"#00100","Chicken Rm"
"#00101","Rabbit Rm"
"#00102","Pig Rm"
"#00103","Cow Rm"
"#00104","Duck Rm"
"#00105","Panda Rm"
"#00106","Koala Rm"
"#00107","Giraffe Rm"
"#00108","Gator Rm"
"#00109","Elephant Rm"
"#00110","Horse Rm"
"#00111","Mole Rm"
"#00112","Kairobot Rm"
"#00113","Teacher Rm"
"#00114","Bronze St"
"#00115","Gold St"
"#00116","Stone Robot"
"#00117","Gold Robot"
"#00118","Cherry Tree"
"#00119","Field"
"#00120","Used for changing."
"#00121","Used for club activities."
"#00122","Provides fresh drinking water."
"#00123","Get suggestions from students."
"#00124","Needed to raise crops."
"#00125","Puts a bounce in your step."
"#00126","Learn self-defense."
"#00127","Has a mysterious atmosphere."
"#00128","Will it fly someday?"
"#00129","Nice for taking a break."
"#00130","Perfect for a sun bathing."
"#00131","Great for stargazing."
"#00132","Grows along with your school."
"#00133","Sells snacks and stationery."
"#00134","Sells invigorating drinks."
"#00135","Hand washing is important."
"#00136","With heated seats!"
"#00137","A big, multi-purpose room."
"#00138","For relaxing with friends."
"#00139","For making announcements."
"#00140","Come lie down if you're ill."
"#00141","Full of useful books."
"#00142","Watch educational videos."
"#00143","Sells convenient goods."
"#00144","Full of lab equipment."
"#00145","Has posters of musicians."
"#00146","Sells cheap meals and snacks."
"#00147","Full of colorful art supplies."
"#00148","Has high-tech sewing machines."
"#00149","Has the latest computers."
"#00150","Do all kinds of exercise here."
"#00151","Popular with the fashionable."
"#00152","Greatly boosts athletic skill."
"#00153","A popular high school sport."
"#00154","Learn agility and endurance."
"#00155","Used for PE and assemblies."
"#00156","An unheated, standard pool."
"#00157","For burning garbage."
"#00158","Get sage advice."
"#00159","Spirit boosts sales price."
"#00160","Lays fresh eggs when mature."
"#00161","Produces toys when mature."
"#00162","Produces meat when mature."
"#00163","Produces milk when mature."
"#00164","=#00161"
"#00165","Produces badges when mature."
"#00166","Produces pouches when mature."
"#00167","Produces rulers when mature."
"#00168","Produces bags when mature."
"#00169","Produces cookies when mature."
"#00170","Produces wallets when mature."
"#00171","Produces hammers when mature."
"#00172","=#00161"
"#00173","A statue of a famous person."
"#00174","An impressive bronze statue."
"#00175","A statue of a myterious robot."
"#00176","A mysterious shiny gold robot."
"#00177","Exercise Spot"
"#00178","Date Spot"
"#00179","Friend Spot"
"#00180","Spooky Spot"
"#00181","Study Spot"
"#00182","Art Spot"
"#00183","Homey Spot"
"#00184","Shopping Spot"
"#00185","Sports Spot"
"#00186","Famous Spot"
"#00187","Meat Spot"
"#00188","Garden Spot"
"#00189","Twilight Spot"
"#00190","Power Spot"
"#00191","Fashion Spot"
"#00192","Cosmos Spot"
"#00193","Fiery Spot"
"#00194","Waiting Spot"
"#00195","Club Spot"
"#00196","Relaxing Spot"
"#00197","Water Spot"
"#00198","Bio Spot"
"#00199","Racing Spot"
"#00200","Tall Spot"
"#00201","Action Spot"
"#00202","Africa Spot"
"#00203","Cooking Spot"
"#00204","Election Spot"
"#00205","Jealousy Spot"
"#00206","Kairo Spot"
"#00207","Bob Smith"
"#00208","Guy Pech"
"#00209","Ted Bilal"
"#00210","Hugh Maris"
"#00211","Neil Kramp"
"#00212","AJ Evans"
"#00213","Vin Vancil"
"#00214","Allan Soni"
"#00215","Erik Mumma"
"#00216","Cody Vesey"
"#00217","Ed Hislop"
"#00218","Jessie Gaw"
"#00219","Wyn Styles"
"#00220","Cody Beets"
"#00221","Ted Armand"
"#00222","Erik Piten"
"#00223","Dutch Pitt"
"#00224","Dave Valls"
"#00225","Darius Ida"
"#00226","Bob Balius"
"#00227","Hal Reese"
"#00228","Rod Litka"
"#00229","Al Kunka"
"#00230","Sean Wise"
"#00231","Elvin Bay"
"#00232","Sonny Leva"
"#00233","Elwood Moh"
"#00234","Jackson Hu"
"#00235","Dane Frack"
"#00236","Rob Gross"
"#00237","Abe Plue"
"#00238","Tammy Gun"
"#00239","Anne Low"
"#00240","Tanya Gill"
"#00241","Maddy Call"
"#00242","Alice Mun"
"#00243","Anna Ford"
"#00244","Tris Haber"
"#00245","Wendy Shal"
"#00246","Vicky Holl"
"#00247","Katy Ling"
"#00248","Jane Kato"
"#00249","Holly Bun"
"#00250","Mia Pinto"
"#00251","June Gold"
"#00252","Eva Racine"
"#00253","Ella Whit"
"#00254","Amy Suby"
"#00255","Bella Sola"
"#00256","Kira Cuff"
"#00257","Pearl Tup"
"#00258","Juana Bohn"
"#00259","Dani Wash"
"#00260","Jodi Bader"
"#00261","Marie Buck"
"#00262","Toni Elam"
"#00263","Elsie Peak"
"#00264","Faye Dwyer"
"#00265","Olga Olm"
"#00266","Janet Spel"
"#00267","Ida Mays"
"#00268","Kristi Tod"
"#00269","Nina Towne"
"#00270","Ina Correa"
"#00271","Chris Mize"
"#00272","Hilda Bag"
"#00273","Will Baum"
"#00274","Judy Holst"
"#00275","Alan Joyce"
"#00276","Iris Tolbe"
"#00277","Doug Low"
"#00278","Adam Bane"
"#00279","Lula Kent"
"#00280","Edna Angel"
"#00281","Pat Greene"
"#00282","Bryn Bower"
"#00283","Corey Caw"
"#00284","Mike Munn"
"#00285","Jose Melan"
"#00286","Pam Tyree"
"#00287","Agnes Huff"
"#00288","Mat Dwyer"
"#00289","Joe Watt"
"#00290","Terry Till"
"#00291","Sydney Sal"
"#00292","Jodi Bear"
"#00293","Val Verde"
"#00294","Lior Long"
"#00295","Jon Benson"
"#00296","Ryan Jonas"
"#00297","Dan Black"
"#00298","Andre Cant"
"#00299","Jan Jiver"
"#00300","Casper Dun"
"#00301","King Ackbar"
"#00302","Jun Tanaka"
"#00303","Jim Payne"
"#00304","Dee Ducks"
"#00305","Grizzly B"
"#00306","Chimpan Z"
"#00307","Kairobot"
"#00308","Sally Prin"
"#00309","Teacher"
"#00310","=#00309"
"#00311","Mayor"
"#00312","Dancer"
"#00313","Babysitter"
"#00314","Coach"
"#00315","Athlete"
"#00316","Manager"
"#00317","Circus"
"#00318","=#00315"
"#00319","Kendo"
"#00320","Ninja"
"#00321","Wrestler"
"#00322","Magnate"
"#00323","Photog"
"#00324","King"
"#00325","Samurai"
"#00326","Lab Work"
"#00327","Swimmer"
"#00328","Contractor"
"#00329","Zoo Keeper"
"#00330","Mascot"
"#00331","Shipper"
"#00332","Average"
"#00333","Serious"
"#00334","Playful"
"#00335","Active"
"#00336","Flirty"
"#00337","Chill"
"#00338","Weird"
"#00339","Leader"
"#00340","Clumsy"
"#00341","Charming"
"#00342","Quiz Contest"
"#00343","Piano Recital"
"#00344","Dog Show"
"#00345","Essay Contest"
"#00346","Choral Contest"
"#00347","Fashion Show"
"#00348","Art Show"
"#00349","Sports Contest"
"#00350","Spelling Bee"
"#00351","Rock Concert"
"#00352","Quilting Bee"
"#00353","Film Festival"
"#00354","Mock UN"
"#00355","Bonsai Contest"
"#00356","Birding Fest"
"#00357","Cook-Off"
"#00358","B-Ball Tourney"
"#00359","Soccer Tourney"
"#00360","Poetry Jam"
"#00361","Science Fair"
"#00362","Review Drill"
"#00363","Sports Drill"
"#00364","Ethics Drill"
"#00365","Indoor Shoes"
"#00366","Club Card"
"#00367","Pheromones"
"#00368","Career Book"
"#00369","Smart Strap"
"#00370","Cupid Arrow"
"#00371","Devil Arrow"
"#00372","Name Book"
"#00373","Use on student|to boost Int."
"#00374","Use on student|to boost Ath."
"#00375","Use on student|to boost Att."
"#00376","Boosts student|movement range."
"#00377","Changes a|student's club."
"#00378","Use on student|to boost Pop."
"#00379","Changes student|Career Path."
"#00380","Greatly boosts|student's Int."
"#00381","Creates a|couple."
"#00382","Breaks up a|couple."
"#00383","Use to change|someone's name."
"#00384","Part-timer"
"#00385","Jr College"
"#00386","College"
"#00387","Ivy League"
"#00388","Tech Inst"
"#00389","S Business"
"#00390","M Business"
"#00391","L Business"
"#00392","Big Corp"
"#00393","UN Work"
"#00394","Politician"
"#00395","CEO"
"#00396","Astronaut"
"#00397","Doctor"
"#00398","Nurse"
"#00399","K Teacher"
"#00400","Fire Chief"
"#00401","Artist"
"#00402","Novelist"
"#00403","Reporter"
"#00404","Designer"
"#00405","Sec Guard"
"#00406","P. Officer"
"#00407","Conductor"
"#00408","Announcer"
"#00409","IT"
"#00410","Game Dev."
"#00411","Translator"
"#00412","Cook"
"#00413","Bus Guide"
"#00414","Journalist"
"#00415","Pro Gamer"
"#00416","Model"
"#00417","Singer"
"#00418","Actor"
"#00419","=#00312"
"#00420","Celebrity"
"#00421","Pop Star"
"#00422","Comedian"
"#00423","Sommelier"
"#00424","Patissier"
"#00425","Florist"
"#00426","Baker"
"#00427","Storyteller"
"#00428","B-Ball Pl."
"#00429","Soccer Pl."
"#00430","Cardmaker"
"#00431","Gambler"
"#00432","Adventurer"
"#00433","Spy"
"#00434","Aristocrat"
"#00435","Oil Baron"
"#00436","Int Design"
"#00437","Vet"
"#00438","Copywriter"
"#00439","Pilot"
"#00440","Director"
"#00441","Wizard"
"#00442","President"
"#00443","Robotics"
"#00444","Notetaking"
"#00445","Farming 101"
"#00446","English Quiz"
"#00447","Math Quiz"
"#00448","Spanish Quiz"
"#00449","Science Quiz"
"#00450","Sociology Quiz"
"#00451","Manners Drill"
"#00452","Speech Drill"
"#00453","Novel Reading"
"#00454","Abacus Drill"
"#00455","Spanish Vocab"
"#00456","Spanish Convo"
"#00457","Ethics Class"
"#00458","War Stories"
"#00459","Science Drill"
"#00460","Video Games"
"#00461","Comedy DVD"
"#00462","Watch Movie"
"#00463","Prof's Lecture"
"#00464","Brain Training"
"#00465","Singing Lsns"
"#00466","Volunteer"
"#00467","Programming"
"#00468","Park Stroll"
"#00469","Haiku Contest"
"#00470","Baseball Cont"
"#00471","Corn Roast"
"#00472","=#00345"
"#00473","Field Study"
"#00474","=#00361"
"#00475","Marathon"
"#00476","Field Trip"
"#00477","Swim Meet"
"#00478","Bingo Contest"
"#00479","Art Festival"
"#00480","Karate Tourney"
"#00481","Computer Fair"
"#00482","Athletic Meet"
"#00483","Choral Comp"
"#00484","School Mixer"
"#00485","=#00347"
"#00486","School Trip"
"#00487","Ski Lesson"
"#00488","Stroll in a nearby park.|An inexpensive activity."
"#00489","Write haiku poetry.|Popular with nerds."
"#00490","Play a series of|baseball games."
"#00491","What's better than a good|old-fashioned corn roast?"
"#00492","Host an essay contest.|Not popular with jocks."
"#00493","Take a trip to|observe and study."
"#00494","Host science projects.|Popular with preppies."
"#00495","Very popular with jocks.|Not so much with others."
"#00496","Get some fresh air|with friends."
"#00497","Only well-equipped|schools can host one."
"#00498","An inexpensive activity|that needs no equipment."
"#00499","Perfect for fall.|Unpopular with jocks."
"#00500","Train your body and mind.|Wax on, wax off..."
"#00501","Learn about computers.|Popular with preppies."
"#00502","Everyone loves this,|especially jocks."
"#00503","Have everyone sing|their hearts out."
"#00504","An event where students|can make new friends."
"#00505","Design unique outfits and|show off on the catwalk."
"#00506","A staple of school life.|Everyone loves them."
"#00507","Bring home memories and|maybe broken bones."
"#00508","English"
"#00509","Spelling"
"#00510","Grammar"
"#00511","Essay Writing"
"#00512","Latin Roots"
"#00513","Math"
"#00514","Basic Math"
"#00515","Algebra"
"#00516","Adv. Algebra"
"#00517","Geometry"
"#00518","Trigonometry"
"#00519","Spanish"
"#00520","Pronunciation"
"#00521","Vocab"
"#00522","Conjugation"
"#00523","Composition"
"#00524","Conversation"
"#00525","Science"
"#00526","Sci Method"
"#00527","Biology"
"#00528","Chemistry"
"#00529","Genetics"
"#00530","Physics"
"#00531","History"
"#00532","US History"
"#00533","European Hist"
"#00534","Asian History"
"#00535","Ancient Rome"
"#00536","Ancient Greece"
"#00537","Agricult."
"#00538","Weeding"
"#00539","Fertilizing"
"#00540","Planting"
"#00541","Harvesting"
"#00542","Biotechnology"
"#00543","PE"
"#00544","Freeze Tag"
"#00545","Sit-Ups"
"#00546","Running Laps"
"#00547","Chin-Ups"
"#00548","=#00475"
"#00549","Comput."
"#00550","Mousing"
"#00551","Keyboarding"
