"@title","English"
"@language","en-US"
"@scale","auto"
"@appli","88 - Do not change"
"@version","1.13 - Do not change"
"@author","Your Name"
"#00000","Flyer Handout"
"#00001","Hand out flyers in the local area."
"#00002","Print Ad"
"#00003","Post an ad in a gaming magazine."
"#00004","Radio Ad"
"#00005","Get your arcade's name out there."
"#00006","Internet Ad"
"#00007","Host an ad on a popular gaming website."
"#00008","TV Commercial"
"#00009","Run a television commercial."
"#00010","Volunteer"
"#00011","Get to know the local community."
"#00012","Community Clean-up"
"#00013","Time to give back to the community."
"#00014","Fire Safety Patrol"
"#00015","Keep an eye out for sparking sockets."
"#00016","Hold a Summer BBQ"
"#00017","Delicious meat and smiles all round."
"#00018","Service Lesson"
"#00019","Learn about the finer points of service."
"#00020","Practice Greetings"
"#00021","Foster friendly service."
"#00022","Wet Wipes"
"#00023","Provide mint-scented, slightly damp cloths."
"#00024","Umbrella Rental"
"#00025","This is very popular on rainy days."
"#00026","Sweets Counter"
"#00027","For those who can't not snack."
"#00028","Tea Service"
"#00029","We all need some tea once in a while."
"#00030","Cushion Rental"
"#00031","Brings soft relief to dedicated gamers."
"#00032","Foreign Language Support"
"#00033","Perhaps more tourists will visit now."
"#00034","Birthday Events"
"#00035","Sing happy birthday to the customers."
"#00036","Free Cloakroom"
"#00037","People can now play games unburdened."
"#00038","Free Play Tickets"
"#00039","One free play on a customer's favorite game."
"#00040","Game Recordings"
"#00041","Customers can record their replays on a CD."
"#00042","Machine Lending"
"#00043","Lend arcade cabinets to events."
"#00044","Lucky Spin"
"#00045","Customers can increase winning chances."
"#00046","Photo Shoot"
"#00047","Commemorative photos with a popular character."
"#00048","Hints and Tips"
"#00049","Give struggling players a helping hand."
"#00050","Recruit Staff"
"#00051","Ensure human resources for success."
"#00052","Expand the Arcade"
"#00053","Extend your arcade"
"#00054","Bingo Night"
"#00055","Hand out bingo cards for prizes."
"#00056","Costume Party"
"#00057","Become your favorite character."
"#00058","Character visit"
"#00059","Customers meet their favourite characters."
"#00060","Quest 4 the Best"
"#00061","Hold an internal tournament."
"#00062","Snow Cones"
"#00063","Cool off with some crushed ice."
"#00064","Summer BBQ"
"#00065","Cookin' burgers in front of the arcade."
"#00066","Pinata Party"
"#00067","Break it open for the yummy prize."
"#00068","Halloween Party"
"#00069","Hand out trick-or-treat candy."
"#00070","Fireworks Show"
"#00071","Elegance in the summer night."
"#00072","Free Hot Soup"
"#00073","A cup of soup warms the soul."
"#00074","Snowball Fight"
"#00075","Put gaming skills to use in real life."
"#00076","Christmas Party"
"#00077","Store manager dresses up as Santa."
"#00078"," Valentine's Party"
"#00079","Eat chocolate while you play."
"#00080","New Year's"
"#00081","The first 100 people get a present."
"#00082","Free Fruit"
"#00083","Enjoy the taste of spring."
"#00084","Park Picnic"
"#00085","Go to the park and enjoy the spring."
"#00086","Back to School"
"#00087","Students get one free play ticket."
"#00088","Easter Egg Hunt"
"#00089","Find the chocolate eggs."
"#00090","Mothers Day"
"#00091","A day for moms everywhere."
"#00092","Kairobot"
"#00093","1&2&3&Power down&Bzzzt"
"#00094","Karate fighter"
"#00095","Hya!&Hyuh!&Hyaaar!&Taste my fist!&Aaargh!"
"#00096","Assistant"
"#00097","Ya!&Yaa!&Yaaah!&I'm sorry...&Eep!"
"#00098","Fighting woman"
"#00099","Hya&Yah&Tcha!&Kick!&Uh!"
"#00100","Rabbit"
"#00101","Boing&Boing&Boing&Uppercut!&Squeak"
"#00102","Dragon"
"#00103","Grrr&Grargh&Groooaaar!&RAWR!&Grugh..."
"#00104","Ninja"
"#00105","Shhh...&Ya!&Stabby!&Ninja skills!&Silently..."
"#00106","UFO ambassador"
"#00107","Flim!&Flam!&Oooooo...&BOOGLE!&Myoon!"
"#00108","Soldier"
"#00109","Hup&Hyup&Take that!&At ease!&Uuugh!"
"#00110","Your advertisement has brought in some more customers!"
"#00111","Some of your customers have been stolen by a rival arcade..."
"#00112","Your customers have returned from a rival arcade!"
"#00113","<0> complete!"
"#00114","<0> clear!"
"#00115","<0> has started, all round satisfaction increased!"
"#00116","<0> has ranked up!<br>Everybody is delighted!"
"#00117","Your questing is making your town more popular!"
"#00118","Abandoning your quest has disappointed adventurers everywhere."
"#00119","<0> has become a hot topic among adventurers."
"#00120","It was close, but victory goes to the opponent...<br>Let's improve our gaming skill and try again..."
"#00121","Congratulations! You've won the tournament and your arcade's Fame has risen by <0>!"
"#00122","Thanks to your amazing service, the Fame of your arcade has risen by <1>!"
"#00123","Congratulations! You got a new high score!"
"#00124","<0><br>complete!"
"#00125","The arcade has been expanded!"
"#00126","Child"
"#00127","Student"
"#00128","Youth"
"#00129","Adult"
"#00130","Senior"
"#00131","Tourist"
"#00132","School Boy"
"#00133","Local Bully&Soccer Boy&Magician"
"#00134","Boy Genius"
"#00135","Toddler&Bug Catcher&Wunderkind"
"#00136","Philomath"
"#00137","Scion&Mathlete&Menace"
"#00138","Chess Champ"
"#00139","Railway Geek&Club Leader&Exam-worrier"
"#00140","Troublemaker"
"#00141","Preppy Kid&Ringleader&Shy boy"
"#00142","High Schooler"
"#00143","Local Boy&Popular Kid&Quarterback"
"#00144","Graduate"
"#00145","Boy racer&Zoo keeper&French Tutor"
"#00146","Fashionista"
"#00147","Barista&Club DJ&Gemologist"
"#00148","Rock Star"
"#00149","Metalhead&Roadie&Pyro"
"#00150","Baker"
"#00151","Jockey&Director&Cameraman"
"#00152","Superhero"
"#00153","Part-timer&Movie extra&Park ranger"
"#00154","Investor"
"#00155","Entrepreneur&Journalist&Chess player"
"#00156","IT Executive"
"#00157","Bank clerk&Stock trader&Gentleman"
"#00158","Comedian"
"#00159","Employee&Craftsman&Mechanic"
"#00160","Maitre d'"
"#00161","Lyricist&Producer&Jazz Singer"
"#00162","Site Foreman"
"#00163","Manager&Foreman&Electrician"
"#00164","Croquet Star"
"#00165","Principal&Buddhist&Veg Musician"
"#00166","Imports King"
"#00167","Councillor&Stand-up&Landscaper"
"#00168","Pro Gamer"
"#00169","OG Gamer&Taxi Driver&Reporter"
"#00170","Yacht Pilot"
"#00171","Kairobot"
"#00172","Chimpan Z"
"#00173","Oil Tycoon"
"#00174","Preschooler"
"#00175","1st Grader&Jump Roper&Bob Cut Girl"
"#00176","Preschooler"
"#00177","Child Actor&Princess&Yo-yo Fan"
"#00178","Tomboy"
"#00179","Naughty Kid&Cheerful Kid&Local Kid"
"#00180","Secretary"
"#00181","Cyclist&Country Kid&Kind Student"
"#00182","Class Diva"
"#00183","Sophomore&Exchange Kid&It-Girl"
"#00184","Server"
"#00185","Usher&Anime Fan&Girly Girl"
"#00186","Maid"
"#00187","Announcer&Hairdresser&Impersonator"
"#00188","Model"
"#00189","Waitress&Beautician&Manicurist"
"#00190","Sculptor"
"#00191","Writer&Organist&Copywriter"
"#00192","Pro Bowler"
"#00193","Instructor&Tennis Star&Cleaner"
"#00194","Urban Woman"
"#00195","Vlogger&Shopaholic&City Worker"
"#00196","Newlywed"
"#00197","Food Critic&Florist&Gourmande"
"#00198","Juggler"
"#00199","Supermom&Hairdresser&Saleswoman"
"#00200","Editor"
"#00201","High-flyer&Anchorwoman&Translator"
"#00202","Landlady"
"#00203","Chocolatier&Masseuse&UN Staffer"
"#00204","Artist"
"#00205","Madame&Narrator&Master Chef"
"#00206","Fashion Fan"
"#00207","Cartoonist&Tea Taster&Draper"
"#00208","Tourist"
"#00209","Spy"
"#00210","Space Star"
"#00211","Sally Prin"
"#00212","Avery Mann"
"#00213","Joe Dork"
"#00214","Julie Oom"
"#00215","Dan Cho"
"#00216","Sam Flim"
"#00217","Jimmy Goto"
"#00218","Mike Grouch"
"#00219","Jon Flathuit"
"#00220","Natasha Jade"
"#00221","Rory Falcon"
"#00222","Oli Droplet"
"#00223","Jun Chixi"
"#00224","Ria Pinello"
"#00225","Shelly Boman"
"#00226","Pinky Moss"
"#00227","Belle O Ball"
"#00228","Lizzy Forest"
"#00229","Brick Irons"
"#00230","Carrie Starr"
"#00231","Ivy Park"
"#00232","Eirlys Snow"
"#00233","Mimi Little"
"#00234","Barb Eecue"
"#00235","Renee Sonce"
"#00236","Passerby"
"#00237","Platformer"
"#00238","Shooting"
"#00239","Quiz"
"#00240","Fighter"
"#00241","Puzzle"
"#00242","Pinball"
"#00243","Guessing"
"#00244","Board"
"#00245","Light Gun"
"#00246","Sports"
"#00247","Retro"
"#00248","Airplane"
"#00249","3D Fighting"
"#00250","Vintage"
"#00251","Rhythm"
"#00252","Racing"
"#00253","Shooting Sim"
"#00254","Train"
"#00255","Toy Car"
"#00256","Toy Plane"
"#00257","Light Sword"
"#00258","Ray Gun"
"#00259","Utility Belt"
"#00260","Magic Wand"
"#00261","Key Chain"
"#00262","Cushion"
"#00263","Phone Strap"
"#00264","Bath Towel"
"#00265","Mug"
"#00266","Special Mic"
"#00267","Gold Bar"
"#00268","Hard Candy"
"#00269","Chewing Gum"
"#00270","Ice Cream"
"#00271","Bitter Coffee"
"#00272","Popcorn"
"#00273","Strategy Guide"
"#00274","Poster"
"#00275","Figurine"
"#00276","Plushie"
"#00277","Controller"
"#00278","Trophy"
"#00279","Loyalty Card Chip"
"#00280","Vs. Game Chip"
"#00281","Save Func. Chip"
"#00282","3D Image Chip"
"#00283","Hi-Spec. AI Chip"
"#00284","Local NTWK Chip"
"#00285","Co-op Chip"
"#00286","Link Play Chip"
"#00287","Ackbar Chip"
"#00288","Bearington Chip"
"#00289","Chimpan Chip"
"#00290","Kairobot Chip"
"#00291","Prin Chip"
"#00292","Ryuichiro Pin"
"#00293","Chunchun Pin"
"#00294","Bun-chan Pin"
"#00295","Speedy Pin"
"#00296","Ninja Pin"
"#00297","Mochi-pon Pin"
"#00298","Assistant Pin"
"#00299","Dragon Pin"
"#00300","Ryuichiro Doll"
"#00301","Chunchun Doll"
"#00302","Bun-chan Doll"
"#00303","Speedy Doll"
"#00304","Ninja Doll"
"#00305","Mochi-pon Doll"
"#00306","Assistant Doll"
"#00307","Dragon Doll"
"#00308","Kairobot Doll"
"#00309","Deluxe Plushie"
"#00310","Noodle Bowl"
"#00311","Wind-up Doll"
"#00312","Elegant Cup"
"#00313","Slimy Slime"
"#00314","Wind-up Robot"
"#00315","Special Drink"
"#00316","Blue Uniform"
"#00317","Purple Uniform"
"#00318","Yellow Uniform"
"#00319","Green Uniform"
"#00320","Red Uniform"
"#00321","Black Uniform"
"#00322","Onesie"
"#00323","Themed Area Hint 1"
"#00324","Themed Area Hint 2"
"#00325","Themed Area Hint 3"
"#00326","Themed Area Hint 4"
"#00327","Themed Area Hint 5"
"#00328","Themed Area Hint 6"
"#00329","Themed Area Hint 7"
"#00330","Themed Area Hint 8"
"#00331","Themed Area Hint 9"
"#00332","Themed Area Hint 10"
"#00333","Themed Area Hint 11"
"#00334","Themed Area Hint 12"
"#00335","Themed Area Hint 13"
"#00336","Themed Area Hint 14"
"#00337","Themed Area Hint 15"
"#00338","Themed Area Hint 16"
"#00339","Themed Area Hint 17"
"#00340","Themed Area Hint 18"
"#00341","Themed Area Hint 19"
"#00342","Themed Area Hint 20"
"#00343","Themed Area Hint 21"
"#00344","Themed Area Hint 22"
"#00345","Themed Area Hint 23"
"#00346","Themed Area Hint 24"
"#00347","Themed Area Hint 25"
"#00348","<co=0066cc>Pocket Arcade Story</co><br>This is an arcade management simulation game.<br>Satisfy customers by installing game machines and providing services through campaigns, and aim to become a 5-star arcade that everyone wants to check out!"
,"▼Gameplay<br>Install game machines to attract customers.<br>Increase the customers' gaming skills with mixers and tournaments, and become the ultimate fighting game champion!"
,"▼Customer Behavior<br>Customers will gather around popular games, and the higher their skill the more money they will spend in your arcade. Install things like vending machines and benches to get customers to stay in your arcade longer."
,"▼Customer Skills 1<br>・Gaming<br>This affects how long a customer will play the games. It also effects how well they do in tournaments. This will increase as they level up and through mixers."
,"▼Customer Skills 2<br>・Intelligence<br>This affects how long a customer will play quiz or brain games. The higher their intelligence, the longer they will play. This can be increased through seasonal events or mixers."
,"▼Customer Skills 3<br>・Enthusiasm<br>This affects how long a customer will stay in your arcade. If its level is high, they will get a free continue.<br>This increases when a customer is in a pleasant area, or uses facilities like vending machines or benches."
,"▼Customer Skills 4<br>・Luck<br>The higher a customer's luck, the more they will play token games and the longer they will play them for."
,"▼Customer Skills 5<br>・Cost<br>This affects how much a customer is willing to spend on a single play of a game. This will increase as a customer levels up or makes more friends."
,"▼Friends 1<br>Customers participating in mixers and other social events will become friends with each other if their satisfaction levels are high enough.<br>This increases their ""Cost"" skill."
,"▼Friends 2<br>Also, as a customer gains more friends, they may give you cool presents such as items and installations."
," ▼Staff Skills<br>・Serving<br>Affects how many heart-shaped Sat. Pt. they earn when greeting customers.<br>・Cleaning<br>A high cleaning skill will earn more Dev. Pt. when they perform maintenance on game machines."
,"▼Game Machines 1<br>・Fun<br>This affects how long a customer will play on a machine, and the number of continues they will use. It also affects the number of heart-shaped satisfaction points you earn when they finish."
,"▼Game Machines 2<br>・Difficulty<br>Customers will earn more experience points and level up faster on a challenging game. You can change the difficulty level in each game machine's settings menu."
,"▼Game Machines 3<br>・Appeal<br>Customers will gather around the machines with higher appeal.<br>Different game machines will appeal to different ages and genders."
,"▼Game Machines 4<br>・Development Points (Dev. Pt.)<br>Game machines accumulate development points for their genre. e.g. ""Action,"" ""Shooting"" etc.<br>These points are needed to develop original games."
,"▼Game Machines 5<br>・Electricity Fee 1<br>You have to pay monthly electricity fees for every game machine you install.<br>When game machines are gathered together, their electricity fees increase."
,"・Electricity Fee 2<br>Game machines in a ""themed area"" will have lower monthly electricity fees.<br>This effect will stack, so try to overlap themed areas for the biggest discounts."
,"▼Themed Areas<br>Compatible game machines placed near each other will make a themed area.<br>Themed areas increase the appeal and cost of games within them."
,"▼Mixers<br>Mixers are parties where customers can meet up and play games together.<br>They are useful for earning development points, and for getting customers to become friends."
,"▼Original Game Development<br>Once you obtain a game dev kit, you can create original games for your arcade.<br>The more development points you have, the more items you can use when creating your games."
,"▼Items<br>Items can be used as prizes in a crane game, and will change the cost and difficulty of the game.<br>When developing a game, items can be used to adjust which age groups a game is popular with, along with other qualities."
,"▼Token Games<br>These games use tokens. Some customers will play this type of game for a very long time.<br>Your customers cannot play token games if you don't have a Token Machine in your arcade."
,"▼Hi-Score Challenges<br>The hi-score challenges are separated by genre.<br>If you beat a hi-score challenge, the cost to play games of that genre will increase."
