"@title","English"
"@language","en-US"
"@scale","auto"
"@appli","103 - Do not change"
"@version","2.08 - Do not change"
"@author","Your Name"
"#00000","Starter Farm"
"#00001","Compact Farm"
"#00002","Medium Farm"
"#00003","XL Farm"
"#00004","Giant Farm"
"#00005","Ultra Farm"
"#00006","Advisor"
"#00007","Consultant"
"#00008","Shipment Ranker"
"#00009","Veggie Ranker"
"#00010","Tourism Ranker"
"#00011","Emcee"
"#00012","Tour Guide"
"#00013","Contest Assn. Head"
"#00014","Landlord"
"#00015","Researcher"
"#00016","Weather Lady"
"#00017","Deli Staff"
"#00018","Juice Shop Staff"
"#00019","Sweet Shop Staff"
"#00020","Parlor Staff"
"#00021","Cafe Staff"
"#00022","Restaurant Staff"
"#00023","Jam Shop Staff"
"#00024","Rice Baller"
"#00025","Mushroomer"
"#00026","Energy Lab Tech"
"#00027","Jimmy"
"#00028","Peggy"
"#00029","Arnold"
"#00030","Amy"
"#00031","Sophie"
"#00032","Vernona"
"#00033","Pierre"
"#00034","Meg"
"#00035","Vern"
"#00036","Billy Jean"
"#00037","Micky"
"#00038","Yan"
"#00039","Bootsie"
"#00040","Reese"
"#00041","Ollie"
"#00042","Potsie"
"#00043","Nana"
"#00044","Ken"
"#00045","Chris"
"#00046","Missy"
"#00047","Teddy"
"#00048","Betsy"
"#00049","Constance"
"#00050","Velva"
"#00051","Male Tween"
"#00052","Ankle Biter"
"#00053","Fencer"
"#00054","Boy Scout"
"#00055","Cup & Ball Kid"
"#00056","Class Prez"
"#00057","Female Teen"
"#00058","Preschooler"
"#00059","Girl Scout"
"#00060","Child Actor"
"#00061","Female Tween"
"#00062","Mimiko"
"#00063","Anime Artist"
"#00064","Freelancer"
"#00065","Stew Seller"
"#00066","Event Staff"
"#00067","Company Prez"
"#00068","Graphic Artist"
"#00069","Explorer"
"#00070","Panda"
"#00071","Trade Student"
"#00072","Apparel Seller"
"#00073","Nursery Worker"
"#00074","Santa's Helper"
"#00075","Booth Babe"
"#00076","Pianist"
"#00077","Pop Singer"
"#00078","Poet"
"#00079","Film Critic"
"#00080","Sushi Chef"
"#00081","King Ackbar"
"#00082","Nice Gangster"
"#00083","Luchador"
"#00084","Bearington"
"#00085","Ninja Student"
"#00086","Spooky Ghost"
"#00087","Health Teacher"
"#00088","Part-timer"
"#00089","Housewife"
"#00090","Dentist"
"#00091","Saleswoman"
"#00092","Head Nurse"
"#00093","Carpenter"
"#00094","Gardener"
"#00095","King"
"#00096","Comedian"
"#00097","Inn Hostess"
"#00098","Snack Seller"
"#00099","Noodle Chef"
"#00100","Rich Lady"
"#00101","Cow"
"#00102","Chicken"
"#00103","Pig"
"#00104","Kairobot"
"#00105","Sally Prin"
"#00106","Chimpan Z"
"#00107","Alpaca"
"#00108","Sheep"
"#00109","Capybara"
"#00110","Bug"
"#00111","Hiker"
"#00112","Eye Doctor"
"#00113","Adventurer"
"#00114","Potter"
"#00115","Weaver"
"#00116","Gardenist"
"#00117","Dairyman"
"#00118","Genius Artist"
"#00119","Butcher"
"#00120","Balloon Artist"
"#00121","Fortuneteller"
"#00122","Almanac Head"
"#00123","Watering Robot"
"#00124","Weeding Robot"
"#00125","Seeding Robot"
"#00126","Harvest Robot"
"#00131","Path"
"#00132","River"
"#00142","House"
"#00143","A worker's house."
"#00144","Robot House"
"#00145","A secret robot control base.<br>Sends out radio waves."
"#00146","Carrot Field"
"#00147","Grows carrots."
"#00148","Tomato Field"
"#00149","Grows tomatoes."
"#00150","Potato Field"
"#00151","Grows potatoes."
"#00152","Onion Field"
"#00153","Grows onions."
"#00154","Cucumber Field"
"#00155","Grows cucumbers."
"#00156","Radish Field"
"#00157","Grows daikon radishes."
"#00158","Ch. Tomato Field"
"#00159","Grows cherry tomatoes."
"#00160","Lettuce Field"
"#00161","Grows lettuce."
"#00162","Wheat Field"
"#00163","Grows wheat."
"#00164","Bean Field"
"#00165","Grows green beans."
"#00166","Sw. Potato Field"
"#00167","Grows sweet potatoes."
"#00168","Cabbage Field"
"#00169","Grows cabbage."
"#00170","Gr. Onion Field"
"#00171","Grows green onions."
"#00172","Corn Field"
"#00173","Grows corn."
"#00174","Pepper Field"
"#00175","Grows green peppers."
"#00176","Eggplant Field"
"#00177","Grows eggplants."
"#00178","Strawberry Field"
"#00179","Grows strawberries."
"#00180","Blueberry Field"
"#00181","Grows blueberries."
"#00182","Watermelon Field"
"#00183","Grows watermelons."
"#00184","Melon Field"
"#00185","Grows melons."
"#00186","Orange Field"
"#00187","Grows oranges."
"#00188","Apple Field"
"#00189","Grows apples."
"#00190","Grapefruit Field"
"#00191","Grows grapefruit."
"#00192","Pear Field"
"#00193","Grows pears."
"#00194","Grape Field"
"#00195","Grows grapes."
"#00196","Peach Field"
"#00197","Grows peaches."
"#00198","Chestnut Field"
"#00199","Grows chestnuts."
"#00200","Banana Field"
"#00201","Grows bananas."
"#00202","Coconut Field"
"#00203","Grows coconuts."
"#00204","Dragonfruit Field"
"#00205","Grows dragonfruit."
"#00206","Chicken Coop"
"#00207","Raises chickens."
"#00208","Pigsty"
"#00209","Raises pigs."
"#00210","Cow Hut"
"#00211","Raises cows."
"#00212","Sheep Hut"
"#00213","Raises sheep."
"#00214","Alpaca Hut"
"#00215","Raises alpacas."
"#00216","Capybara Hut"
"#00217","Raises capybaras."
"#00218","Chimp Hut"
"#00219","Raises Chimpan Zs."
"#00220","Kairobot Hut"
"#00221","Raises Kairobots."
"#00222","Sally Prin Hut"
"#00223","Raises Sally Prins."
"#00224","Bio Lab"
"#00225","Uses biotechnology to extract components from fields in 4 surrounding squares."
"#00226","Bridge"
"#00227","Lets you cross a river."
"#00228","Greenhouse"
"#00229","Surrounding fields can be <br>harvested year round."
"#00230","Sprinklers"
"#00231","Irrigate nearby fields via a water pipe."
"#00232","Drainage Pump"
"#00233","Gets rid of excess moisture."
"#00234","Scarecrow"
"#00235","Boosts <co=0000ff>harvest amount</co> in nearby fields."
"#00236","Flower Field"
"#00237","Boosts field <co=0000ff>fertility</co> and facility <co=0000ff>appeal</co>."
"#00238","Well"
"#00239","Uses underground water to boost <co=0000ff>moisture</co> in nearby fields."
"#00240","Unmanned Shop"
"#00241","Sells veggies to tourists."
"#00242","Jizo Statues"
"#00243","Boost motivation to work."
"#00244","Photo Panels"
"#00245","Stick your head in and say cheese."
"#00246","Botanical Garden"
"#00247","View rare plants of the world."
"#00248","Fruit Shop"
"#00249","A shop with a fruity aroma."
"#00250","Gift Shop"
"#00251","Sells local souvenirs."
"#00252","Rest Area"
"#00253","Tourists can rest here."
"#00254","Bird Blind"
"#00255","View wild birds outside."
"#00256","Campground"
"#00257","Experience living in nature."
"#00258","Potter's Hut"
"#00259","Learn from a master potter."
"#00260","=#00115"
"#00261","Sells incredibly soft woven goods."
"#00262","Pancake Shop"
"#00263","Sells fish-shaped pancakes."
"#00264","Garden Shop"
"#00265","Popular among the green-thumbed."
"#00266","Smokehouse"
"#00267","Makes yummy bacon and ham."
"#00268","Fountain"
"#00269","Produces relaxing negative ions."
"#00270","Silo"
"#00271","Positively affects nearby livestock."
"#00272","Milk Tank"
"#00273","Have a glass of fresh milk."
"#00274","Windmill"
"#00275","Produces renewable energy."
"#00276","Cottage"
"#00277","A charming wooden building."
"#00278","Shrine"
"#00279","Holds daily bingo games."
"#00280","Barbecue Pit"
"#00281","Enjoy piping hot BBQ."
"#00282","Tower"
"#00283","Has a popular observation deck."
"#00284","Balloon Platform"
"#00285","Ride in a hot air balloon."
"#00286","Burial Mound"
"#00287","Looks like a hill from nearby."
"#00288","Observatory"
"#00289","View the Milky Way."
"#00290","Lake"
"#00291","The swan paddle boats are popular."
"#00292","Cave"
"#00293","A slightly mysterious cave..."
"#00294","Hot Springs"
"#00295","Has plenty of hot water."
"#00296","Golf Green"
"#00297","Golf in the heart of nature."
"#00298","Athletic Ground"
"#00299","Ninja exams are held on Sundays."
"#00300","Kintaro Statue"
"#00301","Smiles charmingly."
"#00302","Juice Shop"
"#00303","Sells freshly squeezed juice."
"#00304","Deli"
"#00305","Sells food that's almost homemade."
"#00306","Rice Ball Shop"
"#00307","Sells rice balls with many fillings."
"#00308","Restaurant"
"#00309","A casual cafeteria-style restaurant."
"#00310","Ice Cream Parlor"
"#00311","Always uses fresh cream."
"#00312","Cafe"
"#00313","Relax with a coffee."
"#00314","Jam Shop"
"#00315","Makes yummy jams and jellies."
"#00316","Mushroom House"
"#00317","Learning about fungi is fun, guy!"
"#00318","Sweet Shop"
"#00319","Sells sweets made from fresh fruit."
"#00320","Energy Lab"
"#00321","Researches next-gen energy."
"#00322","Cherry Trees"
"#00323","Boost <co=0000ff>appeal</co> of nearby facilities.<br>Boost field <co=0000ff>harvest</co> in spring."
"#00324","Sunflowers"
"#00325","Boost <co=0000ff>appeal</co> of nearby facilities.<br>Boost field <co=0000ff>harvest</co> in summer."
"#00326","Pine Trees"
"#00327","Boost <co=0000ff>appeal</co> of nearby facilities.<br>Boost field <co=0000ff>harvest</co> in fall."
"#00328","Bamboo"
"#00329","Boosts <co=0000ff>appeal</co> of nearby facilities.<br>Boosts field <co=0000ff>harvest</co> in winter."
"#00330","Forest"
"#00331","Boosts <co=0000ff>fertility</co> of nearby fields.<br>Boosts <co=0000ff>appeal</co> of nearby facilities."
"#00332","Hill"
"#00333","A small stretch of elevated land.<br>Boosts <co=0000ff>fertility</co> of nearby fields<br>and <co=0000ff>appeal</co> of nearby facilities."
"#00334","Mountain"
"#00335","A small mountain range.<br>Boosts <co=0000ff>fertility</co> of nearby fields<br>and <co=0000ff>appeal</co> of nearby facilities."
"#00340","Dumplings"
"#00341","Straw Hats"
"#00342","Baby Bibs"
"#00343","Fresh Eggs"
"#00344","Odd Veggies"
"#00345","Daikons"
"#00346","Photos"
"#00347","Medals"
"#00348","Costumes"
"#00349","Keychains"
"#00350","Wood Sword"
"#00351","Pennants"
"#00352","Dried Flower"
"#00353","Soap"
"#00354","Perfume"
"#00355","Tents"
"#00356","Bed Rolls"
"#00357","Kayaks"
"#00358","Dried Fruit"
"#00359","Cut Fruit"
"#00360","Vitamins"
"#00361","Long Boots"
"#00362","Shovels"
"#00363","Pruning Shears"
"#00364","Guide Maps"
"#00365","Coffee Can"
"#00366","Cushions"
"#00367","Milk"
"#00368","Cheese"
"#00369","Butter"
"#00370","Fried Chicken"
"#00371","Bacon"
"#00372","Beef Bowls"
"#00373","Animal Feed"
"#00374","Cheesecake"
"#00375","Dice"
"#00376","Soda Pop"
"#00377","Merlion Idol"
"#00378","Boy Statues"
"#00379","Observer Book"
"#00380","Telescopes"
"#00381","Bird Whistle"
"#00382","Potter's Wheels"
"#00383","Flower Vases"
"#00384","Glaze"
"#00385","Drawstring Bag"
"#00386","Cloth"
"#00387","Silk Shorts"
"#00388","Pillows"
"#00389","Blankets"
"#00390","Playing Cards"
"#00391","Wooden Clogs"
"#00392","Tulips"
"#00393","Windmills"
"#00394","Fortunes"
"#00395","Wood Plaques"
"#00396","Sacred Arrows"
"#00397","Anko"
"#00398","Cream"
"#00399","Hit CDs"
"#00400","Meat Sauce"
"#00401","Spare Ribs"
"#00402","BBQ Sauce"
"#00403","Hot Spring Eggs"
"#00404","Rags"
"#00405","Bath Salts"
"#00406","Clay Dolls"
"#00407","Haniwa Dolls"
"#00408","Mirrors"
"#00409","Carp Food"
"#00410","Skates"
"#00411","Fish Prints"
"#00412","Golf Balls"
"#00413","Golf Clubs"
"#00414","Signed Balls"
"#00415","Thermoses"
"#00416","Track Shoes"
"#00417","Bandages"
"#00418","Balloons"
"#00419","Pano Photos"
"#00420","Postcards"
"#00421","Flashlights"
"#00422","Emergency Food"
"#00423","Stalactites"
"#00424","Star Cookies"
"#00425","Myth Books"
"#00426","Astrology Kits"
"#00427","Models"
"#00428","Tower Cakes"
"#00429","T-shirts"
"#00430","Mixed Juice"
"#00431","Veggie Juice"
"#00432","Green Juice"
"#00433","Croquettes"
"#00434","Bento Boxes"
"#00435","Deluxe Lunches"
"#00436","Plum Balls"
"#00437","Salmon Balls"
"#00438","Pickles"
"#00439","Sorbet"
"#00440","Ice Pops"
"#00441","Soft Ice Cream"
"#00442","Rice Omelets"
"#00443","Beef Stew"
"#00444","Chopped Steak"
"#00445","Espresso"
"#00446","Sandwiches"
"#00447","Coffee Refills"
"#00448","Red Jelly"
"#00449","Sparkling Jam"
"#00450","Preserves"
"#00451","Fungi Hats"
"#00452","Fungi Bags"
"#00453","Fungi Drinks"
"#00454","Cakes"
"#00455","Crepes"
"#00456","Fruit Tarts"
"#00457","Beakers"
"#00458","Flasks"
"#00459","DNA Kits"
"#00460","Kintaro Statue 1"
"#00461","=MID(#00460,1,-1)&'2'"
"#00462","=MID(#00460,1,-1)&'3'"
"#00472","Country Combo"
"#00473","<co=0000cc>Powers up nearby fields.<br>Appearance +5%, Vitamins +0.5"
"#00474","Dairy Combo"
"#00475","<co=0000cc>Powers up nearby fields.<br>Taste +5%, Fruitiness +0.5"
"#00476","Sweaty Combo"
"#00477","<co=0000cc>Powers up nearby facilities.<br>Fee +<co=ff0000>200G"
"#00478","Junk Food Combo"
"#00479","<co=0000cc>Powers up nearby facilities.<br>Popularity +3"
"#00480","Camp Combo"
"#00481","<co=0000cc>Powers up nearby fields.<br>Aroma +5%, Starch +0.5"
"#00482","Eco Combo"
"#00483","Powers up nearby facilities.<br>Fee +200G"
"#00484","Tourism Combo"
"#00485","Powers up nearby facilities.<br>Popularity +3"
"#00486","Nature Combo"
"#00487","<co=0000cc>Powers up nearby fields.<br>Appearance +5%, Greens +0.5"
"#00488","Sky High Combo"
"#00489","Break Combo"
"#00490","<co=0000cc>Powers up nearby fields.<br>Texture +5%, Medicine +0.5"
"#00491","Galaxy Combo"
"#00492","<co=0000cc>Powers up nearby facilities.<br>Popularity +3, Fee +100G"
"#00493","Floral Combo"
"#00494","<co=0000cc>Powers up nearby fields.<br>Aroma +5%, Fruitiness +0.5"
"#00495","Fungi Combo"
"#00496","<co=0000cc>Powers up nearby fields.<br>Aroma +5%, Taste +0.5"
"#00497","Craft Combo"
"#00498","Powers up nearby facilities.<br>Popularity +3, Fee +100G"
"#00499","Jam Combo"
"#00500","<co=0000cc>Powers up nearby fields.<br>Aroma +5%, Juice +0.5"
"#00501","Prayer Combo"
"#00502","<co=0000cc>Powers up nearby facilities.<br>Appeal +3"
"#00503","Travel Combo"
"#00504","Squeezed Combo"
