"@title","English"
"@language","en-US"
"@scale","auto"
"@appli","129 - Do not change"
"@version","1.25 - Do not change"
"@author","Your Name"
"#00000","Teenager"
"#00001","Masked Hero"
"#00002","Hard-Boiled"
"#00003","Performer"
"#00004","Hair Stylist"
"#00005","Doctor"
"#00006","Buddhist Priest"
"#00007","Seniors"
"#00008","Rogue"
"#00009","Gourmet"
"#00010","Farmer"
"#00011","Emcee"
"#00012","Baseball Fan"
"#00013","Military Buff"
"#00014","Sporty Type"
"#00015","Criminal"
"#00016","Winged"
"#00017","Strongman"
"#00018","Comedian"
"#00019","Period Drama"
"#00020","Pilot"
"#00021","Site Foreman"
"#00022","Greaser"
"#00023","Hoodie"
"#00024","Superhero"
"#00025","Kid"
"#00026","Zombie"
"#00027","Robot"
"#00028","Animals"
"#00029","Dinosaurs"
"#00030","Knights"
"#00031","Intellectual"
"#00032","Fisherman"
"#00033","Police Officer"
"#00034","Detective"
"#00035","Cameraman"
"#00036","Bandana"
"#00037","Skeleton"
"#00038","Alien"
"#00039","Movie Star"
"#00040","Military"
"#00041","Heroes"
"#00042","Bodybuilder"
"#00043","Pyramid"
"#00044","Pirates"
"#00045","Monster"
"#00046","Kairobot"
"#00047","Model"
"#00048","Amateur"
"#00049","Sweet Voice"
"#00050","Rookie"
"#00051","Amateur Model"
"#00052","Heroine"
"#00053","Voice Actor"
"#00054","Teen Celeb"
"#00055","Amature"
"#00056","Expatriate"
"#00057","Clown"
"#00058","Housewives' Hero"
"#00059","Cowgirl"
"#00060","Ex-Pop Star"
"#00061","Girl"
"#00062","Painter"
"#00063","Space"
"#00064","Wizard"
"#00065","Student"
"#00066","Maid"
"#00067","Angel"
"#00068","Princess"
"#00069","Folksy"
"#00070","Newlywed"
"#00071","Singer"
"#00072","Diva"
"#00073","Mermaid"
"#00074","=#00052"
"#00075","Kappa"
"#00076","Ham"
"#00077","Mood-Maker"
"#00078","Era Fan"
"#00079","Stoic"
"#00080","Pop. Performer"
"#00081","Neatnik"
"#00082","=#00018"
"#00083","Powerlifter"
"#00084","Cheery"
"#00085","Hat"
"#00086","Fabulous"
"#00087","Helmet"
"#00088","Tennis"
"#00089","Swimming"
"#00090","Cheeky"
"#00091","Heavy-Weight"
"#00092","Funny"
"#00093","Samurai"
"#00094","Security Guard"
"#00095","Carpenter"
"#00096","Vocalist"
"#00097","Rapper"
"#00098","Junior Student"
"#00099","Sluggard"
"#00100","Rat"
"#00101","Biped"
"#00102","Armor"
"#00103","Ex-Racer"
"#00104","Bearded"
"#00105","Soccer Player"
"#00106","Tanuki"
"#00107","Squid"
"#00108","Panda"
"#00109","Security"
"#00110","Dancer"
"#00111","Scary"
"#00112","Octopus"
"#00113","Tights"
"#00114","Expedition"
"#00115","Red"
"#00116","Ancient"
"#00117","Captain"
"#00118","Creature"
"#00119","Pig"
"#00120","Robots"
"#00121","Veteran"
"#00122","Pop Star"
"#00123","Streamer"
"#00124","Tailor"
"#00125","Active"
"#00126","Connoisseur"
"#00127","Theater Actor"
"#00128","Long Hair"
"#00129","Comical"
"#00130","TV Personality"
"#00131","Wild"
"#00132","Cat"
"#00133","Reassuring"
"#00134","Axolotl"
"#00135","Ribbon"
"#00136","Thick Clothes"
"#00137","Braid"
"#00138","Tomboy"
"#00139","Souvenir Seller"
"#00140","Bell"
"#00141","Bestseller"
"#00142","Wooden Actor"
"#00143","CM Queen"
"#00144","Penguin"
"#00145","Green"
"#00146","Year End"
"#00147","Best Screenplay Award"
"#00148","Best Cinematography Award"
"#00149","Best Music Score Award"
"#00150","Best Visual Effects Award"
"#00151","Best Film Editing Award"
"#00152","Best Supporting Actress Award"
"#00153","Best Supporting Actor Award"
"#00154","Best Lead Actress Award"
"#00155","Best Lead Actor Award"
"#00156","Best Movie Direction Award"
"#00157","Best Movie Award"
"#00158","Head Office"
"#00159","Your HQ."
"#00160","Filming Studio"
"#00161","Can't make movies without one."
"#00162","Spa"
"#00163","For the staff to enjoy. Makes auras easier to trigger."
"#00164","Gift Shop"
"#00165","Sells movie merchandise to visitors."
"#00166","Agency Office"
"#00167","Agents find you actors and make deals with movie theaters."
"#00168","CG Studio"
"#00169","Adds more Tech to your movies."
"#00170","Music Studio"
"#00171","For better Music in your movies."
"#00172","Acting Classroom"
"#00173","Mainly for your actors. Improves the Acting in your movies."
"#00174","Restaurant"
"#00175","Visitors can spend money on some nice food."
"#00176","Technical School"
"#00177","Raising Tech may attract more applicants."
"#00178","Staff Housing"
"#00179","Gym"
"#00180","Resort Hotel"
"#00181","Capitalize on the visitors who come to see your sets."
"#00182","Mini Amusement Park"
"#00183","Themed after your movies. Source of revenue from visitors."
"#00184","Park"
"#00185","Swimming Pool"
"#00186","Sports Grounds"
"#00187","Museum"
"#00188","All about your movies. Source of revenue from visitors."
"#00189","Log House"
"#00190","John Correy"
"#00191","Studying impersonations."
"#00192","I'm an actor, actually. Let me know if you have any jobs."
"#00193","I'll do what I can to make your film a success!"
"#00194","Steph Ridges"
"#00195","I'm partial to all things sweet."
"#00196","The more venues you show your movies at, the more people will see them."
"#00197","Carl Taplin"
"#00198","I conceal various items under my hat."
"#00199","Takusuke Komura"
"#00200","Really into green tea lately."
"#00201","The first 5 roles of contracted actors cost you nothing extra."
"#00202","Harry Bigwig"
"#00203","My childhood dream was to morph into cotton candy."
"#00204","Let's make blockbusters together!"
"#00205","Georg Gloomy"
"#00206","My special skill is gurgling."
"#00207","Freddie Nerfy"
"#00208","I like making people laugh."
"#00209","Santana Clause"
"#00210","Don't criticize my fashion sense."
"#00211","Bundy Hopper"
"#00212","Recently got into rabbit-keeping."
"#00213","Norton Mamsey"
"#00214","I can cook scrambled eggs pretty well."
"#00215","Biff Rancher"
"#00216","Cattle seem to like me."
"#00217","Noah Clutter"
"#00218","I'm a minimalist."
"#00219","I want to be remembered for my movies."
"#00220","Dan Funguy"
"#00221","Knows a lot about mushrooms."
"#00222","Dave Puchovny"
"#00223","I'm terrified of the supernatural."
"#00224","Aston Astron"
"#00225","I'm interested in astronomy. No wait, astrology."
"#00226","Jack Jumpin"
"#00227","I love aerobics."
"#00228","Sim Swimmer"
"#00229","I swim only with my cherished float."
"#00230","Troy Hard"
"#00231","I believe in hard work and commitment."
"#00232","Orton Graffy"
"#00233","I'm very good at spelling."
"#00234","Keith Neaton"
"#00235","I like to keep things neat and tidy."
"#00236","Grant Gramp"
"#00237","I'll be having grandkids next year."
"#00238","Just leave it to me!"
"#00239","Mill Smith"
"#00240","I'm interested in space exploration."
"#00241","Ray Llway"
"#00242","I'm great at planning train journeys."
"#00243","Jolly Jumper"
"#00244","I'm really scared of heights."
"#00245","Tom Tuney"
"#00246","I've got a side gig as a musician."
"#00247","Pam Perred"
"#00248","My grandma raised me."
"#00249","Hal Fie"
"#00250","I follow a macrobiotic diet."
"#00251","Max Prestige"
"#00252","I have lots of...good friends."
"#00253","Hugo Weeb"
"#00254","Watching anime is my only hobby."
"#00255","Henson Rogers"
"#00256","Kids find me easy to relate to."
"#00257","Junior Junior"
"#00258","I have a dozen siblings."
"#00259","Redd Flesch"
"#00260","I like fish more than meat."
"#00261","Teddie Boi"
"#00262","Thinking of moving out of my mom's house."
"#00263","Ham Handz"
"#00264","I love cooking and sewing."
"#00265","Dom Ruise"
"#00266","I have some acting experience."
"#00267","Ozzie Dee"
"#00268","I always step into the bath with my left foot first."
"#00269","Jesus Naranja"
"#00270","I'm an expert at peeling oranges."
"#00271","Charles Karles"
"#00272","I cycle everywhere."
"#00273","Kay Silent"
"#00274","I'm very good at knitting."
"#00275","Ben Pandar"
"#00276","Not really a fan of pandas."
"#00277","Fabio Feeble"
"#00278","I'm more muscular than I look."
"#00279","Travis Snoop"
"#00280","I'm a part-time private detective."
"#00281","Sonny Speelburg"
"#00282","My cat videos get lots of views."
"#00283","Gorge Kalos"
"#00284","I don't really believe in aliens."
"#00285","Lan Scaper"
"#00286","I got into gardening big time."
"#00287","Octo-Alien"
"#00288","I'm marvelous at yoga."
"#00289","Jim Dood"
"#00290","I spend all my free time at the gym."
"#00291","Terry Sobbins"
"#00292","I cry so easily lately..."
"#00293","Pat Rolling"
"#00294","I go on walks around the neighborhood every morning."
"#00295","Mitch Macho"
"#00296","Out of ideas for blog updates..."
"#00297","Tutten Khamen"
"#00298","I sleep all day on weekends."
"#00299","Pat Perrot"
"#00300","I have a pet parrot."
"#00301","Chuck Soomo"
"#00302","Protein shakes are the way to go."
"#00303","Pearce Swyne"
"#00304","I quite like pork."
"#00305","=#00046"
"#00306","Manufactured by Kairosoft."
"#00307","Sugar Hearts"
"#00308","I often sing when there's no one listening."
"#00309","I'm a professional actress. Please consider me for your next movie."
"#00310","I may not have starred in that many movies, but I sure have seen a lot!"
"#00311","Kate Winshop"
"#00312","My hobby is window shopping."
"#00313","I want to be remembered as an amazing movie star."
"#00314","Sola Rover"
"#00315","I like to travel around on my own."
"#00316","It'll be a pleasure to work with you."
"#00317","Carrie Mondo"
"#00318","I value tidiness."
"#00319","Gemma Watson"
"#00320","I always know which movies are currently in cinemas."
"#00321","Mary Moonro"
"#00322","I enjoy moon-gazing and moon-walking."
"#00323","Judy Poster"
"#00324","I have lots of friends...online."
"#00325","Mera Sheep"
"#00326","Living in my family farmhouse."
"#00327","Flora Bloom"
"#00328","Previously a florist."
"#00329","Crystal Ball"
"#00330","I only believe in good fortunes."
"#00331","Hollie Ryder"
"#00332","I enjoy horse-riding, but hate horseplay."
"#00333","Bubbles Morgan"
"#00334","Practicing yoga just because I like the outfits."
"#00335","Bella Beu"
"#00336","No one knows what I look like under my makeup."
"#00337","Ada Venture"
"#00338","I'm a homebody."
"#00339","Yvonne Yeehaw"
"#00340","I love horses."
"#00341","Kitty Barker"
"#00342","Struggling with an identity crisis."
"#00343","Kaffi Bitters"
"#00344","I drink coffee without milk or sugar."
"#00345","Joy Cheerio"
"#00346","I love going to festivals."
"#00347","Daria Tippytaps"
"#00348","I spontaneously dance when there's nothing to do."
"#00349","Vicky Smooth"
"#00350","I'm known for my babyface."
"#00351","Arletta Jonson"
"#00352","Also working as a model when acting jobs dry up."
"#00353","Gal Godot"
"#00354","Somehow always late to meet-ups."
"#00355","Amelie Courtman"
"#00356","I sometimes forget what the real ""me"" is like."
"#00357","Coley Kidmin"
"#00358","Often thought to be joking, but actually serious."
"#00359","Misty Thrift"
"#00360","I always bring homemade lunch to work."
"#00361","Natasha Stiles"
"#00362","I'm something of a fashionista."
"#00363","Sunshine Parker"
"#00364","Enthusiastic park-goer."
"#00365","Kiku Hime"
"#00366","I wish kimonos were more mainstream."
"#00367","Modesty Crofter"
"#00368","I love my hometown, even though it's in the sticks!"
"#00369","Rika Daredevil"
"#00370","""Whatever doesn't kill us makes us stronger."""
"#00371","Minnie Gardner"
"#00372","I grow vegetables on my window sill."
"#00373","Trucy Powers"
"#00374","I'm the sporty type."
"#00375","Clara Wyze"
"#00376","Friends often ask me for advice."
"#00377","Marina Waters"
"#00378","I'm a landlubber."
"#00379","Kanna Ryde"
"#00380","I never learned how to ride a bike."
"#00381","Snowy Hilton"
"#00382","I own several hotels."
"#00383","Gloria Cuddles"
"#00384","I love cuddling pudgy animals."
"#00385","Vee Gunn"
"#00386","Do you have any soy milk?"
"#00387","Princess Ham"
"#00388","Ham is the ultimate bread topping."
"#00389","Samantha Filmitt"
"#00390","I've been filming on my smartphone since grade school."
"#00391","Hello. I'd love to join your crew. I'm quite skilled at directing movies."
"#00392","Gilbert Torro"
"#00393","Really into quirky themes."
"#00394","How do you do? I'd like to leave my resume with you... I specialize in scriptwriting."
"#00395","Tino Tarant"
"#00396","Scared of tarantulas."
"#00397","Hi! Do you have any job openings? Perhaps you need a director of photography?"
"#00398","Richard Robertson"
"#00399","My dad wasn't really called Robert."
"#00400","Howdy! Do you have any job openings? I'm a special effects artist."
"#00401","Bob Botting"
"#00402","I want to pay back my mortgage..."
"#00403","Hello! I'm looking for a job, preferably as an editor..."
"#00404","Frank Poccola"
"#00405","Always up to date with the latest trends in film-making."
"#00406","Hello! Do you have any job openings in your sound department?"
"#00407","Ron Dillians"
"#00408","Attuned to everyone's moods."
"#00409","David Lynx"
"#00410","I like hanging out in jazz bars."
"#00411","Harry Kaufmann"
"#00412","I'm easygoing."
"#00413","Shia Suu"
"#00414","Every month I go to massage for my bad back."
"#00415","Harry Hausen"
"#00416","It's not true I'm always playing on my phone."
"#00417","Liam Goldberg"
"#00418","My work is pure gold."
"#00419","Barry Elfan"
"#00420","I read the news daily. In print, not online."
"#00421","Al Paca"
"#00422","I easily overheat in summer."
"#00423","Ferdinand Wordsmith"
"#00424","Besides writing, I also paint."
"#00425","Dio Hipsterton"
"#00426","I listen to midnight radio talk shows."
"#00427","Zack Sixpack"
"#00428","I do belly crunches every time my PC freezes."
"#00429","Pres Scythes"
"#00430","If it's not a sell-out, I haven't done my job right."
"#00431","Meredith Parry"
"#00432","Playing in a metal band to relax after my day job."
"#00433","Raymond Dazzle"
"#00434","The more shades I buy, the cooler I become."
"#00435","Felix Whiskers"
"#00436","My house is overrun with cats."
"#00437","Ralph Puttin"
"#00438","I'm not too bad at golf."
"#00439","John Anon"
"#00440","Writing an autobiographic novel in my spare time."
"#00441","Randy Dandy"
"#00442","Always perfectly groomed."
"#00443","Sai Singh"
"#00444","I go to karaoke sometimes."
"#00445","Phil Philman"
"#00446","School trips to the movies changed my life."
"#00447","Rusty Typer"
"#00448","Scared of bugs, real and computer ones."
"#00449","Cale Greene"
"#00450","Can't stop me from putting coconut oil in everything."
"#00451","Metabok"
"#00452","Feed me candy."
"#00453","Vernon Springer"
"#00454","My favorite season is spring."
"#00455","Aodhan Fyre"
"#00456","A/C makes me sick."
"#00457","Jack Russel"
"#00458","I have a dog that looks just like me."
"#00459","Maddox Hawt"
"#00460","I take notes for scripts while in the sauna."
"#00461","Ace Diamond"
"#00462","I want to be a mentor for junior staff."
"#00463","Damon Angelo"
"#00464","The occult fascinates me."
"#00465","Mini Twin Kairobot"
"#00466","Two heads are better than one."
"#00467","Blacky Sheep"
"#00468","I fall asleep the moment I hit the sack."
"#00469","King"
"#00470","I don't carry any valuables upon my person."
"#00471","Pumpkin"
"#00472","Excellent at math."
"#00473","Hank Grogan"
"#00474","Thought it was time for a career change."
"#00475","King Ackbar"
"#00476","Games... I just love appearing in them!"
"#00477","Grizzly Bearington"
"#00478","The most socially responsible bear in town."
"#00479","Chimpan Z"
