"@title","English"
"@language","en-US"
"@scale","auto"
"@appli","130 - Do not change"
"@version","1.35 - Do not change"
"@author","Your Name"
"#00000","Old-Fashioned Train"
"#00001","Old-Fashioned Metro Train"
"#00002","Red and White Train"
"#00003","Orange Train"
"#00004","Yellow Train"
"#00005","Blue and White Train"
"#00006","Light Blue Train"
"#00007","Cream Train"
"#00008","Green Train"
"#00009","Emerald Train"
"#00010","Blue Striped Train"
"#00011","Dark Green Striped Train"
"#00012","Green Striped Train"
"#00013","Yellow Striped Train"
"#00014","Orange Striped Train"
"#00015","Red Striped Train"
"#00016","Orange and Green Train"
"#00017","Yellow and Blue Train"
"#00018","Express Train"
"#00019","Blue Express Train"
"#00020","Red Express Train"
"#00021","Green Express Train"
"#00022","Semi-Express Train"
"#00023","Red Semi-Express Train"
"#00024","Green Semi-Express Train"
"#00025","Silver Semi-Express Train"
"#00026","Metro Train"
"#00027","Green Metro Train"
"#00028","Red Metro Train"
"#00029","Bullet Train"
"#00030","Green Bullet Train"
"#00031","Super Express Train"
"#00032","Red Super Express Train"
"#00033","Green Super Express Train"
"#00034","Blue Cat Train"
"#00035","Red Cat Train"
"#00036","Calico Cat Train"
"#00037","Blue Steam Train"
"#00038","Green Steam Train"
"#00039","Express Steam Train"
"#00040","Steam Kairobot"
"#00042","Assistant"
"#00043","Mr. Girder"
"#00044","Wairobot"
"#00045","National Train Association"
"#00046","Station Staff"
"#00047","=#00046"
"#00048","Pumpkin"
"#00049","Bearington"
"#00050","Chimpan Z"
"#00051","Sally Prin"
"#00052","Kairobot"
"#00053","Kindergartner"
"#00054","Has recently learned to put socks on."
"#00055","Toddler"
"#00056","Has a talent for finding gold."
"#00057","Diligent Boy"
"#00058","His sweet voice can get him anything."
"#00059","Grade Schooler"
"#00060","Guards his backpack with his life"
"#00061","Middle Schooler"
"#00062","Always takes two packed lunches to school."
"#00063","High Schooler"
"#00064","HIs smartphone is always dying on him."
"#00065","University Student"
"#00066","Thinking about joining the napping club."
"#00067","Oversleeper"
"#00068","Can immediately fall asleep anywhere."
"#00069","Office Worker"
"#00070","A normal guy who works hard at his job."
"#00071","Casual Worker"
"#00072","Still likes to play with toys."
"#00073","IT Guy"
"#00074","Is deathly afraid of catching a cold."
"#00075","Musician"
"#00076","Is looking for an apartment with a piano."
"#00077","Stockbroker"
"#00078","He bought a car before passing his test."
"#00079","Shopper"
"#00080","Will buy everything from venison to vases."
"#00081","Backpacker"
"#00082","Often forgets to lock the front door."
"#00083","Traveler"
"#00084","Has a memo reminding him to buy souvenirs."
"#00085","Part-Time Cleaner"
"#00086","Likes to slide around on polished floors."
"#00087","Chef"
"#00088","Can't use a knife, but handy with a spoon."
"#00089","Part-Time Manager"
"#00090","Hopes to one day be a big shot."
"#00091","Football Star"
"#00092","Best quarterback the world has ever seen."
"#00093","Pre-Schooler"
"#00094","Has learned to write their own name."
"#00095","=#00055"
"#00096","Can now eat food without spilling it."
"#00097","Cute Kid"
"#00098","Loves to do her homework."
"#00099","=#00059"
"#00100","Wants to be either a chef or a princess."
"#00101","=#00061"
"#00102","Can't wait to get her own smartphone."
"#00103","=#00063"
"#00104","Doesn't do much and gets average grades."
"#00105","=#00065"
"#00106","Has to balance work and pleasure."
"#00107","=#00069"
"#00108","Still can't work her DVR."
"#00109","Businesswoman"
"#00110","Makes sure every form is filled correctly."
"#00111","Sales Assistant"
"#00112","Likes reading blogs about \u00E9clair stores."
"#00113","Mom"
"#00114","Obsessed with finding newspaper coupons."
"#00115","Impulse Shopper"
"#00116","Will do anything to get to a sale."
"#00117","Soccer Mom"
"#00118","Scared her kids will track mud in her car."
"#00119","Waitress"
"#00120","Tries to memorize customers' orders."
"#00121","Researcher"
"#00122","Excels at both mental math and knitting."
"#00123","Reporter"
"#00124","Always on the side of the hero."
"#00125","Nurse"
"#00126","Tries to have patience with her patients."
"#00127","Office Supervisor"
"#00128","Hobbies include stargazing and studying."
"#00129","Hiking Lover"
"#00130","Dreams of climbing Mount Fuji."
"#00131","Walking Lover"
"#00132","Never forgets to wear his hat."
"#00133","Inspector"
"#00134","Always carries 5 pairs of glasses."
"#00135","Doctor"
"#00136","Often leaves his stethoscope on the train."
"#00137","Sightseer"
"#00138","Has come looking for good food."
"#00139","Suburbs Dweller"
"#00140","Lives in the suburbs a 2-hour drive away."
"#00141","Salesman"
"#00142","He hides his cute eyes behind his shades."
"#00143","CEO"
"#00144","Starts every day with 50 jumping jacks."
"#00145","Chairman"
"#00146","Always remembers what he ate yesterday."
"#00147","Part-Timer"
"#00148","Likes to play being the store manager."
"#00149","Celebrity"
"#00150","Has had the nickname of Celeb from birth."
"#00151","Daytripper"
"#00152","Goes on a tour at least once a month."
"#00153","Hostel Landlady"
"#00154","Lives near the station, and loves to shop."
"#00155","Shopaholic"
"#00156","Shares her hauls with her neighbors."
"#00157","Old-Timer"
"#00158","Has a fountain of wisdom in her backyard."
"#00159","Landlady"
"#00160","She owns 120 separate buildings."
"#00161","Princess"
"#00162","Has reigned over her country for years."
"#00163","Baby Buggy Pusher"
"#00164","Can't wait to show her baby the world."
"#00165","Wheelchair Master"
"#00166","Can maneuver through the trickiest turns."
"#00167","Klutz"
"#00168","Finally got out of hospital yesterday."
"#00169","Tour Guide"
"#00170","Will count people, even outside of work."
"#00171","Firefighter"
"#00172","Only uses the fire truck when necessary."
"#00173","Survey Taker"
"#00174","Keeps messy notes on everything he sees."
"#00175","Top Investigator"
"#00176","On a quest to find the best in the world."
"#00177","Journalist"
"#00178","Rides trains looking for the next scoop."
"#00179","Railbuff"
"#00180","Can tell trains apart from their sound."
"#00181","Cameraman"
"#00182","Can shoot scenery and scenery only."
"#00183","Chat Show Host"
"#00184","Has a great bit about a train conductor."
"#00185","Movie Mogul"
"#00186","Scouting for a location for his new movie."
"#00187","Cleaner"
"#00188","Finds himself cleaning everywhere he goes."
"#00189","Weekend Worker"
"#00190","Knows what a customer wants instantly."
"#00191","Clerk"
"#00192","Tries to sell good items at low prices."
"#00193","Astronaut"
"#00194","Currently training for a mission to Mars."
"#00195","Ghost"
"#00196","Worried that she might need specter-cles."
"#00197","King Bristles"
"#00198","Has a new beard every day."
"#00199","Luchador"
"#00200","Practices moves in front of the mirror."
"#00201","Hero"
"#00202","Protects the city as part of a hero team."
"#00203","Knight"
"#00204","Brings peace with him wherever he goes."
"#00205","Robot"
"#00206","So light he can be lifted with one hand."
"#00207","Ackbar"
"#00208","Has 32 oilfields in his backyard."
"#00209","Peddler"
"#00210","Scours the world for the best deals."
"#00211","Builder"
"#00212","Likes to guess how much buildings cost."
"#00213","=#00046"
"#00214","Has 20 identical hats."
"#00215","=#00046"
"#00216","Hopes to overcome hay fever this year."
"#00217","Duck"
"#00218","Gains weight in the spring time."
"#00219","Alien"
"#00220","She comes in peace."
"#00221","Pig"
"#00222","Loves seafood: he sees food, and eats it!"
"#00223","Cat"
"#00224","Hasn't finished growing up just yet."
"#00225","Dog"
"#00226","Woof! Woof! Woof!"
"#00227","Baby"
"#00228","Understands even the cleverest of jokes."
"#00229","Alpaca"
"#00230","Likes to straighten her fur in the bath."
"#00231","Panda"
"#00232","Has scary beady eyes."
"#00233","Bunny"
"#00234","Worries that children will try to pet him."
"#00235","Penguin"
"#00236","Graduated cum laude from university."
"#00237","Koala"
"#00238","Can instantly find Australia on any globe."
"#00239","Bear"
"#00240","He put his back out reaching for honey."
"#00241","Mystery Mammal"
"#00242","Hopes to make a masterpiece from a banana."
"#00243","Badbot W"
"#00244","A bad bot who does naught but evil!"
"#00245","Princess S"
"#00246","Collects travel brochures as a hobby."
"#00247","Reduplicatron K"
"#00248","Keeps dozing and dreaming of being a hero."
"#00249","Tyke Dimple"
"#00250","I've dreamed of doing this job since kindergarten!"
"#00251","Todd Youngblood"
"#00252","My friends applied for this job too, but I'm the only one who takes it seriously."
"#00253","Dill Agent"
"#00254","My star chart for today said ""work will flow your way, look for opportunities in research"" so..."
"#00255","Joe Dork"
"#00256","Both my parents went to Harvard, so I'm confident I can do a good job! I'm Joe-it-all, after all!"
"#00257","Lil Kidd"
"#00258","I was born at a very young age, and I have been dreaming since then. Please pick me! Zzzzz..."
"#00259","Neo Freshman"
"#00260","I need money to pay for a puzzle game, so I kinda need this job."
"#00261","Chad Fratson"
"#00262","I've asked if I can take the day off from university today, so I think it's best if you hire me."
"#00263","Justin Time"
"#00264","I'm more enthusiastic than anyone! I'll show you how much I can help!"
"#00265","Hiram Cheap"
"#00266","I've worked in a lot of places, so I've got the know-how. I'm not making a lot of money right now, though."
"#00267","Harley Wurkin"
"#00268","I feel like I've forgotten to wear underpants today... But don't worry, I won't let my pants fall down!"
"#00269","Mike Rohsopht"
"#00270","If I have my hourly energy drink and grilled cheese I'm sure I can get this job done!"
"#00271","Ben Marcato"
"#00272","I'll peel this job like an apple, I'll tell you some more! Snip snap snapple, confident to the core!"
"#00273","Hugh Joverhead"
"#00274","You made the right choice coming to me. Let's go through the job requirements."
"#00275","Brock Lee"
"#00276","I'm in the middle of shopping right now, but if you pick me I'll get to work right away!"
"#00277","Forrest Glade"
"#00278","I'm great at using appliances... Until the breaker trips..."
"#00279","Sonny Rhodes"
"#00280","I saw this job advertised online on my travels, so I thought I'd apply."
"#00281","Dusty Broome"
"#00282","I learned to skateboard way before my friends at school. How cool is that?!"
"#00283","Stu Cooke"
"#00284","I was out foraging for ingredients to make chop suey, but now I'm lost..."
"#00285","Duty Halferty"
"#00286","I was on the way to work when I saw your trains and fell in love."
"#00287","Tim Brody"
"#00288","I'm going to be the best quarterback ever! But let's try researching first."
"#00289","Candy Barr"
"#00290","My sister told me this place gets really hot."
"#00291","Honey Bunn"
"#00292","My Grandma keeps putting peppermint in my tea... I don't like it!"
"#00293","Barbie Dahl"
"#00294","I drink lots of bubbly soft drinks!"
"#00295","Cherry Pye"
"#00296","My Grandpa often gets mistaken for my Grandma."
"#00297","Summer Skyes"
"#00298","My most amazing memory is from when I parachuted into school from a glider."
"#00299","Autumn Breeze"
"#00300","I know earthquakes are coming two seconds faster than other people."
"#00301","Grace Fulle"
"#00302","One time, at high school, I knocked over a whole bowl of fruit punch."
"#00303","Ann Serdafone"
"#00304","As you can hear, my enunciation is clear."
"#00305","Gladys Friday"
"#00306","I lost my cinnamon chai latte points card yesterday. I didn't sleep much last night."
"#00307","Anita Newtop"
"#00308","I had drinking yogurt for lunch."
"#00309","Betta Cleanaway"
"#00310","I used to work in the Empire State Building before I had kids, you know!"
"#00311","Prague Hilton"
"#00312","I like, totally lived in New Jersey when I went to high school. Super fetch."
"#00313","Olive Yew"
"#00314","Once I had a dream where I won the lottery two nights in a row. How spooky!"
"#00315","Leigh Vatipp"
"#00316","I'd like to work in that famous eatery, Cafeteria Nipponica, on my days off!"
"#00317","Jean Poole"
"#00318","When I'm wearing contacts, I'm two times faster than anybody thinks!"
"#00319","Rita Squeaker"
"#00320","I'm taking a break from reporting on witches and wizards, so I can really put my all into researching!"
"#00321","Lomron Buffalung"
"#00322","I guess correctly whether a person has siblings roughly 64% of the time."
"#00323","Dan Cho"
"#00324","I'm going to buy a car with my first pay check! So you need to hire me!"
"#00325","Wandern Hugelberg"
"#00326","I'm the type of clumsy old guy who will spill cola on your laptop."
"#00327","Miles Walker"
"#00328","I've been going to see the cherry blossoms for 20 years now. The great nature trail of life never ends."
"#00329","Keene Eyeington"
"#00330","Hehehe, I appeared on a quiz show on the radio! But it was on at midnight..."
"#00331","Dr. Payne"
"#00332","I don't care about use-by dates."
"#00333","Farman Gofar"
"#00334","I used to belong to a traveling comedy troupe, but it's time to get a real job."
"#00335","Professor Hazelgrove"
"#00336","I spent 50 years developing a job-matching algorithm, it suggested I apply."
"#00337","Vendedor Sospechoso"
"#00338","In this bag I've got some 100% pure and totally authentic bee's milk, wanna see?"
"#00339","Revere D. Bosse"
"#00340","Wouldn't you be better off hiring Wandern Hugelberg?"
"#00341","Gill Bates"
"#00342","Everybody loves hamburgers. I aim to be like the humble hamburger of life."
"#00343","Clara Halfpenny"
"#00344","I think I want to buy a flat-screen TV soon, so I'm looking for a job."
"#00345","Shaydes Coulson"
"#00346","Do you have the courage to hire me? So, c'mon, what about it?"
"#00347","Miriam Newtown"
"#00348","I wonder if I turned off the gas..."
"#00349","Bonnie Innes"
"#00350","I opened my own teashop, you know! But that was yesterday, now I'm looking for my next job."
"#00351","Penny Shoppee"
"#00352","I heard my grandkid started a business!"
"#00353","Doris Olden"
"#00354","I like to make my grandkids my special mac and cheese. Oh it makes me smile that they're so happy!"
"#00355","Lotta Landall"
"#00356","I came here to find the interesting job I heard about from a tweet I saw."
"#00357","Princess Ham"
"#00358","All the other Ham Princesses are on maternity leave, so I decided to move to New York!"
"#00359","Aiko Lovegood"
"#00360","I always choose the saltiest fries! I need my energy to push this little guy!"
"#00361","Chase Wheelwright"
"#00362","I'm almost 30, but I still love mac and cheese as much as ever."
"#00363","Arny Weissegger"
"#00364","I hurt myself in an explosion at my last job. I was meant to get to the chopper but there was too much gunpowder..."
"#00365","Constance Headcount"
"#00366","I used to voyage all over the globe on a World Cruise Story, but now I think I'd rather travel by train."
"#00367","Jos\u00E9 Putout"
"#00368","I'm racked with anxiety, worrying about whether I ate that pie in the fridge..."
"#00369","Sergei Chugger"
"#00370","I can't eat hot food. I really can't! You won't believe it!"
"#00371","Percy Snickerty"
"#00372","If you hire me and this game becomes a hit, remember I had nothing to do with it."
"#00373","Luke O'Motive"
"#00374","Do you remember who your principal was in middle school? I sure can't!"
"#00375","Pete Parker"
"#00376","There's always one friend who complains when you cook brown rice..."
"#00377","Cam Shooter"
"#00378","My dream is to bake bread in the shape of a train... Huh, that already exists?"
"#00379","Jimmy DeGeneres"
"#00380","I have a lot of free time lately, so I'm available. I'm good at presenting and talking."
"#00381","Steve Jouemontagne"
"#00382","Have you ever seen a 4D film? They sound awesome!"
"#00383","Hastings Jiffy"
"#00384","I've just moved house, but I've forgotten my Wi-Fi password... How annoying."
"#00385","Joy Shopfront"
"#00386","I really like that amusement park in California! It's super cool!"
"#00387","Rich Highworth"
"#00388","My last job was making screen protectors for tablets, but I couldn't stick it out."
"#00389","Buzz Armwalker"
"#00390","I'm in the mood to change my hairstyle. How about a pink Mohawk..."
"#00391","Spooky Boo"
"#00392","People say I faded away a long time ago, but I'll do my best to stand out this time!"
"#00393","=#00197"
"#00394","Ahem! I've never even blown my own nose, but I'll try my very best at this job."
"#00395","Mister X"
